0	Index      	 *	Score 	Summary	Detail	
150	31261 34234	   	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	1ASPD|2TLV|3aDMG|4aCDMG|5BEXP|6aVULN|7RCR|8CGEN|9MLV|aBPWR
151	16221 43116	   	164.08	DCR|3DMG|1AART|1VULN	17ERES|29aDMG|38DUST|4AART|5VULN|6RCR
152	14513 31332	   	163.96	DCR|2AART|2VULN|1CDMG|1ZMB	1ERES|29VULN|3TLV|4ZMB|5aAART|6RCR|7MBVNT|8CDMG
153	52211 42431	   	163.96	DCR|1AART|1VULN|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2RMIN|3AART|4ASPD|5VULN|6RCR|7ZMB|8CDMG|9FLTHEA|aRPLT
154	52211 42432	   	163.96	DCR|1AART|1VULN|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2RMIN|3AART|4ASPD|5VULN|6RCR|7ZMB|8CDMG|9FLTHEA|aFEWX
155	14621 22326	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2VULN|3MGNSTR|4aDMG|5LIT|6CDMG|7RCR|8DUR|9AART
156	14621 22226	   	163.89	DCR|2VULN|1AART|1DMG|2CDMG	1ERES|2aVULN|3MGNSTR|4DMG|5LIT|69CDMG|7RCR|8AART
157	22564 21323	   	163.71	DCR|3VULN|1AART|2ZMB|1ASPD	1DUST|24ZMB|34aVULN|4BPWR|5LIT|6RCR|7ASPD|8AART|9TLV
158	22134 34421	   	163.52	DCR|3DMG|2VULN|1ZMB|1SELL	18DUST|2ZMB|3SELL|489DMG|5RMIN|68VULN|7RCR|8BPWR|aERES
159	22134 34423	   	163.52	DCR|3DMG|2VULN|1ZMB|1SELL	18DUST|2ZMB|3SELL|489DMG|5RMIN|68VULN|7RCR|8BPWR|aTLV
160	52211 42361	   	163.49	DCR|2VULN|1AART|2ZMB|2DUR|1ASPD	19DUR|2RMIN|3AART|4ASPD|59VULN|6RCR|79ZMB|8MBVNT|9BPWR|aRCVC
161	52211 42362	   	163.49	DCR|2VULN|1AART|2ZMB|2DUR|1ASPD	19DUR|2RMIN|3AART|4ASPD|59VULN|6RCR|79ZMB|8MBVNT|9BPWR|aFEWX
162	52211 42363	   	163.49	DCR|2VULN|1AART|2ZMB|2DUR|1ASPD	19DUR|2RMIN|3AART|4ASPD|59VULN|6RCR|79ZMB|8MBVNT|9BPWR|aDMSP
163	16221 42341	   	163.48	DCR|2DMG|1AART|1VULN|2ZMB	19ERES|29DMG|3DUST|4AART|5VULN|6RCR|79ZMB|8MBVNT|9BPWR|aRCVC
164	16221 42342	   	163.48	DCR|2DMG|1AART|1VULN|2ZMB	19ERES|29DMG|3DUST|4AART|5VULN|6RCR|79ZMB|8MBVNT|9BPWR|aFEWX
165	16221 42348	   	163.48	DCR|2DMG|1AART|1VULN|2ZMB	19ERES|29DMG|3DUST|4AART|5VULN|6RCR|79ZMB|8MBVNT|9BPWR|aMLV
166	21321 42553	   	163.48	DCR|2VULN|1AART|1DMG|2ZMB	129DUST|3BEXP|4AART|59VULN|6RCR|79ZMB|8DLOT|9BPWR|aDMG
167	31414 23214	 * 	163.48	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	19ASPD|2TLV|3AART|4LIT|5DUR|6CDMG|7RCR|8VULN|aDMG
168	52211 42364	   	163.39	DCR|2VULN|1AART|2ZMB|2DUR|1ASPD	19DUR|2RMIN|3AART|4ASPD|59VULN|6RCR|79ZMB|8MBVNT|9BPWR|aLSRHEA
169	14134 22135	 * 	163.39	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1SELL	1ERES|29VULN|3SELL|4DMG|5RCR|6AART|7LEGI|8FLTHEA|aDUR
170	16221 42346	   	163.38	DCR|2DMG|1AART|1VULN|2ZMB	19ERES|29DMG|3DUST|4AART|5VULN|6RCR|79ZMB|8MBVNT|9BPWR|aLSRREG
171	16221 42347	   	163.38	DCR|2DMG|1AART|1VULN|2ZMB	19aERES|29DMG|3DUST|4AART|5VULN|6RCR|79ZMB|8MBVNT|9BPWR
172	16431 42323	   	163.23	DCR|1AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	1ERES|2DMG|3AART|4LHND|5VULN|6RCR|7ZMB|8DUR|9aASPD
173	32563 23352	   	163.12	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|24BEXP|347VULN|4BPWR|5DMSP|6AART|8FEWX|9RCR|aDMG
174	21211 11261	 * 	162.92	DCR|2DMG|2AART|1VULN|1FLTHEA	12DUST|38DMG|4FLTHEA|5VULN|69AART|7RCVC|aRCR
175	31211 14261	 * 	162.92	DCR|2DMG|2AART|1VULN|2ASPD	17ASPD|2TLV|38DMG|4LSRICY|5VULN|69AART|aRCR
176	36111 14261	   	162.92	DCR|2DMG|2AART|1VULN|2ASPD	17ASPD|28DMG|3ERES|4LSRICY|5VULN|69AART|aRCR
177	11421 26212	   	162.86	DCR|2AART|2VULN|1CDMG|1ZMB	1ERES|2TLV|3aAART|4LWND|58VULN|6CDMG|7RCR|9ZMB
178	11431 26212	   	162.86	DCR|2AART|2VULN|1CDMG|1ZMB	1ERES|2TLV|3aAART|4LHND|58VULN|6CDMG|7RCR|9ZMB
179	32261 42334	   	162.86	DCR|3VULN|1AART|1ZMB|1ASPD	1ASPD|2BEXP|3AART|4MLV|59aVULN|6RCR|7ZMB|8MBVNT
180	31421 42334	   	162.76	DCR|3VULN|1AART|1ZMB|1ASPD	1ASPD|2TLV|3AART|4LWND|59aVULN|6RCR|7ZMB|8MBVNT
181	31321 42146	   	162.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2TLV|3BEXP|4AART|5VULN|6RCR|7ZMB|8LHND|9DMG|aCDMG
182	14121 26216	   	162.72	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1ERES|28VULN|3SELL|4DUR|5TLV|6AART|7RCR|9ZMB|aDMG
183	35216 33252	   	162.71	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	14ASPD|26FEWX|3AART|5DUR|78VULN|9RCR|aDMG
184	14131 26233	 * 	162.68	DCR|4VULN|1DMG|1CDMG|1SELL	1ERES|289aVULN|3SELL|4DMG|5RCVC|6CDMG|7RCR
185	16221 42412	   	162.63	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2DMG|3DUST|4AART|5VULN|6RCR|7ZMB|8CDMG|9DUR|aBEXP
186	16221 42413	   	162.63	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2DMG|3DUST|4AART|5VULN|6RCR|7ZMB|8CDMG|9DUR|aLWND
187	16221 42421	   	162.63	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2DMG|3DUST|4AART|5VULN|6RCR|7ZMB|8CDMG|9LIT|aDUR
188	31321 42357	   	162.63	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2TLV|3BEXP|4AART|5VULN|6RCR|7ZMB|8MBVNT|9DMG|aCDMG
189	14132 26233	 * 	162.58	DCR|4VULN|1DMG|1CDMG|1SELL	15ERES|289aVULN|3SELL|4DMG|6CDMG|7RCR
190	36621 11413	   	162.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|5VULN|6BEXP|7FEWX|8ZMB|9RCR|aCDMG
191	16221 42328	   	162.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2DMG|3DUST|4AART|5VULN|6RCR|7ZMB|8MBVNT|9ASPD|aCDMG
192	16221 42411	   	162.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ERES|2DMG|3DUST|4AART|5VULN|6RCR|7ZMB|8CDMG|9DUR|aMBVNT
193	36621 13413	   	162.47	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|5VULN|6BEXP|7DUST|8ZMB|9RCR|aCDMG
194	31211 13211	   	162.45	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2TLV|38DMG|4LSRICY|59VULN|6AART|7RCVC|aRCR
195	36111 13251	   	162.45	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|28DMG|3ERES|4LSRICY|59VULN|6AART|7RCVC|aRCR
196	16221 41433	   	162.38	DCR|2DMG|1AART|1VULN|1CDMG	19ERES|29DMG|3DUST|4AART|5VULN|6RCR|79FEWX|8RPLT|9BPWR|aCDMG
197	32261 23416	   	162.32	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2BEXP|3AART|4MLV|568VULN|7MBVNT|9DMG|aRCR
198	16521 43443	   	162.28	DCR|2DMG|1AART|1VULN|1CDMG	1ERES|28DMG|3FEWX|4AART|5VULN|6RCR|7MBVNT|9RPLT|aCDMG
199	16222 41611	   	162.28	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2DMG|3DUST|4AART|5LWND|6RCR|7FEWX|8aVULN|9CDMG
200	21321 44336	   	162.28	DCR|2VULN|1AART|1DMG|1CDMG	12DUST|3BEXP|4AART|59VULN|6RCR|7CGEN|8CDMG|aDMG
201	11221 44336	   	162.18	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2TLV|3DUST|4AART|59VULN|6RCR|7CGEN|8CDMG|aDMG
202	21321 43336	   	162.18	DCR|2VULN|1AART|1DMG|1CDMG	12DUST|3BEXP|4AART|59VULN|6RCR|7ERES|8CDMG|aDMG
203	61121 43336	   	162.18	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|23DUST|4AART|59VULN|6RCR|7ERES|8CDMG|aDMG
204	31414 23231	   	162.16	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1ASPD|2TLV|3AART|4LIT|5aDUR|6CDMG|7RCR|8VULN|9DMG
205	31461 53231	   	162.16	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1ASPD|2TLV|3AART|4CDMG|5LIT|6aDUR|7RCR|8VULN|9DMG
206	31321 42334	   	162.16	DCR|3VULN|1AART|1ZMB|1ASPD	1ASPD|2TLV|3BEXP|4AART|59aVULN|6RCR|7ZMB|8MBVNT
207	15531 24322	   	162.10	DCR|3DMG|2VULN|1DUR	19ERES|2FEWX|39VULN|4BEXP|5DUR|6RCR|79aDMG|8MBVNT|9BPWR
208	23541 24213	   	162.10	DCR|3VULN|2DMG|1DUR	19DUST|2TLV|389VULN|4LWND|5DUR|6RCR|79DMG|9BPWR|aLHND
209	23561 24213	   	162.10	DCR|3VULN|2DMG|1DUR	19DUST|2TLV|389VULN|4aLHND|5DUR|6RCR|79DMG|9BPWR
210	23561 24311	   	162.10	DCR|3VULN|2DMG|1DUR	19DUST|2TLV|39aVULN|48LHND|5DUR|6RCR|79DMG|9BPWR
211	14484 42423	   	161.98	DCR|3DMG|1AART|1VULN	19ERES|2VULN|3MBVNT|4AART|59LHND|689DMG|7RCR|9BPWR|aLIT
212	16221 43632	   	161.93	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	17ERES|2aDMG|3DUST|4AART|5VULN|6RCR|8CDMG|9SELL
213	14484 42421	   	161.88	DCR|3DMG|1AART|1VULN	19aERES|2VULN|3MBVNT|4AART|59LHND|689DMG|7RCR|9BPWR
214	35216 23352	   	161.87	DCR|2AART|1VULN|1DMG|2ASPD|2DUR	14ASPD|2FEWX|38AART|56DUR|7VULN|9RCR|aDMG
215	22564 21332	   	161.81	DCR|2VULN|1AART|2ZMB|1CDMG|1ASPD	1DUST|24ZMB|34VULN|4BPWR|5LIT|6RCR|7ASPD|8AART|9CDMG|aFEWX
216	22564 21333	   	161.81	DCR|2VULN|1AART|2ZMB|1CDMG|1ASPD	1DUST|24ZMB|34VULN|4BPWR|5LIT|6RCR|7ASPD|8AART|9CDMG|aLHND
217	35133 34422	   	161.72	DCR|2VULN|2DMG|2ASPD|1ZMB|1SELL	18ASPD|28FEWX|3SELL|49DMG|5ZMB|68VULN|7RCR|8BPWR|aRPLT
218	22564 21312	 * 	161.69	DCR|2VULN|3ZMB|1AART|1ASPD	1DUST|24aZMB|34VULN|4BPWR|5LIT|6RCR|7ASPD|8AART|9LHND
219	35133 34421	   	161.62	DCR|2VULN|2DMG|2ASPD|1ZMB|1SELL	18ASPD|28FEWX|3SELL|49DMG|5ZMB|68VULN|7RCR|8BPWR|aNUKE
220	35133 34423	   	161.62	DCR|2VULN|2DMG|2ASPD|1ZMB|1SELL	18ASPD|28FEWX|3SELL|49DMG|5ZMB|68VULN|7RCR|8BPWR|aERES
221	16321 41421	   	161.61	DCR|2VULN|2DMG|1AART	1ERES|26DMG|3aLIT|49FEWX|56VULN|6BPWR|7RCR|8AART
222	14131 26213	   	161.52	DCR|2VULN|2DMG|1CDMG|1ZMB|1SELL	1ERES|28VULN|3SELL|4aDMG|5RCVC|6CDMG|7RCR|9ZMB
223	16321 41422	   	161.51	DCR|2VULN|2DMG|1AART	1ERES|26DMG|3LIT|49FEWX|56VULN|6BPWR|7RCR|8AART|aTLV
224	16321 41432	   	161.51	DCR|2VULN|2DMG|1AART	1ERES|26DMG|3LIT|4FEWX|56VULN|6BPWR|7RCR|8AART|9NUKE|aLHND
225	21621 42334	   	161.51	DCR|1AART|1VULN|1FLTHEA|1CDMG|2DUR|1ZMB	12DUST|3aDUR|4AART|5VULN|6RCR|7ZMB|8CDMG|9FLTHEA
226	51121 42334	   	161.51	DCR|1AART|1VULN|1FLTHEA|1CDMG|2DUR|1ZMB	1aDUR|23DUST|4AART|5VULN|6RCR|7ZMB|8CDMG|9FLTHEA
227	14132 26213	   	161.42	DCR|2VULN|2DMG|1CDMG|1ZMB|1SELL	15ERES|28VULN|3SELL|4aDMG|6CDMG|7RCR|9ZMB
228	35223 23252	   	161.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|25FEWX|3AART|46DUR|78VULN|9RCR|aDMG
229	35225 23252	   	161.40	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1ASPD|2FEWX|3AART|46DUR|5RCVC|78VULN|9RCR|aDMG
230	16321 41423	   	161.37	DCR|2VULN|2DMG|1AART|1SELL	1ERES|26DMG|3LIT|49FEWX|56VULN|6BPWR|7RCR|8AART|aSELL
231	32261 43432	   	161.30	DCR|2AART|2VULN|1CDMG|1ASPD	1ASPD|2BEXP|3aAART|4MLV|59VULN|6RCR|7ERES|8CDMG
232	16321 41413	   	161.27	DCR|2VULN|2DMG|1AART|1SELL	1ERES|26DMG|3LIT|4FEWX|56VULN|6BPWR|7RCR|8AART|9LEGI|aSELL
233	16331 41423	   	161.27	DCR|2VULN|2DMG|1AART|1SELL	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9FEWX|aSELL
234	16331 41433	   	161.27	DCR|2VULN|2DMG|1AART|1SELL	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9LHND|aSELL
235	14621 22332	   	161.26	DCR|3VULN|1DMG|1CDMG|2DUR	1ERES|29aVULN|3MGNSTR|4DMG|5aLIT|6CDMG|7RCR|8aDUR|aBPWR
236	14134 22262	 * 	161.19	ACR|2VULN|2AART|1DMG|1ASPD|1SELL	1ERES|28VULN|3SELL|4DMG|5RCR|6aAART|7LEGI|9ASPD
237	14134 22632	 * 	161.19	ACR|2VULN|2AART|1DMG|1ASPD|1SELL	1ERES|29VULN|3SELL|4DMG|5RCR|6aAART|7LEGI|8ASPD
238	16331 41413	   	161.17	DCR|2VULN|2DMG|1AART|1SELL	1ERES|26DMG|3LIT|4DUST|56VULN|6BPWR|7RCR|8AART|9LEGI|aSELL
