0	Index      	 *	Score 	Summary	Detail	
35	31626 53323	   	203.75	ACR|1BASARM|2ASPD|1AART|1AAC	1AEMAG|2RCR|3DMSP|4AART|58ASPD|6BASARM|7RMIN|9AAC|aMBVNT
36	31116 63143	   	202.28	ACR|1BASARM|2ASPD|1AART	1AEMAG|2RCR|3VULN|4LEGI|5ERES|6AART|7RCVC|89ASPD|aBASARM
37	31412 22133	 * 	201.97	ACR|2DMG|2BEXP|1ASPD|2CDMG	1aAEMAG|2RCR|3TLV|4BELT|5aDMG|6ASPD|78CDMG|9aBEXP|aBPWR
38	31626 23162	 * 	201.57	ACR|2ASPD|2AART|1DMG|1CDMG|1AAC	1AEMAG|2RCR|3DMSP|46AART|57ASPD|8DMG|9AAC|aCDMG
39	31626 23163	   	201.57	ACR|2ASPD|2AART|1DMG|1BEXP|1AAC	1AEMAG|2RCR|3DMSP|46AART|57ASPD|8DMG|9AAC|aBEXP
40	31131 12434	 * 	201.53	ACR|3VULN|1ASPD|1DMG|1BASICY|1AART	1AEMAG|2RCR|347VULN|5ASPD|6BASICY|8FEWX|9AART|aDMG
41	31131 12511	   	201.53	ACR|3VULN|1ASPD|1DMG|1BASICY|1CDMG	1AEMAG|2RCR|347VULN|5ASPD|6BASICY|8CDMG|9DMG|aFEWX
42	31131 12512	   	201.53	ACR|3VULN|1ASPD|1DMG|1BASICY|1CDMG	1AEMAG|2RCR|347VULN|5ASPD|6BASICY|8CDMG|9DMG|aZMB
43	31131 12513	   	201.53	ACR|3VULN|1ASPD|1DMG|1BASICY|1CDMG	1AEMAG|2RCR|347VULN|5ASPD|6BASICY|8CDMG|9DMG|aCGEN
44	31131 12516	   	201.53	ACR|3VULN|1ASPD|1DMG|1BASICY|1CDMG	1AEMAG|2RCR|347VULN|5ASPD|6BASICY|8CDMG|9DMG|aLHND
45	31131 14534	   	201.53	ACR|3VULN|1ASPD|1DMG|1BASICY|1AART	1AEMAG|2RCR|348VULN|5ASPD|6BASICY|7FEWX|9AART|aDMG
46	31131 12551	   	201.43	ACR|3VULN|1ASPD|1DMG|1BASICY|1CDMG	1AEMAG|2RCR|347VULN|5ASPD|6BASICY|8CDMG|9DLOT|aDMG
47	31162 23541	 * 	200.78	ACR|2ASPD|2VULN|1DMG|1BEXP|1AART	1AEMAG|2RCR|38VULN|4BEXP|5RMIN|6DMG|7AART|9aASPD
48	31565 23113	   	199.91	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1AEMAG|2RCR|3FEWX|4BEXP|5AAC|6DMG|7AART|8RCVC|9LHND|aBASARM
49	31623 36113	   	199.91	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6LWND|7AAC|8ASPD|9LHND|aBASARM
50	31623 62113	   	199.91	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6FEWX|7AAC|8ASPD|9LHND|aBASARM
51	31623 62153	   	199.91	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6FEWX|7AAC|8ASPD|9LWND|aBASARM
52	31532 12623	   	199.91	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC	1AEMAG|2RCR|3FEWX|4AAC|5ASPD|6RMIN|7ZMB|8BEXP|9AART|aBASARM
53	31536 12623	   	199.91	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1AEMAG|2RCR|3FEWX|4AAC|5DMG|6RMIN|7ZMB|8BEXP|9AART|aBASARM
54	31621 12415	   	199.91	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1AEMAG|2RCR|3DMSP|4AART|5LIT|6RCVC|7AAC|8CDMG|9BASARM|aDMG
55	31623 16113	   	199.81	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6DUST|7AAC|8ASPD|9LHND|aBASARM
56	31623 16153	   	199.81	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6DUST|7AAC|8ASPD|9LWND|aBASARM
57	31623 36163	   	199.81	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6LWND|7AAC|8ASPD|9MBVNT|aBASARM
58	31162 14113	   	199.38	ACR|2BASARM|1ASPD|1BEXP	18AEMAG|2RCR|3VULN|4BEXP|5RMIN|6LWND|79BASARM|aASPD
59	31162 34113	   	199.28	ACR|2BASARM|1DMG|1BEXP	18AEMAG|2RCR|3VULN|4BEXP|5RMIN|6DUST|79BASARM|aDMG
60	31131 12246	 * 	199.06	ACR|2ASPD|3VULN|1BASICY|1BEXP	1AEMAG|2RCR|347VULN|5aASPD|6BASICY|8RMIN|9BEXP
61	31131 12616	   	199.06	ACR|2ASPD|3VULN|1BASICY|1CDMG	1AEMAG|2RCR|347VULN|5aASPD|6BASICY|8DUR|9CDMG
62	31131 15516	   	199.06	ACR|2ASPD|3VULN|1BASICY|1CDMG	1AEMAG|2RCR|348VULN|5aASPD|6BASICY|7DUR|9CDMG
63	31131 12212	 * 	198.89	ACR|4VULN|1ASPD|1DMG|1BASICY	1AEMAG|2RCR|3479VULN|5ASPD|6BASICY|8RMIN|aDMG
64	31131 12543	 * 	198.89	ACR|4VULN|2CDMG|1BASICY|1ASPD	19AEMAG|2RCR|3479VULN|5ASPD|6BASICY|89CDMG|9BPWR|aLHND
