0	Index      	 *	Score 	Summary	Detail	
38	21223 21334	   	309.23	DCR|DCR|3TLV|1VULN|1ASPD	13aTLV|2aZMB|4ASPD|5VULN|69RCR|7RCVC|8aAIRHEL|aBPWR
39	23123 24224	   	309.06	DCR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2MLV|3RCVC|4ASPD|5aVULN|67RCR|8FEWX|9AEFBLL
40	23123 24624	   	309.06	DCR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2MLV|3RCVC|4ASPD|5aVULN|67RCR|8BEXP|9AEFBLL
41	23123 24134	   	308.96	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1TLV|2MLV|3RCVC|4ASPD|5aVULN|67RCR|8DMG|9ERES
42	23123 24154	   	308.96	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1TLV|2MLV|3RCVC|4ASPD|5aVULN|67RCR|8DMG|9NUKE
43	23123 24425	   	308.96	DCR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2MLV|3RCVC|4ASPD|5aVULN|67RCR|8MBVNT|9AEFBLL
44	21241 34532	   	308.49	ACR|DCR|2TLV|2VULN	13TLV|2ZMB|49VULN|57RCR|6MLV|8CGEN|aAME
45	21241 34533	   	308.49	ACR|DCR|2TLV|2VULN	13TLV|2ZMB|49VULN|57RCR|6aMLV|8CGEN
46	21241 34531	   	308.39	ACR|DCR|2TLV|2VULN	13TLV|2ZMB|49VULN|57RCR|6MLV|8CGEN|aAETHUN
47	21241 34222	   	308.36	ACR|DCR|2TLV|1VULN|1AEFBLL	13TLV|2ZMB|4VULN|57RCR|6MLV|8FEWX|9AEFBLL|aDUR
48	21241 34622	   	308.36	ACR|DCR|2TLV|1VULN|1AEFBLL	13TLV|2ZMB|4VULN|57RCR|6MLV|8LHND|9AEFBLL|aDUR
49	21241 34311	   	308.29	ACR|DCR|2TLV|2VULN	13TLV|2ZMB|4aVULN|57RCR|6MLV|8MSLFST|9MULARM
50	21241 34351	   	308.29	ACR|DCR|2TLV|2VULN	13TLV|2ZMB|4aVULN|57RCR|6MLV|8MSLFST|9SNIHEL
51	21241 34132	   	308.26	ACR|DCR|2TLV|1VULN|1DMG	13TLV|2ZMB|4VULN|57RCR|6MLV|8DMG|9ERES|aDUR
52	21423 26134	   	308.03	DCR|DCR|2TLV|1VULN|2ASPD	1aTLV|2aZMB|3RCVC|47ASPD|5VULN|69RCR|8aAIRHEA|aBPWR
53	21423 26334	   	308.03	DCR|DCR|2TLV|1VULN|2ASPD	1aTLV|2aZMB|3RCVC|47ASPD|5VULN|69RCR|8aAIRHEL|aBPWR
54	23523 24442	   	307.36	DCR|DCR|2TLV|1VULN|2ASPD	13TLV|2MLV|49ASPD|5VULN|67RCR|8MBVNT|aDUR
55	43124 33212	   	306.97	DCR|3VULN|2TLV|1DMG|2DUR|1CDMG	18BEXP|28DUR|3DMG|45aVULN|6RCR|78TLV|8BPWR|9CDMG
56	25242 33132	   	306.57	ACR|4VULN|2TLV|1AEFBLL|1AART	14TLV|248aVULN|3AART|4BPWR|5RCR|6LIT|7AEFBLL|9MLV
57	25242 33162	   	306.57	ACR|4VULN|2TLV|1AEFBLL|1AEPOI|1AART	14TLV|248aVULN|3AART|4BPWR|5RCR|6LIT|7AEFBLL|9AEPOI
58	25242 33122	   	306.47	ACR|4VULN|2TLV|1AEFBLL|1AART	14TLV|248aVULN|3AART|4BPWR|5RCR|6LIT|7AEFBLL|9AEFRZ
59	25242 33152	   	306.47	ACR|4VULN|2TLV|1AEFBLL|1AART	14TLV|248aVULN|3AART|4BPWR|5RCR|6LIT|7AEFBLL|9ERES
60	21351 34224	   	305.64	ACR|DCR|2VULN|1TLV|1AEFBLL	1TLV|24ZMB|3aVULN|57RCR|6MLV|8FEWX|9AEFBLL
61	21241 34115	   	305.63	ACR|DCR|2TLV|1VULN|1DMG	13TLV|2ZMB|4VULN|57RCR|6MLV|8DMG|9FEWX|aRAT
