0	Index      	 *	Score 	Summary	Detail	
36	23634 62332	   	214.80	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RMIN|2aBEXP|3RCR|4LHND|5DUST|6ASPD|7VULN|8BASARM|9DMG
37	23641 32332	   	214.80	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RMIN|2aBEXP|3RCR|4ASPD|5LHND|6DUST|7VULN|8BASARM|9DMG
38	23643 32332	   	214.80	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RMIN|2aBEXP|3RCR|4ASPD|5DUR|6DUST|7VULN|8BASARM|9DMG
39	12641 11124	 * 	214.22	ACR|2ASPD|3VULN|1DMG|1BASICY|1AART	1TLV|26aVULN|3RCR|46ASPD|5DMSP|6BPWR|7AART|8BASICY|9DMG
40	23633 65333	   	213.61	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RMIN|2BEXP|3RCR|4LHND|5VULN|6ASPD|7DUST|8BASARM|9DMG|aCDMG
41	23634 62333	   	213.61	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RMIN|2BEXP|3RCR|4LHND|5DUST|6ASPD|7VULN|8BASARM|9DMG|aCDMG
42	23641 32333	   	213.61	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RMIN|2BEXP|3RCR|4ASPD|5LHND|6DUST|7VULN|8BASARM|9DMG|aCDMG
43	23643 32333	   	213.61	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RMIN|2BEXP|3RCR|4ASPD|5DUR|6DUST|7VULN|8BASARM|9DMG|aCDMG
44	15263 23332	   	213.28	ACR|1BASARM|2BEXP|1DMG|1CDMG	1TLV|2RCR|3DMG|4aBEXP|5CDMG|6DUST|7RPLT|8VULN|9BASARM
45	45263 23332	   	213.28	ACR|1BASARM|2BEXP|1DMG|1CDMG	1AME|2RCR|3DMG|4aBEXP|5CDMG|6DUST|7RPLT|8VULN|9BASARM
46	15213 22115	   	213.17	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1TLV|2RCR|3DMG|4BELT|5ASPD|6ERES|7AAC|8VULN|9BASARM|aBEXP
47	45213 22215	   	213.17	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1AME|2RCR|3DMG|4BELT|5ASPD|6ERES|7VULN|8AAC|9BASARM|aBEXP
48	15112 62362	   	212.70	ACR|2BASARM|1ASPD|1DMG|1BEXP	19TLV|2RCR|3BEXP|469FEWX|5CGEN|7DMG|89BASARM|9BPWR|aASPD
