0	Index      	 *	Score 	Summary	Detail	
34	14211 21316	   	231.07	ACR|2VULN|2ASPD|2DMG|2CDMG|1AAC	19ASPD|29DMG|3RCR|48VULN|5LIT|6AAC|79CDMG|9BPWR|aCGEN
35	14215 33361	   	230.97	ACR|2VULN|2ASPD|2DMG|2CDMG|1AAC	18ASPD|28DMG|3RCR|4aVULN|5TLV|68CDMG|7DMSP|8BPWR|9AAC
36	14211 21315	   	230.97	ACR|2VULN|2ASPD|2DMG|2CDMG|1AAC	19ASPD|29DMG|3RCR|48VULN|5LIT|6AAC|79CDMG|9BPWR|aSNIFST
37	14261 22336	 * 	230.57	ACR|1BASARM|2DMG|1ASPD|2CDMG|1BEXP	1ASPD|29DMG|3RCR|4aCDMG|5DUST|6BEXP|7CGEN|8BASARM
38	11263 35316	 * 	230.36	ACR|3ASPD|2VULN|3CDMG|1AART	18aASPD|2ZMB|3RCR|489CDMG|5AART|68VULN|7MDPS|8BPWR
39	11263 35352	   	230.32	ACR|3VULN|2ASPD|2CDMG|1AART|1BEXP	18ASPD|2ZMB|3RCR|48CDMG|5AART|689VULN|7MDPS|8BPWR|aBEXP
40	14263 33331	   	230.32	ACR|3VULN|2DMG|1ASPD|1AART|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5AART|678VULN|aCGEN
41	14263 33332	   	230.32	ACR|3VULN|2DMG|1ASPD|1AART|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5AART|678VULN|aDMSP
42	14263 33336	   	230.32	ACR|3VULN|2DMG|1ASPD|1AART|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5AART|678VULN|aDUR
43	14263 33335	   	230.22	ACR|3VULN|2DMG|1ASPD|1AART|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5AART|678VULN|aERES
44	14211 26152	 * 	229.58	ACR|3DMG|2ASPD|1VULN|1AART|1AAC	1aASPD|28aDMG|3RCR|4VULN|5LIT|6AAC|7AART|9aAIRHEL|aBPWR
45	14221 14151	   	229.47	ACR|1BASARM|2ASPD|1DMG|1VULN|1CDMG	16ASPD|2DMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8CDMG|9RMIN|aVULN
46	14231 14151	   	229.47	ACR|1BASARM|2ASPD|1DMG|1VULN|1CDMG	16ASPD|2DMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8CDMG|9RMIN|aVULN
47	11211 36345	   	229.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1ASPD|2ZMB|3RCR|4VULN|5LIT|6ERES|7AART|8BEXP|9BASARM|aDMG
48	14221 14121	   	229.37	ACR|1BASARM|2ASPD|1DMG|1VULN|1CDMG	16ASPD|2DMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8CDMG|9ERES|aVULN
49	14221 61212	   	229.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1ASPD|2aDMG|3RCR|4AME|5LIT|6DUR|7CDMG|8BASARM|9VULN
50	14231 14121	   	229.37	ACR|1BASARM|2ASPD|1DMG|1VULN|1CDMG	16ASPD|2DMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8CDMG|9ERES|aVULN
51	14231 61212	   	229.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1ASPD|2aDMG|3RCR|4TLV|5LIT|6LHND|7CDMG|8BASARM|9VULN
52	14266 32212	   	229.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1ASPD|2aDMG|3RCR|4CDMG|5LIT|6TLV|7DUR|8BASARM|9VULN
53	14221 54121	   	229.27	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1ASPD|26DMG|3RCR|4AME|5LIT|7BASARM|8CDMG|9ERES|aVULN
54	14261 12336	   	229.27	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6TLV|7LWND|8BASARM|aVULN
55	14261 13336	   	229.17	ACR|1BASARM|2DMG|1ASPD|1VULN|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6TLV|7LEGI|8BASARM|aVULN
56	52213 23361	 * 	229.06	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1MLV|29ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|aLWND
57	52213 23362	   	229.06	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1MLV|29ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|aRMIN
58	52213 23363	   	229.06	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1MLV|29ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|aLHND
59	52213 23651	   	229.06	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1MLV|2aASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|8LWND|9BEXP
60	52213 23365	   	228.96	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1MLV|29ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|aMDPS
61	52213 23551	   	228.96	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1MLV|2aASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|8DUST|9BEXP
62	54213 23315	 * 	228.96	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1MLV|2aDMG|3RCR|4VULN|5AART|6FEWX|7BASARM|8BEXP|9MSLTOX
63	14262 31432	   	228.77	ACR|3ASPD|1BASARM|1DMG|1CDMG	179ASPD|2DMG|3RCR|4CDMG|5LSRREG|6RCVC|8DUR|aBASARM
64	14221 14135	   	228.30	ACR|1BASARM|2ASPD|2DMG|1CDMG	16ASPD|2aDMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8CDMG|9DUR
65	14231 14135	   	228.30	ACR|1BASARM|2ASPD|2DMG|1CDMG	16ASPD|2aDMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8CDMG|9DUR
66	14263 35331	   	228.23	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9RCVC|aAEMAG
67	14263 35333	   	228.23	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9RCVC|aNUKE
68	14221 14115	   	228.20	ACR|1BASARM|2ASPD|2DMG|1CDMG	16ASPD|2aDMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8CDMG|9DUST
69	14231 14115	   	228.20	ACR|1BASARM|2ASPD|2DMG|1CDMG	16ASPD|2aDMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8CDMG|9DUST
70	14263 62133	 * 	227.39	ACR|1BASARM|1ASPD|1DMG|2CDMG|1AART|1AAC	1ASPD|2DMG|3RCR|4aCDMG|5AART|6DUR|7RPLT|8AAC|9BASARM
71	14263 22133	   	227.29	ACR|1BASARM|1ASPD|1DMG|2CDMG|1AART|1AAC	1ASPD|2DMG|3RCR|4aCDMG|5AART|6DUST|7RPLT|8AAC|9BASARM
72	52213 23423	 * 	226.93	ACR|1BASARM|2AART|1VULN|1ASPD|1CDMG	1MLV|2ASPD|3RCR|4VULN|5aAART|6FEWX|7BASARM|8LIT|9CDMG
73	54213 23423	 * 	226.93	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1MLV|2DMG|3RCR|4VULN|5aAART|6FEWX|7BASARM|8LIT|9CDMG
74	11263 35342	   	226.73	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2ZMB|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9DMG|aLHND
75	14263 35322	   	226.73	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9LWND|aLHND
76	14263 35323	   	226.73	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9LWND|aRMIN
77	14263 12613	   	226.65	ACR|3ASPD|1VULN|1DMG|2CDMG|1AART	178ASPD|2DMG|3RCR|49CDMG|5AART|6MLV|aVULN
78	11263 35341	   	226.63	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2ZMB|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9DMG|aAME
79	14263 35312	   	226.63	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9MBVNT|aLHND
80	14263 35313	   	226.63	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9MBVNT|aRMIN
81	14263 42132	   	226.55	ACR|3ASPD|1VULN|1DMG|2CDMG|1AART	178ASPD|2DMG|3RCR|4aCDMG|5AART|6DLOT|9VULN
82	14263 35314	   	226.53	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18ASPD|2DMG|3RCR|48CDMG|5AART|68VULN|7MDPS|8BPWR|9MBVNT|aTLV
83	14221 14141	   	226.36	ACR|3ASPD|1BASARM|1DMG|1CDMG	169ASPD|2DMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8CDMG|aZMB
84	14221 14143	   	226.36	ACR|3ASPD|1BASARM|1DMG|1CDMG	169ASPD|2DMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8CDMG|aLHND
