0	Index      	 *	Score 	Summary	Detail	
166	43121 11251	   	181.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2AART|34aVULN|5CDMG|6BEXP|7NUKE|8RCR|9ASPD
167	43121 51251	   	181.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2AART|34aVULN|5CDMG|6LHND|7NUKE|8RCR|9ASPD
168	43144 42314	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG	18DMG|2AART|38VULN|4MBVNT|578CGEN|6RCR|8BPWR|9FEWX|aCDMG
169	43122 33114	   	181.24	DCR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8aCDMG|9LWND
170	43122 33124	   	181.24	DCR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8aCDMG|9BEXP
171	13155 36133	   	181.19	ACR|3VULN|2DMG|1AART	1ERES|2RCR|36DMG|468VULN|5RMIN|6BPWR|7LIT|9DUST|aAART
172	43152 61211	   	181.00	DCR|2AART|2VULN|2DMG|1DUR	19DMG|27AART|3aVULN|4DUST|5ERES|6DUR|8RCR
173	13153 32216	   	180.88	ACR|2DMG|2VULN|1AART|1CDMG	1ERES|2RCR|39DMG|48VULN|5LHND|6LEGI|7AART|aCDMG
174	13164 32216	   	180.88	ACR|2DMG|2VULN|1AART|1CDMG	1ERES|2RCR|39DMG|4LHND|58VULN|6LEGI|7AART|aCDMG
175	43153 23263	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	16DMG|2AART|39VULN|4DUST|56FEWX|6BPWR|7ZMB|8RCR|aDUR
176	44124 13533	   	180.75	DCR|3VULN|3DMG|2DUR	135DMG|2MBVNT|45aVULN|5aBPWR|6aDUR|7RCR|8RMIN|9aDUST
177	44124 13814	   	180.75	DCR|3VULN|3DMG|2DUR	135DMG|2MBVNT|459VULN|5BPWR|6aDUR|7RCR|8LHND
178	43144 44311	   	179.75	DCR|2VULN|2DMG|1AART|2DUR	19DMG|2AART|3aVULN|4MBVNT|5CGEN|6RCR|78DUR
179	33331 31541	 * 	179.61	DCR|2DMG|1AART|2CDMG|2ASPD|2DUR|1ZMB	14DUR|2AART|34ASPD|4BPWR|57CDMG|68DMG|9RCR|aZMB
180	13156 16421	   	179.58	ACR|2VULN|2DMG|1AART|1CDMG	1ERES|2RCR|37DMG|4aVULN|5MBVNT|6CDMG|8TLV|9AART
181	13153 22411	   	179.57	ACR|2VULN|2DMG|1AART|2DUR	1ERES|2RCR|39DMG|4aVULN|5LHND|68DUR|7AART
182	13164 22411	   	179.57	ACR|2VULN|2DMG|1AART|2DUR	1ERES|2RCR|39DMG|4LHND|5aVULN|68DUR|7AART
183	13154 33126	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2RCR|3DMG|45VULN|6ZMB|7DUR|8CDMG|9CGEN|aAART
184	13152 15136	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ERES|2RCR|37DMG|4VULN|5FEWX|6CDMG|8ZMB|9ASPD|aAART
185	13152 16136	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2RCR|3DMG|47VULN|5FEWX|6CDMG|8ZMB|9ASPD|aAART
186	13154 33116	   	179.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2RCR|3DMG|45VULN|6ZMB|7DUR|8CDMG|9TLV|aAART
187	34431 21153	 * 	179.27	ACR|3VULN|2DMG|1CDMG|2DUR	19DUR|2LIT|39DMG|4RCR|5DUST|6LHND|789VULN|9BPWR|aCDMG
188	43144 43421	   	179.23	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AART|38aVULN|4MBVNT|5CGEN|6RCR|7CDMG|9MLV
189	43144 43453	   	179.23	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AART|38aVULN|4MBVNT|5CGEN|6RCR|7CDMG|9RPLT
190	43633 63211	   	179.17	DCR|3DMG|2AART|1VULN|1DUR	139DMG|2aAART|4DUST|5CGEN|6DUR|7VULN|8RCR
191	43144 41313	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9aFEWX
192	43144 41315	   	179.16	DCR|2AART|2VULN|2DMG	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9FEWX|aRMIN
193	43144 41341	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|27AART|38VULN|4MBVNT|589CGEN|6RCR|8BPWR|aLHND
194	43144 41342	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|27AART|38VULN|4MBVNT|589CGEN|6RCR|8BPWR|aDMSP
195	43144 41343	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|27AART|38VULN|4MBVNT|589CGEN|6RCR|8BPWR|aFEWX
196	43144 41346	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|27AART|38VULN|4MBVNT|589CGEN|6RCR|8BPWR|aLWND
197	43144 42381	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|29AART|38VULN|4MBVNT|578CGEN|6RCR|8BPWR|aLHND
198	43144 42382	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|29AART|38VULN|4MBVNT|578CGEN|6RCR|8BPWR|aDMSP
199	43144 42383	   	179.16	DCR|2AART|2DMG|2VULN	18DMG|29AART|38VULN|4MBVNT|578CGEN|6RCR|8BPWR|aFEWX
200	43144 43431	   	179.13	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AART|38aVULN|4MBVNT|5CGEN|6RCR|7CDMG|9ERES
201	13155 36113	 * 	179.12	ACR|4VULN|2DMG|1DUR	1ERES|2RCR|36DMG|4689VULN|5RMIN|6BPWR|7LIT|aDUR
202	43122 13111	   	179.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|67RCVC|8RCR|aLWND
203	43122 13112	   	179.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|67RCVC|8RCR|aRPLT
204	43122 13113	   	179.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|67RCVC|8RCR|aLIT
205	43122 13114	   	179.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|67RCVC|8RCR|aCGEN
206	43122 13115	   	179.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|67RCVC|8RCR|aBELT
207	43122 13141	   	179.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|67RCVC|8RCR|9LWND
208	43122 13161	   	179.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|67RCVC|8RCR|9CGEN
209	43144 41312	   	179.06	DCR|2AART|2DMG|2VULN	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9FEWX|aLEGI
210	43144 41318	   	179.06	DCR|2AART|2VULN|2DMG	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9FEWX|aTLV
211	43144 41347	   	179.06	DCR|2AART|2DMG|2VULN	18DMG|27AART|38VULN|4MBVNT|589CGEN|6RCR|8BPWR|aDUST
212	43122 13131	   	179.01	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|67RCVC|8RCR|9DUST
213	43122 13151	   	179.01	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|67RCVC|8RCR|9ERES
214	43144 41811	   	178.96	DCR|2AART|2VULN|2DMG	19DMG|27AART|3aVULN|4MBVNT|5CGEN|6RCR|8FEWX
215	43144 41111	   	178.86	DCR|2AART|2VULN|2DMG	19DMG|27AART|3aVULN|4MBVNT|5CGEN|6RCR|8DUST
216	43123 63214	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2AART|347VULN|5CGEN|6DUR|8RCR|9FEWX|aZMB
217	16231 11264	   	178.79	ACR|3VULN|2DMG|1AART	1aERES|27aVULN|3LIT|4RCR|5DUST|6AART|8DMSP|9aDMG|aBPWR
218	35331 35262	   	178.76	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1DUR|2DMSP|3AART|4aASPD|5CDMG|69DMG|7VULN|8RCR
219	35331 35253	   	178.76	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2DMSP|3AART|49ASPD|5CDMG|6DMG|7aVULN|8RCR
220	31352 63113	 * 	178.73	DCR|3DMG|1AART|2CDMG|3DUR	129DUR|3AART|4RMIN|5CANSTR|69aDMG|7RCR|89CDMG|9BPWR
221	32352 63113	   	178.73	DCR|3DMG|1AART|2CDMG|3DUR	129DUR|29BPWR|3AART|4RMIN|5CANSTR|69aDMG|7RCR|89CDMG
222	43121 21242	   	178.73	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ZMB	1DMG|2AART|34VULN|5CDMG|6FLTHEA|7ZMB|8CGEN|9FEWX|aRCR
223	13153 32212	 * 	178.68	ACR|2DMG|2VULN|2AART	1ERES|2RCR|39DMG|48VULN|5LHND|6LEGI|7aAART
224	13164 32212	   	178.68	ACR|2DMG|2VULN|2AART	1ERES|2RCR|39DMG|4LHND|58VULN|6LEGI|7aAART
225	43122 33412	   	178.53	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|6CGEN|7RCR|8LIT|9RCVC
226	43222 23735	 * 	178.40	4VULN|3DMG|3ZMB|1AART	189DMG|2AART|3RMIN|4RPLT|5MBVNT|689aVULN|789ZMB|89BPWR
227	14231 13221	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2CDMG|3DUR|46aVULN|5DMG|7AART|8RCR|9MLV
228	43633 23261	   	178.37	DCR|3VULN|2DMG|1AART	13DMG|2AART|4DUST|5CGEN|6LWND|79aVULN|8RCR
229	13152 32214	   	178.34	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|39DMG|48VULN|5FEWX|6LHND|7AART|aZMB
230	13153 42214	   	178.34	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|39DMG|48VULN|5LHND|6BEXP|7AART|aZMB
231	13162 62214	   	178.34	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|39DMG|4LHND|5FEWX|68VULN|7AART|aZMB
232	13354 32214	   	178.34	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|3FEWX|49DMG|58VULN|6LHND|7AART|aZMB
233	43154 13211	   	178.27	DCR|3VULN|2DMG|1AART	15DMG|2AART|37aVULN|4DUST|6ERES|8RCR|9FEWX
234	43164 13231	   	178.27	DCR|3VULN|2DMG|1AART	15DMG|2AART|37aVULN|4FEWX|6ERES|8RCR|9DUST
235	13153 32214	   	178.24	ACR|2DMG|2VULN|1AART|1ZMB	1ERES|2RCR|39DMG|48VULN|5LHND|6LEGI|7AART|aZMB
236	13164 32214	   	178.24	ACR|2DMG|2VULN|1AART|1ZMB	1ERES|2RCR|39DMG|4LHND|58VULN|6LEGI|7AART|aZMB
237	43122 33663	   	178.23	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|69CGEN|7RCR|aRCVC
238	43122 12163	   	178.21	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6aRCVC|8RCR|9CGEN
239	33331 14221	   	178.17	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|2DUR|1ZMB	14DUR|2AART|34ASPD|4BPWR|5CDMG|6BEXP|7ZMB|8RCR|9DMG|aVULN
240	33331 54221	   	178.17	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG|2DUR|1ZMB	14DUR|2AART|34ASPD|4BPWR|5CDMG|6LHND|7ZMB|8RCR|9DMG|aVULN
241	43122 12135	   	178.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6aRCVC|8RCR|9DUST
242	43122 12153	   	178.11	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6aRCVC|8RCR|9ERES
243	33331 64221	   	178.07	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG|2DUR|1ZMB	14DUR|2AART|34ASPD|4BPWR|5CDMG|6LEGI|7ZMB|8RCR|9DMG|aVULN
244	33314 63226	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	16DUR|2AART|3ASPD|4CGEN|57VULN|8RCR|9DMG|aCDMG
245	13113 42215	   	178.05	ACR|3DMG|2VULN|2CDMG	1ERES|2RCR|39aDMG|4CANSTR|5BEXP|69VULN|7FEWX|89CDMG|9BPWR
246	43313 32626	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2AART|3ERES|48CDMG|5DUST|6BEXP|78VULN|8BPWR|9MLV|aRCR
247	43222 23732	 * 	177.95	3VULN|3DMG|3ZMB|1AART|1CDMG	189DMG|2AART|3RMIN|4RPLT|5MBVNT|689VULN|789ZMB|89BPWR|aCDMG
248	33322 63226	   	177.95	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	16DUR|2AART|3ASPD|47VULN|5ERES|8RCR|9DMG|aCDMG
249	13112 63122	   	177.95	ACR|3DMG|2VULN|2CDMG	1ERES|2RCR|37aDMG|4CANSTR|5MLV|6aCDMG|8TLV|9aVULN|aBPWR
250	13116 63122	   	177.95	ACR|3DMG|2VULN|2CDMG	1ERES|2RCR|37aDMG|4CANSTR|5CGEN|6aCDMG|8TLV|9aVULN|aBPWR
251	43313 32636	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2AART|39ERES|48CDMG|5DUST|6BEXP|78VULN|8BPWR|aRCR
252	22531 12635	 * 	177.84	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1LIT|2aDUR|3ERES|4RCR|5DUST|6AART|7aCDMG|8VULN|9aDMG|aBPWR
253	43121 14261	   	177.80	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMG|2AART|34VULN|5aCDMG|6BEXP|7ZMB|8RCR|9RCVC
254	33345 36414	   	177.66	DCR|2AART|2VULN|1DMG|2ASPD|2DUR	19DUR|28AART|39ASPD|4MBVNT|5DMG|6ERES|79VULN|9BPWR|aRCR
255	13156 17421	 * 	177.65	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2RCR|3DMG|47aVULN|5MBVNT|6CDMG|8TLV|9AART
256	44124 33254	   	177.57	DCR|3DMG|2VULN|1AART	135DMG|2MBVNT|45VULN|5BPWR|6DUST|7RCR|8FEWX|9RCVC|aAART
257	23422 61263	   	177.51	DCR|3VULN|1AART|1DMG|2DUR	18LIT|2aRMIN|3AART|478VULN|58DUR|6RCR|8BPWR|9DMG
258	41313 32626	   	177.48	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|29MLV|3AART|48CDMG|5DUST|6BEXP|78VULN|8BPWR|aRCR
259	43144 43317	   	177.45	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|2AART|3aVULN|4MBVNT|5CGEN|6RCR|7CDMG|8ASPD|9DUR
260	31331 35221	   	177.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|6DMG|7aVULN|8RCR|9MLV
261	31331 35243	   	177.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|6DMG|7aVULN|8RCR|9RPLT
262	31331 35265	   	177.45	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aLIT
263	31331 35266	   	177.45	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aFEWX
264	32331 35221	   	177.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|6DMG|7aVULN|8RCR|9MLV
265	32331 35243	   	177.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|6DMG|7aVULN|8RCR|9RPLT
266	32331 35265	   	177.45	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aLIT
267	32331 35266	   	177.45	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aFEWX
268	13121 25161	   	177.38	ACR|2VULN|2DMG|1AART|1DUR	1ERES|2RCR|35DMG|4RCVC|6DUR|7AART|8LHND|9aVULN
269	31331 35231	   	177.35	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|6DMG|7aVULN|8RCR|9ERES
270	31331 35261	   	177.35	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aMBVNT
271	31331 35264	   	177.35	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aDUST
272	32331 35231	   	177.35	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|6DMG|7aVULN|8RCR|9ERES
273	32331 35261	   	177.35	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aMBVNT
274	32331 35264	   	177.35	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	12DUR|2BPWR|3AART|4ASPD|5CDMG|69DMG|7VULN|8RCR|aDUST
275	43122 12142	   	177.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9LWND|aRPLT
276	43122 12143	   	177.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9LWND|aLIT
277	43122 12145	   	177.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9LWND|aBELT
278	43122 12162	   	177.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9CGEN|aFEWX
279	43122 12165	   	177.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9CGEN|aLHND
280	43144 43714	   	177.03	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	18DMG|2AART|3VULN|4MBVNT|58CGEN|6RCR|78CDMG|8BPWR|9LWND|aASPD
281	43144 43743	   	177.03	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	18DMG|2AART|3VULN|4MBVNT|58CGEN|6RCR|78CDMG|8BPWR|9ASPD|aBEXP
282	43144 43744	   	177.03	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	18DMG|2AART|3VULN|4MBVNT|58CGEN|6RCR|78CDMG|8BPWR|9ASPD|aLHND
283	43122 12132	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9DUST|aRPLT
284	43122 12133	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9DUST|aLIT
285	43122 12152	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9ERES|aFEWX
286	43122 12155	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9ERES|aLHND
287	43122 12164	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9CGEN|aLEGI
288	43122 33631	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9LIT|aBELT
289	43122 33633	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9LIT|aLWND
290	43122 33636	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9LIT|aLHND
291	43122 33643	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9BEXP|aLIT
292	43122 33662	   	176.93	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|69CGEN|7RCR|aFEWX
293	43144 43742	   	176.93	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	18DMG|2AART|3VULN|4MBVNT|58CGEN|6RCR|78CDMG|8BPWR|9ASPD|aDUST
294	43144 41171	   	176.93	DCR|3VULN|2AART|1DMG	1DMG|27AART|39aVULN|4MBVNT|5CGEN|6RCR|8DUST
295	13241 11524	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2RCR|3LIT|47aVULN|5DUST|6AART|8ZMB|9DMG
296	43122 12154	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9ERES|aLEGI
297	43122 33352	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|6CGEN|7RCR|8TLV|aRPLT
298	43122 33353	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|6CGEN|7RCR|8TLV|aLIT
299	43122 33355	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349VULN|5FLTHEA|6CGEN|7RCR|8TLV|aBELT
300	43122 33611	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9DUST|aBEXP
301	43122 33613	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9DUST|aLIT
302	43122 33616	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6aCGEN|7RCR|9DUST
303	43122 33634	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9LIT|aERES
304	43122 33642	   	176.83	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9BEXP|aMBVNT
305	43144 43321	   	176.83	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|2AART|3aVULN|4MBVNT|5CGEN|6RCR|79CDMG|8ASPD
306	43121 14216	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2AART|34VULN|5CDMG|6BEXP|7ZMB|8RCR|9LWND|aASPD
307	43611 14221	   	176.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	13DMG|2AART|4LHND|5CDMG|6BEXP|7ZMB|8RCR|9ASPD|aVULN
308	13156 32241	 * 	176.75	ACR|3VULN|2AART|1DMG	1ERES|2RCR|3DMG|48aVULN|5MBVNT|6LHND|79AART
309	43122 33612	   	176.73	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9DUST|aMBVNT
310	43122 33614	   	176.73	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348VULN|5FLTHEA|6CGEN|7RCR|9aDUST
311	43632 33133	 * 	176.73	DCR|3DMG|1AART|1VULN|1CDMG	139DMG|2AART|4DUST|5CANSTR|6CGEN|7RCR|8CDMG|aVULN
312	43121 14244	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2AART|34VULN|5CDMG|6BEXP|7ZMB|8RCR|9MBVNT|aDUR
313	43116 63221	   	176.69	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	15DMG|2AART|37VULN|4CGEN|6DUR|8RCR|9ASPD|aBEXP
314	43116 63222	   	176.69	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	15DMG|2AART|37VULN|4CGEN|6DUR|8RCR|9ASPD|aLWND
315	13124 53511	   	176.68	ACR|2VULN|2DMG|1AART|1DUR	1ERES|2RCR|39DMG|4RCVC|5DUST|6aVULN|7DUR|8AART
316	13126 63611	   	176.68	ACR|2VULN|2DMG|1AART|1DUR	1ERES|2RCR|39DMG|4RCVC|5MBVNT|6aVULN|7DUR|8AART
317	43145 34424	   	176.65	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD|1DUR	15DMG|28AART|3VULN|4MBVNT|6ZMB|7DUR|9ASPD|aRCR
318	31313 22266	   	176.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	12DUR|3AART|4CDMG|57VULN|6DUST|8ZMB|9DMG|aRCR
319	31313 22646	   	176.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	12DUR|3AART|4CDMG|57VULN|6DUST|8DMG|9ZMB|aRCR
320	32313 22266	   	176.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	12DUR|2BPWR|3AART|4CDMG|57VULN|6DUST|8ZMB|9DMG|aRCR
321	32313 22646	   	176.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	12DUR|2BPWR|3AART|4CDMG|57VULN|6DUST|8DMG|9ZMB|aRCR
322	43116 63223	   	176.59	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	15DMG|2AART|37VULN|4CGEN|6DUR|8RCR|9ASPD|aDUST
323	23423 61263	   	176.53	DCR|3VULN|2AART|1DMG	1LIT|2RMIN|38AART|479VULN|5LWND|6RCR|aDMG
324	43613 43221	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2AART|4LHND|5CGEN|6CDMG|7aVULN|8RCR|9MLV
325	43164 13223	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2AART|37VULN|4FEWX|6ERES|8RCR|9CDMG|aLIT
326	43613 43231	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2AART|4LHND|5CGEN|6CDMG|7aVULN|8RCR|9ERES
327	43633 43221	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	13DMG|2AART|4DUST|5CGEN|6CDMG|7aVULN|8RCR|9MLV
328	31311 11215	   	176.33	DCR|3DMG|1AART|2CDMG|3DUR	129DUR|3AART|49CDMG|5TLV|6BEXP|79aDMG|8RCR|9BPWR
329	31314 11215	   	176.33	DCR|3DMG|1AART|2CDMG|3DUR	129DUR|3AART|49CDMG|5ERES|6BEXP|79aDMG|8RCR|9BPWR
330	32311 11215	   	176.33	DCR|3DMG|1AART|2CDMG|3DUR	129DUR|29BPWR|3AART|49CDMG|5TLV|6BEXP|79aDMG|8RCR
