0	Index      	 *	Score 	Summary	Detail	
38	43122 12141	   	191.14	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347aVULN|5FLTHEA|6RCVC|8RCR|9LWND
39	43122 12161	   	191.14	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347aVULN|5FLTHEA|6RCVC|8RCR|9CGEN
40	33331 35251	 * 	191.07	DCR|2VULN|1AART|3ASPD|1DMG|1CDMG|2DUR	14DUR|2AART|349ASPD|4BPWR|5CDMG|6DMG|7aVULN|8RCR
41	33331 35262	 * 	191.07	DCR|2DMG|1AART|1VULN|3ASPD|1CDMG|2DUR	14DUR|2AART|34aASPD|4BPWR|5CDMG|69DMG|7VULN|8RCR
42	43122 12131	   	191.04	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347aVULN|5FLTHEA|6RCVC|8RCR|9DUST
43	43122 12151	   	191.04	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|347aVULN|5FLTHEA|6RCVC|8RCR|9ERES
44	43122 33622	   	191.03	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|3489VULN|5FLTHEA|6CGEN|7RCR|aFEWX
45	43122 33625	   	191.03	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|3489VULN|5FLTHEA|6CGEN|7RCR|aLHND
46	43122 33632	   	191.03	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348aVULN|5FLTHEA|6CGEN|7RCR|9LIT
47	43122 33661	   	191.03	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|348aVULN|5FLTHEA|69CGEN|7RCR
48	43122 33351	   	190.93	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|349aVULN|5FLTHEA|6CGEN|7RCR|8TLV
49	43122 33624	   	190.93	DCR|4VULN|1AART|1DMG|1FLTHEA	1DMG|2AART|3489VULN|5FLTHEA|6CGEN|7RCR|aLEGI
50	43122 33113	 * 	190.58	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|6CGEN|7RCR|8CDMG|9LWND
51	43122 33123	   	190.58	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|6CGEN|7RCR|8CDMG|9BEXP
52	43122 33142	   	190.58	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|6CGEN|7RCR|8CDMG|9LIT
53	43122 33334	   	190.48	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMG|2AART|34aVULN|5FLTHEA|6CGEN|7RCR|8TLV|9CDMG
54	43144 41328	 * 	190.37	DCR|3AART|2DMG|2VULN|1ASPD	18DMG|27aAART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9ASPD
55	43144 42374	   	190.31	DCR|3VULN|2DMG|1AART|1ASPD	18DMG|2AART|389VULN|4MBVNT|578CGEN|6RCR|8BPWR|aASPD
56	43144 43481	   	190.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2AART|38aVULN|4MBVNT|5CGEN|6RCR|7CDMG|9ZMB
57	43142 71314	 * 	189.95	DCR|2AART|2VULN|2DMG|2ASPD|1DUR	19DMG|27AART|39VULN|4MBVNT|5ERES|6DUR|89ASPD|9BPWR|aRCR
58	13153 22211	 * 	189.93	ACR|3VULN|2DMG|1AART|1DUR	1ERES|2RCR|39DMG|48aVULN|5LHND|6DUR|7AART
59	13164 22211	   	189.93	ACR|3VULN|2DMG|1AART|1DUR	1ERES|2RCR|39DMG|4LHND|58aVULN|6DUR|7AART
60	35331 35263	   	189.74	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1DUR|2DMSP|3AART|4ASPD|5CDMG|69DMG|7aVULN|8RCR
61	43122 33653	   	189.68	DCR|3VULN|2AART|1DMG|1FLTHEA	1DMG|29AART|348VULN|5FLTHEA|6CGEN|7RCR|aRCVC
62	44124 13215	 * 	189.56	DCR|4VULN|3DMG|1DUR	135DMG|2MBVNT|459aVULN|5BPWR|6DUR|7RCR|8FEWX
63	43153 23261	   	189.47	DCR|3VULN|2DMG|1AART|1ZMB	16DMG|2AART|39aVULN|4DUST|56FEWX|6BPWR|7ZMB|8RCR
64	13152 25511	   	189.33	ACR|3VULN|2DMG|1AART|1DUR	1ERES|2RCR|39DMG|47aVULN|5FEWX|6DUR|8AART
65	13152 63511	   	189.33	ACR|3VULN|2DMG|1AART|1DUR	1ERES|2RCR|39DMG|46aVULN|5FEWX|7DUR|8AART
66	43123 63226	   	188.41	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|2AART|347VULN|5CGEN|6DUR|8RCR|9ASPD|aCDMG
67	43122 33652	   	188.38	DCR|3VULN|2AART|1DMG|1FLTHEA	1DMG|29AART|348VULN|5FLTHEA|6CGEN|7RCR|aFEWX
68	43144 42327	   	188.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18DMG|2AART|38VULN|4MBVNT|578CGEN|6RCR|8BPWR|9ASPD|aCDMG
69	43122 33615	   	188.28	DCR|3VULN|2AART|1DMG|1FLTHEA	1DMG|2aAART|348VULN|5FLTHEA|6CGEN|7RCR|9DUST
70	33354 41211	   	188.04	DCR|2AART|2VULN|2DMG|1ASPD|1DUR	1DUR|27AART|3ASPD|4DUST|59DMG|6aVULN|8RCR
71	43122 12166	   	188.04	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9CGEN|aZMB
72	43122 12156	   	187.94	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|2AART|347VULN|5FLTHEA|6RCVC|8RCR|9ERES|aZMB
73	43144 43721	   	187.68	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2AART|3aVULN|4MBVNT|58CGEN|6RCR|78CDMG|8BPWR|9MLV
74	43144 43731	   	187.58	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|2AART|3aVULN|4MBVNT|58CGEN|6RCR|78CDMG|8BPWR|9ERES
75	13154 33136	   	186.48	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2RCR|3DMG|45VULN|6ZMB|7DUR|8CDMG|9ASPD|aAART
76	43122 33336	   	186.27	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA	1DMG|2aAART|34VULN|5FLTHEA|6CGEN|7RCR|8TLV|9CDMG
77	13155 32126	   	186.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|2RCR|36DMG|46VULN|5RMIN|6BPWR|7DUR|8CDMG|9CGEN|aAART
78	43144 43441	   	186.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2AART|38aVULN|4MBVNT|5CGEN|6RCR|7CDMG|9ASPD
