0	Index      	 *	Score 	Summary	Detail	
163	21115 16262	   	180.24	ACR|3VULN|1AART|1DMG|2DUR	1AART|2RCVC|35aVULN|4RCR|68DUR|7BEXP|9DMG
164	21115 24262	   	180.24	ACR|3VULN|1AART|1DMG|2DUR	1AART|2RCVC|35aVULN|4RCR|6BEXP|78DUR|9DMG
165	21125 15315	   	180.20	DCR|2AART|2VULN|1CDMG|2DUR|1ZMB	1aAART|2RCVC|35VULN|46DUR|7RCR|8CDMG|9ZMB
166	25116 41331	   	180.16	ACR|2AART|2VULN|1DMG|2FLTHEA	13AART|29aFEWX|4RCR|59FLTHEA|6DUST|7DMG|89VULN|9BPWR
167	21125 64323	   	180.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RCVC|35VULN|47DUR|6RCR|8CDMG|9ERES|aDMG
168	21315 33552	   	180.08	ACR|3VULN|2AART|2ASPD|1DUR	16AART|2RCVC|38LWND|4RCR|58aVULN|78ASPD|8BPWR|9DUR
169	25116 41332	   	180.06	ACR|2AART|2VULN|1DMG|2FLTHEA	13AART|29FEWX|4RCR|59FLTHEA|6DUST|7DMG|89VULN|9BPWR|aTLV
170	25116 41333	   	180.06	ACR|2AART|2VULN|1DMG|2FLTHEA	13AART|29FEWX|4RCR|59FLTHEA|6DUST|7DMG|89VULN|9BPWR|aAIRHEL
171	21115 26343	   	179.98	ACR|3VULN|2AART|1CDMG|1DUR	17AART|2RCVC|35aVULN|4RCR|6BEXP|8CDMG|9DUR
172	21115 36343	   	179.98	ACR|3VULN|2AART|1CDMG|1DUR	17AART|2RCVC|35aVULN|4RCR|6LHND|8CDMG|9DUR
173	21315 32343	   	179.98	ACR|3VULN|2AART|1CDMG|1DUR	16AART|2RCVC|3LWND|4RCR|57aVULN|8CDMG|9DUR
174	21113 34343	   	179.98	ACR|3VULN|2AART|1CDMG|1DUR	16AART|2RCVC|39aVULN|4RCR|5BEXP|7DUR|8CDMG
175	21315 34343	   	179.98	ACR|3VULN|2AART|1CDMG|1DUR	16AART|2RCVC|3LWND|4RCR|59aVULN|7DUR|8CDMG
