0	Index      	 *	Score 	Summary	Detail	
173	61225 12522	   	170.44	ACR|3VULN|1AART|2ASPD|1CDMG	18BEXP|2LWND|3AART|4RCR|58ASPD|678VULN|8BPWR|9MGNSTR|aCDMG
174	62222 16522	   	170.34	ACR|3VULN|1AART|2ASPD|1CDMG	18BEXP|268VULN|3AART|4RCR|58ASPD|7LEGI|8BPWR|9MGNSTR|aCDMG
175	62222 11526	   	170.24	ACR|3VULN|1AART|2ASPD|1CDMG	1BEXP|267VULN|3AART|4RCR|5aASPD|8CDMG|9LHND
176	62222 31316	   	170.24	ACR|3VULN|1AART|2ASPD|1CDMG	1BEXP|279VULN|3AART|4RCR|56ASPD|8LWND|aCDMG
177	32242 32341	 * 	170.11	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2578VULN|3AART|4RPLT|6BELT|9CDMG|aRCR
178	61223 33611	   	170.10	ACR|3AART|2VULN|1DMG|1DUR	1BEXP|2LWND|358AART|4RCR|6DUR|7DMG|9aVULN
179	61223 33614	 * 	170.10	ACR|3AART|2DMG|1VULN|1DUR	1BEXP|2LWND|358AART|4RCR|6DUR|7aDMG|9VULN
180	62222 21663	   	170.10	ACR|3AART|2VULN|1DMG|1ASPD	1BEXP|27VULN|39aAART|4RCR|5ASPD|6RCVC|8DMG
181	64223 33611	   	170.10	ACR|3AART|2VULN|1DMG|1DUR	1BEXP|2LHND|358AART|4RCR|6DUR|7DMG|9aVULN
182	62222 11221	   	170.04	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8RMIN|9RCVC|aDMG
183	62222 11622	   	170.04	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9RCVC|aLWND
184	62222 11626	   	170.04	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9RCVC|aLIT
185	62222 11625	   	169.94	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9RCVC|aDUST
186	62222 12615	   	169.94	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|26aVULN|3AART|4RCR|5ASPD|7FEWX|8DMG|9ERES
187	62222 12642	   	169.94	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|26aVULN|3AART|4RCR|5ASPD|7FEWX|8DMG|9DUST
188	62223 11311	   	169.87	ACR|5VULN|1AART	1BEXP|2679aVULN|3AART|4RCR|5TLV|8LWND
189	62223 11611	   	169.87	ACR|5VULN|1AART	1BEXP|2678aVULN|3AART|4RCR|5TLV|9LWND
190	62223 11651	   	169.87	ACR|5VULN|1AART	1BEXP|2678aVULN|3AART|4RCR|5TLV|9FEWX
191	62224 11311	   	169.87	ACR|5VULN|1AART	1BEXP|2679aVULN|3AART|4RCR|5ERES|8LWND
192	62224 11611	   	169.87	ACR|5VULN|1AART	1BEXP|2678aVULN|3AART|4RCR|5ERES|9LWND
193	62224 11631	   	169.87	ACR|5VULN|1AART	1BEXP|2678aVULN|3AART|4RCR|5ERES|9FEWX
194	62223 12611	   	169.87	ACR|5VULN|1AART	1BEXP|2689aVULN|3AART|4RCR|5TLV|7FEWX
195	62224 12611	   	169.87	ACR|5VULN|1AART	1BEXP|2689aVULN|3AART|4RCR|5ERES|7FEWX
196	32262 72272	   	169.80	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1DUR|27aVULN|3AART|4MBVNT|5ASPD|6RCR|8FEWX|9ZMB
197	62222 11643	   	169.79	ACR|3VULN|1AART|1DMG|1ASPD|1SELL	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9SELL|aLHND
198	62223 11625	   	169.77	ACR|5VULN|1AART	1BEXP|2678aVULN|3AART|4RCR|59TLV
199	32262 72472	   	169.70	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1DUR|27aVULN|3AART|4MBVNT|5ASPD|6RCR|8DUST|9ZMB
200	62222 31165	 * 	169.70	ACR|2AART|2VULN|3ASPD|1ZMB	1BEXP|27VULN|39AART|4RCR|56aASPD|8ZMB
201	62222 11642	   	169.69	ACR|3VULN|1AART|1DMG|1ASPD|1SELL	1BEXP|267VULN|3AART|4RCR|5ASPD|8DMG|9SELL|aERES
202	32212 53461	   	169.51	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2aVULN|3AART|4BEXP|5ASPD|6BELT|7DMG|8RCR|9ZMB
203	32224 61363	   	169.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|268VULN|3AART|4ZMB|5CGEN|7BEXP|9RCR|aCDMG
204	32231 61363	   	169.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|268VULN|3AART|4CGEN|5ZMB|7BEXP|9RCR|aCDMG
205	32213 11163	   	169.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|267VULN|3AART|4BEXP|5TLV|8ZMB|9RCR|aCDMG
206	32214 11163	   	169.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|267VULN|3AART|4BEXP|5ERES|8ZMB|9RCR|aCDMG
207	32255 11163	   	169.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|267VULN|3AART|4ERES|5LWND|8ZMB|9RCR|aCDMG
208	62253 11163	   	169.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|267VULN|3AART|4ERES|5DUR|8ZMB|9RCR|aCDMG
209	31226 25631	   	169.28	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	156DUR|2LWND|3AART|4ZMB|7aDMG|8VULN|9RCR
210	31226 25632	   	169.28	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	156DUR|2LWND|3AART|4ZMB|7DMG|8aVULN|9RCR
211	62222 12624	 * 	169.24	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1BEXP|26VULN|3AART|4RCR|5ASPD|7FEWX|8DMG|9aZMB
212	32224 52121	   	169.22	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|2VULN|39AART|4ZMB|5CGEN|6BELT|78DMG|aRCR
213	32224 52321	   	169.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|28VULN|39AART|4ZMB|5CGEN|6BELT|7DMG|aRCR
214	32231 52121	   	169.22	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|2VULN|39AART|4CGEN|5ZMB|6BELT|78DMG|aRCR
215	32231 52321	   	169.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|28VULN|39AART|4CGEN|5ZMB|6BELT|7DMG|aRCR
216	32226 52121	   	169.12	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|2VULN|39AART|4ZMB|5NUKE|6BELT|78DMG|aRCR
217	32226 52321	   	169.12	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|28VULN|39AART|4ZMB|5NUKE|6BELT|7DMG|aRCR
218	32251 52121	   	169.12	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|2VULN|39AART|4ERES|5ZMB|6BELT|78DMG|aRCR
219	32251 52321	   	169.12	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|28VULN|39AART|4ERES|5ZMB|6BELT|7DMG|aRCR
220	32236 34113	 * 	169.08	DCR|3VULN|3AART|1ZMB|1DUR	1DUR|269VULN|358AART|4CGEN|7ZMB|aRCR
