0	Index      	 *	Score 	Summary	Detail	
169	31365 22114	 * 	165.86	DCR|3VULN|3CDMG|1AART|1DUR	1DUR|256CDMG|346VULN|6BPWR|7AART|8DUST|9MBVNT|aRCR
170	31361 11361	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|34VULN|57FEWX|6RCR|8DMG|9BEXP|aAART
171	31332 62113	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|39VULN|4CGEN|5BEXP|6AART|7RCR|8RPLT|aDMG
172	31336 16315	   	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2CDMG|3VULN|47CGEN|5TLV|6RCR|89DMG|aAART
173	13522 13531	   	165.71	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	1ERES|2VULN|36DMG|489DUR|5ASPD|7RCR|aAART
174	42652 12211	   	165.60	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2AART|3ERES|4RCR|56VULN|7aFEWX|8CDMG|9DMG
175	42652 12212	   	165.60	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2AART|3ERES|4RCR|56VULN|7FEWX|8CDMG|9DMG|aLIT
176	31322 62265	   	165.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2CDMG|39VULN|4BEXP|5DMG|6AART|7RMIN|8ASPD|aRCR
177	31361 11314	   	165.49	DCR|2VULN|2DMG|1CDMG|2DUR	1aDUR|2CDMG|34VULN|57FEWX|6RCR|89DMG
178	42652 13133	   	165.48	ACR|3VULN|1AART|1ZMB|1DUR	1RCVC|2AART|3ERES|4RCR|567VULN|8DUR|9LHND|aZMB
179	31134 51512	   	165.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2CDMG|3AART|4TLV|5DLOT|6VULN|7ZMB|8RCR|9DMG|aASPD
180	34122 23221	   	165.31	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3MLV|46AART|57VULN|8CGEN|9RCR|aDMG
181	31123 36135	   	165.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|38AART|4BEXP|5VULN|6ZMB|7CGEN|9DMG|aRCR
182	31143 36135	   	165.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|38AART|4ZMB|5FEWX|6VULN|7CGEN|9DMG|aRCR
183	31163 36135	   	165.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|38AART|4FEWX|5VULN|6ZMB|7CGEN|9DMG|aRCR
184	34422 22153	   	165.21	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3TLV|46AART|58VULN|7FEWX|9RCR|aDMG
185	34422 23221	   	165.21	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3TLV|46AART|57VULN|8CGEN|9RCR|aDMG
186	34523 23321	   	165.21	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3CGEN|46AART|57VULN|8ERES|9RCR|aDMG
187	42142 23221	   	165.12	DCR|2AART|2VULN|1DMG|1DUR	1RCVC|26AART|3DUR|4ERES|57VULN|8CGEN|9RCR|aDMG
188	42163 23321	   	165.12	DCR|2AART|2VULN|1DMG|1DUR	1RCVC|26AART|3DUR|4CGEN|57VULN|8ERES|9RCR|aDMG
189	31133 32651	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3AART|4TLV|56VULN|7LHND|8RCR|9DMG|aLWND
190	31133 32652	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3AART|4TLV|56VULN|7aLHND|8RCR|9DMG
191	31133 32653	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3AART|4TLV|56VULN|7LHND|8RCR|9DMG|aCGEN
192	31133 32655	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3AART|4TLV|56VULN|7LHND|8RCR|9DMG|aFEWX
193	31133 32656	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3AART|4TLV|56VULN|7LHND|8RCR|9DMG|aRPLT
194	34422 23353	   	165.11	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3TLV|46AART|57VULN|8DUST|9RCR|aDMG
195	13113 24633	 * 	165.02	DCR|3VULN|1AART|2ASPD|1CDMG	1aERES|29aVULN|3MGNLIT|4CDMG|5RMIN|6aASPD|7AART|8RCR|aBPWR
196	31133 32654	   	165.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3AART|4TLV|56VULN|7LHND|8RCR|9DMG|aLEGI
197	23522 21355	   	164.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|28VULN|3DMG|4DUR|5ASPD|6FEWX|7AART|9CDMG|aRCR
198	23522 31355	   	164.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|28VULN|3DMG|4DUR|5ASPD|6LHND|7AART|9CDMG|aRCR
199	32223 14551	   	164.71	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	137DUR|2MBVNT|4AART|57CGEN|67VULN|7BPWR|8ASPD|9RCR|aDMG
200	13522 13333	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2aVULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|9RMIN
201	13522 13341	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|29VULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|aRMIN
202	13522 13363	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2aVULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|9MLV
203	36551 13333	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1DUR|2ERES|36DMG|4ASPD|5aVULN|7RCR|8CDMG|9RMIN
204	11551 13343	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|2LHND|36DMG|4ASPD|59VULN|7RCR|8CDMG|aDUR
205	13551 13314	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|25VULN|39DMG|4ASPD|6BEXP|7RCR|8CDMG|aDUR
206	13551 33314	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|25VULN|39DMG|4ASPD|6FEWX|7RCR|8CDMG|aDUR
207	13551 63313	   	164.64	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ERES|25VULN|39DMG|4ASPD|6LWND|7RCR|8CDMG|aDUR
208	32528 14215	   	164.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2MBVNT|37CGEN|4DMSP|5AART|67VULN|7BPWR|8CDMG|9DMG|aRCR
209	23541 31313	 * 	164.57	DCR|4VULN|2DMG	1CGEN|256aVULN|36DMG|4RMIN|6BPWR|7MGNSTR|8RCR|9ERES
210	13522 13342	   	164.54	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1ERES|29VULN|36DMG|4DUR|5ASPD|7RCR|8CDMG|aLEGI
211	13133 61342	   	164.48	DCR|3VULN|1AART|1DMG|1ZMB	1ERES|257VULN|3MGNLIT|4ZMB|6BASHEA|8DMG|9RCR|aAART
212	23541 34313	   	164.47	DCR|4VULN|2DMG	1CGEN|256aVULN|36DMG|4RMIN|6BPWR|7CANSTR|8RCR|9ERES
213	32258 83134	 * 	164.41	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	13DUR|2MBVNT|4RMIN|5AART|6FLTHEA|78VULN|9DMG|aRCR
214	23221 63124	   	164.34	DCR|3VULN|2AART|2DUR|1ASPD	1CGEN|258VULN|3RPLT|45DUR|5BPWR|67AART|9ASPD|aRCR
215	45132 35113	   	164.30	DCR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2TLV|3aDMG|4DUR|5LHND|6RCR|7aLWND|8CDMG|9aVULN|aBPWR
216	13221 63124	   	164.24	DCR|3VULN|2AART|2DUR|1ASPD	1ERES|258VULN|3RPLT|45DUR|5BPWR|67AART|9ASPD|aRCR
217	23541 31341	   	164.21	DCR|3VULN|2DMG|1CDMG	1CGEN|256VULN|36DMG|4RMIN|6BPWR|7MGNSTR|8RCR|9CDMG|aLWND
218	23541 31343	   	164.21	DCR|3VULN|2DMG|1CDMG	1aCGEN|256VULN|36DMG|4RMIN|6BPWR|7MGNSTR|8RCR|9CDMG
219	23251 63251	   	164.13	ACR|2VULN|2AART|1DMG|1DUR	15CGEN|25VULN|3RPLT|4RCR|5BPWR|67AART|8DUR|9DMG|aLWND
220	23251 63252	   	164.13	ACR|2VULN|2AART|1DMG|1DUR	15CGEN|25VULN|3RPLT|4RCR|5BPWR|67AART|8DUR|9DMG|aLHND
221	36523 12152	   	164.12	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2ERES|3DMG|4AART|57CGEN|68aVULN|9RCR
222	23541 31342	   	164.11	DCR|3VULN|2DMG|1CDMG	1CGEN|256VULN|36DMG|4RMIN|6BPWR|7MGNSTR|8RCR|9CDMG|aDUST
223	31365 61112	 * 	164.11	DCR|2VULN|2DMG|2CDMG|1DUR	1DUR|25CDMG|34VULN|6LIT|7RCR|8LHND|9aDMG
224	31365 61212	   	164.11	DCR|2VULN|2DMG|2CDMG|1DUR	1DUR|25CDMG|34VULN|6LIT|7RCR|8BEXP|9aDMG
225	45132 32113	   	164.10	DCR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2TLV|3aDMG|4DUR|5LHND|6RCR|7aDUST|8CDMG|9aVULN|aBPWR
226	23251 63332	   	164.03	ACR|2VULN|2AART|1DMG|1ASPD	15CGEN|25VULN|3RPLT|4RCR|5BPWR|67AART|8TLV|9DMG|aASPD
227	23633 62211	 * 	164.01	DCR|2VULN|2DMG|3ASPD|1DUR	1CGEN|26VULN|389ASPD|4ERES|56DMG|6BPWR|7RCR|aDUR
228	42652 22223	   	163.92	ACR|2AART|2VULN|1CDMG|1ASPD	1RCVC|26AART|3ERES|4RCR|5aVULN|7FEWX|8CDMG|9ASPD
229	23533 62163	   	163.91	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1CGEN|26VULN|3DMG|4ERES|56ASPD|6BPWR|7RCR|8RPLT|9AART|aDUR
230	31361 11344	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	1aDUR|2CDMG|349VULN|57FEWX|6RCR|8DMG
231	31361 11551	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	19DUR|2CDMG|348VULN|57FEWX|6RCR|aDMG
232	31361 16113	   	163.56	DCR|3VULN|1DMG|1CDMG|2DUR	18DUR|2CDMG|34aVULN|5FEWX|6RCR|7CGEN|9DMG
233	31151 26113	   	163.54	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	1DUR|2CDMG|39AART|4BELT|56VULN|7BEXP|8RCR|aASPD
234	41448 42623	 * 	163.54	ACR|2VULN|2DMG|1AART	1RCVC|2MBVNT|3LHND|4LWND|5RCR|6aVULN|79DMG|8AART
235	31363 14413	   	163.52	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|34VULN|5CGEN|6RCVC|7BELT|8RCR|9DMG|aAART
236	13524 12152	   	163.52	DCR|3VULN|1AART|1DMG|1DUR	1ERES|28aVULN|3DMG|4DUR|5AART|67CGEN|9RCR
237	31361 12113	   	163.46	DCR|3VULN|1DMG|1CDMG|2DUR	18DUR|2CDMG|34aVULN|5FEWX|6RCR|7ERES|9DMG
238	31151 23113	   	163.44	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	1DUR|2CDMG|39AART|4BELT|56VULN|7DUST|8RCR|aASPD
239	31312 13331	   	163.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2CDMG|378VULN|4LIT|5ZMB|6LWND|9AART|aRCR
240	31312 63351	   	163.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2CDMG|378VULN|4LIT|5ZMB|6FEWX|9AART|aRCR
241	42652 21111	   	163.40	ACR|2AART|2VULN|1DMG	1RCVC|26AART|3ERES|4RCR|58VULN|7RPLT|9DMG|aFEWX
242	42652 21112	   	163.40	ACR|2AART|2VULN|1DMG	1RCVC|26AART|3ERES|4RCR|58VULN|7RPLT|9DMG|aLWND
243	42652 21113	   	163.40	ACR|2AART|2VULN|1DMG	1RCVC|26AART|3ERES|4RCR|58VULN|7RPLT|9DMG|aCGEN
244	42142 12152	 * 	163.36	DCR|4VULN|1AART|1DUR	1RCVC|2AART|3DUR|4ERES|568aVULN|7FEWX|9RCR
245	13535 31214	   	163.36	DCR|3VULN|1DMG|2ASPD|2DUR	147ERES|29aVULN|3DMG|59DUR|6RCR|89ASPD|9BPWR
246	32221 32716	   	163.33	DCR|1AART|1VULN|1DMG|2CDMG|2DUR	13DUR|2MBVNT|4AART|5RPLT|6RCR|79CDMG|8VULN|aDMG
247	31312 33351	   	163.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2CDMG|378VULN|4LIT|5ZMB|6DUST|9AART|aRCR
248	42652 23211	 * 	163.30	ACR|2AART|2VULN|2CDMG	1RCVC|26AART|3ERES|4RCR|57VULN|8aCDMG|9CGEN
249	42142 13352	   	163.26	DCR|4VULN|1AART|1DUR	1RCVC|2AART|3DUR|4ERES|567aVULN|8DUST|9RCR
250	42242 13152	   	163.26	DCR|4VULN|1AART|1DUR	1RCVC|2AART|3DUST|4ERES|567aVULN|8DUR|9RCR
251	42612 13152	   	163.26	DCR|4VULN|1AART|1DUR	1RCVC|2AART|3ERES|4DUST|567aVULN|8DUR|9RCR
252	42121 32716	   	163.24	DCR|1AART|1VULN|1DMG|2CDMG|1DUR	1RCVC|2AART|3DUR|4MBVNT|5RPLT|6RCR|79CDMG|8VULN|aDMG
253	32524 14113	   	163.19	DCR|2VULN|2DMG|1CDMG|2DUR	1aDUR|2MBVNT|3CGEN|4DMSP|5aDMG|6BEXP|7RCR|8CDMG|9aVULN|aBPWR
254	32524 24113	   	163.19	DCR|2VULN|2DMG|1CDMG|2DUR	1aDUR|2MBVNT|3CGEN|4DMSP|5aDMG|6LWND|7RCR|8CDMG|9aVULN|aBPWR
255	31143 51243	   	163.17	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2CDMG|3AART|4ZMB|5FEWX|6DMG|7LHND|8ASPD|9RCR|aVULN
256	31322 61643	   	163.14	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|2aCDMG|3VULN|47BEXP|5DMG|6AART|8RCR|9ZMB
257	35432 23351	   	163.13	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|2LIT|3FEWX|48VULN|56CDMG|7DMG|9AART|aRCR
258	41148 14172	   	163.08	DCR|3VULN|1AART|2CDMG	1RCVC|2MBVNT|35aVULN|4LHND|6aBEXP|7RCR|8aCDMG|9AART|aBPWR
259	23633 62223	   	163.07	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|26VULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9ZMB|aRCVC
260	31121 32355	   	162.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3AART|4BEXP|5CGEN|6VULN|7RCR|8RCVC|9DMG|aZMB
261	31123 62355	   	162.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3AART|4BEXP|5VULN|6MLV|7RCR|8RCVC|9DMG|aZMB
262	32441 43158	   	162.91	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|2MBVNT|3LWND|47AART|5CDMG|6DMG|8VULN|9RCR|aASPD
263	34122 21114	   	162.91	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3MLV|46AART|58VULN|7RPLT|9DMG|aRCR
264	34523 21114	   	162.91	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3CGEN|46AART|58VULN|7RPLT|9DMG|aRCR
265	34122 43114	   	162.91	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3MLV|47AART|58VULN|6RPLT|9DMG|aRCR
266	31133 62355	   	162.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3AART|4TLV|5VULN|6BEXP|7RCR|8RCVC|9DMG|aZMB
267	42163 21114	   	162.82	DCR|2AART|2VULN|1DMG|1DUR	1RCVC|26AART|3DUR|4CGEN|58VULN|7RPLT|9DMG|aRCR
268	23116 34632	   	162.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|29VULN|3MGNLIT|4CDMG|5MLV|6DMG|7AART|8RCR|aASPD
269	23116 24632	   	162.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|29VULN|3MGNLIT|4CDMG|5MLV|6ASPD|7AART|8RCR|aDMG
270	34422 21114	   	162.81	DCR|2AART|2VULN|1DMG|2DUR	12DUR|3TLV|46AART|58VULN|7RPLT|9DMG|aRCR
271	31143 33146	   	162.80	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|2CDMG|37AART|4ZMB|5FEWX|68VULN|9BEXP|aRCR
272	31163 33146	   	162.80	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|2CDMG|37AART|4FEWX|58VULN|6ZMB|9BEXP|aRCR
273	42142 21114	   	162.72	DCR|2AART|2VULN|1DMG|1DUR	1RCVC|26AART|3DUR|4ERES|58VULN|7RPLT|9DMG|aRCR
274	13111 24632	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|29VULN|3MGNLIT|4CDMG|5CGEN|6ASPD|7AART|8RCR|aDMG
275	13113 24632	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|29VULN|3MGNLIT|4CDMG|5RMIN|6ASPD|7AART|8RCR|aDMG
276	13116 34612	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2aVULN|3MGNLIT|4CDMG|5ASPD|6DMG|7AART|8RCR|9FEWX
277	13116 34631	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|29VULN|3MGNLIT|4CDMG|5ASPD|6DMG|7AART|8RCR|aLWND
278	13116 34633	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|29VULN|3MGNLIT|4CDMG|5ASPD|6DMG|7AART|8RCR|aFEWX
279	13111 34632	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|29VULN|3MGNLIT|4CDMG|5CGEN|6DMG|7AART|8RCR|aASPD
280	13111 34635	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|29VULN|3MGNLIT|4CDMG|5CGEN|6DMG|7AART|8RCR|aDUR
281	13113 34632	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|29VULN|3MGNLIT|4CDMG|5RMIN|6DMG|7AART|8RCR|aASPD
282	13113 34635	   	162.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|29VULN|3MGNLIT|4CDMG|5RMIN|6DMG|7AART|8RCR|aDUR
283	11522 13243	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2LHND|368DMG|4DUR|5ASPD|7RCR|9CDMG|aVULN
284	11522 13313	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2LHND|369DMG|4DUR|5ASPD|7RCR|8CDMG|aVULN
285	13522 13222	   	162.70	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ERES|2VULN|368DMG|4DUR|5ASPD|7RCR|9CGEN|aCDMG
286	13522 13242	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2VULN|368DMG|4DUR|5ASPD|7RCR|9CDMG|aLHND
287	13522 13244	   	162.70	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ERES|2VULN|368DMG|4DUR|5ASPD|7RCR|9CDMG|aCGEN
288	13522 13312	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2VULN|369DMG|4DUR|5ASPD|7RCR|8CDMG|aLHND
289	13522 13314	   	162.70	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ERES|2VULN|369DMG|4DUR|5ASPD|7RCR|8CDMG|aCGEN
290	36551 13222	   	162.70	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1DUR|2ERES|368DMG|4ASPD|5VULN|7RCR|9CGEN|aCDMG
291	36551 13312	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1DUR|2ERES|369DMG|4ASPD|5VULN|7RCR|8CDMG|aLHND
292	36552 13313	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1DUR|2ERES|369DMG|4ASPD|5LHND|7RCR|8CDMG|aVULN
293	11551 13243	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2LHND|368DMG|4ASPD|5VULN|7RCR|9CDMG|aDUR
294	11551 13313	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2LHND|369DMG|4ASPD|5VULN|7RCR|8CDMG|aDUR
295	13553 63313	   	162.70	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2VULN|359DMG|4ASPD|6LWND|7RCR|8CDMG|aDUR
296	31346 13314	 * 	162.63	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17aDUR|2CDMG|3VULN|4ZMB|5TLV|6RCR|89DMG
297	11116 34632	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2LHND|3BASICY|4CDMG|5ASPD|6DMG|7AART|8RCR|9aVULN
298	13522 13232	   	162.60	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2VULN|368DMG|4DUR|5ASPD|7RCR|9NUKE|aCDMG
299	13522 13241	   	162.60	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ERES|2VULN|368DMG|4DUR|5ASPD|7RCR|9CDMG|aLEGI
300	13522 13245	   	162.60	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ERES|2VULN|368DMG|4DUR|5ASPD|7RCR|9CDMG|aDLOT
301	13522 13246	   	162.60	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2VULN|368DMG|4DUR|5ASPD|7RCR|9CDMG|aDUST
302	13522 13311	   	162.60	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ERES|2VULN|369DMG|4DUR|5ASPD|7RCR|8CDMG|aLEGI
303	13522 13315	   	162.60	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ERES|2VULN|369DMG|4DUR|5ASPD|7RCR|8CDMG|aDLOT
304	13522 13316	   	162.60	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1ERES|2VULN|369DMG|4DUR|5ASPD|7RCR|8CDMG|aDUST
305	36551 13232	   	162.60	DCR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1DUR|2ERES|368DMG|4ASPD|5VULN|7RCR|9NUKE|aCDMG
306	36551 13311	   	162.60	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1DUR|2ERES|369DMG|4ASPD|5VULN|7RCR|8CDMG|aLEGI
307	32212 44172	   	162.58	DCR|2VULN|1AART|2CDMG|3DUR	13aDUR|2MBVNT|4RCVC|5LHND|6aVULN|7RCR|8aCDMG|9AART|aBPWR
308	23251 64121	   	162.48	ACR|4VULN|1AART|1ASPD	157CGEN|2578VULN|3RPLT|4RCR|57BPWR|6AART|9ASPD|aFEWX
309	23251 64122	   	162.48	ACR|4VULN|1AART|1ASPD	157CGEN|2578VULN|3RPLT|4RCR|57BPWR|6AART|9ASPD|aLWND
310	23251 64123	   	162.48	ACR|4VULN|1AART|1ASPD	157aCGEN|2578VULN|3RPLT|4RCR|57BPWR|6AART|9ASPD
311	42241 15321	   	162.38	DCR|3VULN|1AART|1DMG	1RCVC|2AART|37DUST|4ERES|57CGEN|678VULN|7BPWR|9RCR|aDMG
312	42542 13221	   	162.38	DCR|3VULN|1AART|1DMG	1RCVC|2AART|3LHND|4ERES|567VULN|8CGEN|9RCR|aDMG
313	42611 15321	   	162.38	DCR|3VULN|1AART|1DMG	1RCVC|2AART|37ERES|4DUST|57CGEN|678VULN|7BPWR|9RCR|aDMG
314	42632 13221	   	162.38	DCR|3VULN|1AART|1DMG	1RCVC|2AART|3ERES|4LHND|567VULN|8CGEN|9RCR|aDMG
315	42632 13421	   	162.38	DCR|3VULN|1AART|1DMG	1RCVC|2AART|3ERES|4LHND|567VULN|8RMIN|9RCR|aDMG
316	42632 14322	   	162.38	DCR|3VULN|1AART|1DMG	1RCVC|2AART|3ERES|4LHND|568VULN|7DMG|9RCR|aBEXP
317	42632 14323	   	162.38	DCR|3VULN|1AART|1DMG	1RCVC|2AART|3ERES|4LHND|568VULN|7DMG|9RCR|aLWND
318	41144 54172	 * 	162.29	DCR|2VULN|1AART|2CDMG|2ZMB	1RCVC|2MBVNT|3aVULN|4LHND|5RMIN|6aZMB|7RCR|8aCDMG|9AART|aBPWR
319	41123 42761	   	162.24	DCR|2VULN|1AART|1DMG|2DUR|2RCVC	15RCVC|2MBVNT|36VULN|48DUR|7RCR|9AART|aDMG
320	11551 13333	 * 	162.18	DCR|3DMG|1VULN|2CDMG|1ASPD	1aERES|2LHND|36aDMG|4ASPD|5VULN|7RCR|8aCDMG|9RMIN|aBPWR
321	13632 31214	   	162.10	DCR|3VULN|2DMG|1ASPD	147ERES|29aVULN|3ASPD|59LHND|6RCR|89DMG|9BPWR
322	23633 62363	   	162.09	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1CGEN|26VULN|3ASPD|4ERES|56DMG|6BPWR|7RCR|8LHND|9ZMB|aDUR
323	13522 13626	   	161.99	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1ERES|28VULN|36DMG|4DUR|5ASPD|7RCR|9BEXP|aZMB
324	13551 33236	   	161.99	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1ERES|25VULN|38DMG|4ASPD|6FEWX|7RCR|9DUR|aZMB
325	22465 33212	 * 	161.93	DCR|3VULN|1DMG|2CDMG|1ASPD|1SELL	1CGEN|2SELL|3NUKE|46aVULN|56CDMG|6BPWR|7RCR|8DMG|9ASPD
326	23361 32521	   	161.92	DCR|3VULN|1AART|1DMG|1ASPD	1CGEN|256VULN|346LHND|6BPWR|7ASPD|8AART|9RCR|aDMG
327	41882 13412	   	161.85	ACR|3VULN|1DMG|1CDMG|1ZMB	1RCVC|2MBVNT|3BELT|4ZMB|5RCR|68aVULN|7CDMG|9DMG
328	23254 21433	   	161.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|28VULN|3RPLT|4RCR|5ZMB|6DMG|7MLV|9AART|aDUR
329	23633 62221	   	161.76	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|26VULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9ZMB|aLWND
330	23633 62224	   	161.76	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|26VULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9ZMB|aBELT
331	13113 31335	   	161.76	DCR|2VULN|2DMG|1CDMG|1ZMB	1ERES|2aVULN|3MGNLIT|4CDMG|5RMIN|69DMG|7RCR|8ZMB
332	23553 42222	   	161.76	DCR|2VULN|2DMG|2ASPD|1ZMB	1CGEN|2aVULN|35DMG|48ASPD|6MLV|7RCR|9ZMB
