0	Index      	Bounty	 *	Score 	Summary	Detail	
42	25241 62332	8	   	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	18LIT|2567VULN|36ASPD|4DMSP|6BPWR|9RCR|aDUR
43	21436 11232	7	   	259.91	DCR|4VULN|3DUR	1LIT|2CGEN|356DUR|478aVULN|9RCR
44	21556 11232	7	   	259.91	DCR|4VULN|3DUR	1LIT|2CGEN|378aVULN|456DUR|9RCR
45	22556 11232	7	   	259.81	DCR|4VULN|3DUR	1LIT|2ERES|378aVULN|456DUR|9RCR
46	21531 24632	5	 * 	258.38	DCR|5VULN|1TLV|2LIT	18LIT|2CGEN|34578VULN|68LWND|8BPWR|9RCR|aTLV
47	12133 11435	6	 * 	258.37	DCR|3VULN|3DMG|2CDMG	17LHND|248DMG|37CDMG|579VULN|6RPLT|7BPWR|aRCR
48	62133 11435	6	   	258.37	DCR|3VULN|3DMG|2CDMG	17LWND|248DMG|37CDMG|579VULN|6RPLT|7BPWR|aRCR
49	12133 66223	5	   	258.17	DCR|3VULN|3DMG|2CDMG	1LHND|248DMG|3aCDMG|567VULN|9RCR
50	12133 66223	6	   	258.17	DCR|3VULN|3DMG|2CDMG	1LHND|248DMG|3aCDMG|567VULN|9RCR
51	24323 12615	5	 * 	258.17	DCR|3VULN|3DMG|3LIT	14aLIT|23aDMG|5CGEN|6DUST|7RCR|89aVULN|aBPWR
52	62133 66223	5	   	258.17	DCR|3VULN|3DMG|2CDMG	1LWND|248DMG|3aCDMG|567VULN|9RCR
53	62133 66223	6	   	258.17	DCR|3VULN|3DMG|2CDMG	1LWND|248DMG|3aCDMG|567VULN|9RCR
54	24323 12615	4	   	258.07	DCR|3VULN|3DMG|3LIT	14aLIT|23aDMG|5ERES|6DUST|7RCR|89aVULN|aBPWR
55	24531 61333	10	   	257.37	DCR|3VULN|3DMG|1ASPD|1SELL	1LIT|246DMG|356VULN|6BPWR|7ASPD|8LWND|9SELL|aRCR
56	25313 36351	9	 * 	257.12	DCR|4VULN|2ASPD|1DMG	1LIT|267aVULN|3RPLT|4DMG|59ASPD|8RCR
57	26363 13113	8	 * 	256.33	DCR|2VULN|3DUR|1DMG|1TLV|1AART	1LIT|2TLV|3DMG|49VULN|578DUR|6AART|aRCR
58	26533 13113	8	   	256.33	DCR|2VULN|3DUR|1DMG|1TLV|1AART	1LIT|2TLV|39VULN|4DMG|578DUR|6AART|aRCR
59	42224 11884	8	 * 	256.20	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1aTLV|2AART|3MBVNT|4aDMG|56DUR|7RCR|8MLV|9aVULN|aBPWR
60	22533 51263	8	 * 	256.13	DCR|3VULN|1DMG|2TLV|1DUR|2LIT	1aLIT|2ERES|36aVULN|4DMG|5DUR|7RMIN|8RCR|9aTLV|aBPWR
61	42222 42874	9	   	256.10	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1aTLV|2AART|3MBVNT|4aDMG|5ERES|67DUR|8RCR|9aVULN|aBPWR
62	42222 42884	8	   	256.10	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1aTLV|2AART|3MBVNT|4aDMG|5ERES|67DUR|8RCR|9aVULN|aBPWR
63	24336 16212	3	   	256.05	DCR|2VULN|3DMG|1DUR|2LIT|1CDMG	14LIT|234DMG|4BPWR|56VULN|7TBNT|8RCR|9DUR|aCDMG
64	24531 33621	4	   	255.97	DCR|2VULN|3DMG|2TLV|2LIT|1AART	1aLIT|245DMG|3aVULN|6aTLV|7AART|8RCR|9RPLT|aBPWR
65	25512 82223	8	 * 	255.86	DCR|3VULN|2DUR|3LIT|2TLV	179LIT|269VULN|3MBVNT|47TLV|57CGEN|79BPWR|89DUR|aRCR
66	24331 23216	6	   	255.51	DCR|3VULN|2DMG|1CDMG|1ASPD	1LIT|23DMG|4CDMG|5RPLT|6RCR|789VULN|aASPD
67	16113 46211	5	   	254.89	DCR|4VULN|1DUR|1TLV|2LIT	1LHND|2DUR|38LIT|4TLV|579aVULN|6RCR
