0	Index      	Bounty	 *	Score 	Summary	Detail	
182	24551 13212	3	   	249.40	DCR|2VULN|3DMG|1DUR|1CDMG	1LIT|257DMG|34VULN|6BBNT|8RCR|9DUR|aCDMG
183	43111 33134	1	 * 	248.92	DCR|3VULN|3DUR|2TLV	18TLV|289VULN|3DUST|4CGEN|5MBVNT|6RCR|78aDUR|8BPWR
184	43151 33183	1	 * 	248.92	DCR|3VULN|3DUR|3TLV	18aTLV|28aVULN|3DUST|4ERES|5MBVNT|6RCR|78aDUR|8aBPWR|9RPLT
185	43151 33134	1	   	248.82	DCR|3VULN|3DUR|2TLV	18TLV|289VULN|3DUST|4ERES|5MBVNT|6RCR|78aDUR|8BPWR
186	42228 13414	10	   	248.79	DCR|2VULN|3DMG|2TLV|2AART	19TLV|26AART|3MBVNT|459DMG|7RPLT|89VULN|9BPWR|aRCR
187	42228 13417	9	   	248.79	DCR|2VULN|3DMG|2TLV|2AART	19TLV|26AART|3MBVNT|459DMG|7RPLT|89VULN|9BPWR|aRCR
188	42224 71351	10	   	248.70	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3MBVNT|46DMG|5DUR|7RCR|8aVULN|9ASPD
189	42224 71363	10	   	248.70	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3MBVNT|46DMG|5DUR|7RCR|89VULN|aASPD
190	42228 41351	10	   	248.70	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3MBVNT|45DMG|6DUR|7RCR|8aVULN|9ASPD
191	42228 41363	10	   	248.70	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3MBVNT|45DMG|6DUR|7RCR|89VULN|aASPD
