0	Index      	Bounty	 *	Score 	Summary	Detail	
167	15211 35222	1	   	255.55	DCR|2VULN|3DMG|3DUR	139DUR|23LWND|39BPWR|4BBNT|579DMG|69VULN|8DMSP|aRCR
168	13241 42632	4	   	255.55	DCR|2VULN|3DMG|3DUR	15aDUR|2FEWX|3aVULN|4DMSP|6RCR|79aDMG|8RPLT|aBPWR
169	11225 25122	3	   	255.45	DCR|2VULN|3DMG|3DUR	159DUR|2LHND|39VULN|479DMG|6TBNT|8RCVC|9BPWR|aRCR
170	11225 25222	3	   	255.45	DCR|2VULN|3DMG|3DUR	159DUR|2LHND|39VULN|479DMG|6TBNT|8DMSP|9BPWR|aRCR
171	11225 25622	3	   	255.45	DCR|2VULN|3DMG|3DUR	159DUR|28LHND|39VULN|479DMG|6TBNT|9BPWR|aRCR
172	11311 35122	2	   	255.45	DCR|2VULN|3DMG|3DUR	139DUR|2LHND|4BBNT|579DMG|69VULN|8RCVC|9BPWR|aRCR
173	11311 35222	2	   	255.45	DCR|2VULN|3DMG|3DUR	139DUR|2LHND|4BBNT|579DMG|69VULN|8DMSP|9BPWR|aRCR
174	11311 35622	2	   	255.45	DCR|2VULN|3DMG|3DUR	139DUR|28LHND|4BBNT|579DMG|69VULN|9BPWR|aRCR
175	11551 35122	2	   	255.45	DCR|2VULN|3DMG|3DUR	149DUR|2LHND|3TBNT|579DMG|69VULN|8RCVC|9BPWR|aRCR
176	11551 35222	2	   	255.45	DCR|2VULN|3DMG|3DUR	149DUR|2LHND|3TBNT|579DMG|69VULN|8DMSP|9BPWR|aRCR
177	13222 25122	3	   	255.45	DCR|2VULN|3DMG|3DUR	189DUR|25FEWX|39VULN|479DMG|6TBNT|9BPWR|aRCR
178	13246 25122	5	   	255.45	DCR|2VULN|3DMG|3DUR	189DUR|2FEWX|39VULN|4DMSP|579DMG|6TBNT|9BPWR|aRCR
179	16111 35122	1	   	255.45	DCR|2VULN|3DMG|3DUR	189DUR|2DMSP|3BEXP|4BBNT|579DMG|69VULN|9BPWR|aRCR
180	11241 11215	4	   	255.41	DCR|4VULN|1DUR|1CDMG|1AART	1DUR|2LHND|3579VULN|4AART|6LIT|8CDMG|aRCR
181	11242 11215	5	   	255.41	DCR|4VULN|1DUR|1CDMG|1AART	1DUR|2LHND|3579VULN|4AART|6LIT|8CDMG|aRCR
182	16611 35122	1	   	255.35	DCR|2VULN|3DMG|3DUR	189DUR|2DMSP|3DUST|4BBNT|579DMG|69VULN|9BPWR|aRCR
183	12241 52212	4	   	255.35	DCR|2VULN|3DMG|3DUR	14aDUR|2RPLT|35VULN|67aDMG|8RCR|9aDUST|aBPWR
184	12244 42212	6	   	255.35	DCR|2VULN|3DMG|3DUR	14aDUR|2RPLT|36VULN|57aDMG|8RCR|9aDUST|aBPWR
185	13211 35122	1	   	255.35	DCR|2VULN|3DMG|3DUR	139DUR|2LEGI|39BPWR|4BBNT|579DMG|69VULN|8RCVC|aRCR
186	13211 35222	1	   	255.35	DCR|2VULN|3DMG|3DUR	139DUR|2LEGI|39BPWR|4BBNT|579DMG|69VULN|8DMSP|aRCR
187	13551 35122	1	   	255.35	DCR|2VULN|3DMG|3DUR	149DUR|2LEGI|3TBNT|579DMG|69VULN|8RCVC|9BPWR|aRCR
188	13551 35222	1	   	255.35	DCR|2VULN|3DMG|3DUR	149DUR|2LEGI|3TBNT|579DMG|69VULN|8DMSP|9BPWR|aRCR
189	12241 52235	4	   	255.35	DCR|2VULN|3DMG|3DUR	14aDUR|2RPLT|35VULN|679DMG|8RCR
190	16223 25122	3	   	255.25	DCR|2VULN|3DMG|3DUR	189DUR|25DUST|39VULN|479DMG|6TBNT|9BPWR|aRCR
191	16611 35122	2	   	255.25	DCR|2VULN|3DMG|3DUR	189DUR|23DUST|4BBNT|579DMG|69VULN|9BPWR|aRCR
192	15612 23216	9	   	255.03	DCR|3VULN|3DUR|1TLV|1AART|1SELL	18aDUR|2TLV|38aVULN|48aBEXP|5SELL|6AART|7RPLT|8aBPWR|9RCR
193	13216 13513	8	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1DUR|2FEWX|346aVULN|5DMG|7RMIN|8ASPD|9RCR
194	41215 13513	8	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1LWND|2LHND|346aVULN|5DMG|7TLV|8ASPD|9RCR
195	61316 42121	5	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2CGEN|367aVULN|4ASPD|5DMG|8TLV|9RCR
196	16216 13513	8	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1DUR|2DUST|346aVULN|5DMG|7RMIN|8ASPD|9RCR
197	53611 32243	9	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1ERES|2379VULN|4ASPD|5TLV|6RCVC|8DMG|aRCR
198	33211 33345	6	   	254.75	DCR|3VULN|3DMG|1DUR	1LEGI|2BELT|389VULN|489DMG|589FEWX|6RPLT|7RCR|89BPWR|aDUR
199	33213 13345	6	   	254.75	DCR|3VULN|3DMG|1DUR	1LEGI|2BELT|389VULN|489DMG|5RPLT|689FEWX|7RCR|89BPWR|aDUR
200	33213 63345	5	   	254.75	DCR|3VULN|3DMG|1DUR	1LEGI|2BELT|389VULN|489DMG|5RPLT|689FEWX|7RCR|89BPWR|aDUR
201	33232 43345	4	   	254.75	DCR|3VULN|3DMG|1DUR	1LEGI|2BELT|389VULN|4RPLT|589FEWX|689DMG|7RCR|89BPWR|aDUR
202	56231 33612	5	   	254.75	DCR|4VULN|2DMG|1AART	14ERES|2AART|34DMG|4BPWR|589aVULN|6RCR|7DMSP
203	13211 43516	4	   	254.52	DCR|4VULN|2DUR|1TLV	15DUR|2FEWX|3479VULN|6RCR|8BBNT|aTLV
