0	Index      	Bounty	 *	Score 	Summary	Detail	
16	16216 11132	9	   	278.50	DCR|4VULN|2DUR|2CDMG|1DMG	1aDUR|2DUST|346aVULN|5DMG|7BEXP|8aCDMG|9RCR|aBPWR
17	16216 12132	9	   	278.50	DCR|4VULN|2DUR|2CDMG|1DMG	1aDUR|2DUST|346aVULN|5DMG|7LHND|8aCDMG|9RCR|aBPWR
18	16216 16132	9	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	1aDUR|2DUST|346aVULN|5DMG|7LWND|8aCDMG|9RCR|aBPWR
19	13212 12314	4	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	18DUR|2FEWX|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aCDMG
20	16212 12314	4	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	18DUR|2DUST|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aCDMG
21	13212 12315	4	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	18aDUR|2FEWX|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR
22	16212 12315	4	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	18aDUR|2DUST|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR
23	11241 13215	4	   	276.74	DCR|4VULN|2DUR|2LIT|1CDMG|1AART	17DUR|2LHND|3579VULN|4AART|67LIT|7BPWR|8CDMG|aRCR
24	11242 13215	5	   	276.74	DCR|4VULN|2DUR|2LIT|1CDMG|1AART	17DUR|2LHND|3579VULN|4AART|67LIT|7BPWR|8CDMG|aRCR
25	31211 52213	4	 * 	276.02	DCR|4VULN|2DMG|2DUR	1LEGI|2FEWX|346aVULN|56DUR|6BPWR|78DMG|9RCR
26	31214 52213	5	   	276.02	DCR|4VULN|2DMG|2DUR	1LEGI|2FEWX|346aVULN|56DUR|6BPWR|78DMG|9RCR
27	31266 52213	4	   	276.02	DCR|4VULN|2DMG|2DUR	1LEGI|2FEWX|356aVULN|46DUR|6BPWR|78DMG|9RCR
28	31266 52213	3	   	276.02	DCR|4VULN|2DMG|2DUR	1LEGI|2FEWX|356aVULN|46DUR|6BPWR|78DMG|9RCR
29	12212 14126	6	 * 	273.20	DCR|2VULN|3DMG|2DUR|2ASPD|1AART	17DUR|2RPLT|39VULN|47ASPD|5AART|67aDMG|7BPWR|8RCR
30	12252 53431	4	 * 	271.62	DCR|4VULN|3DUR|2CDMG|1SELL	16aDUR|2RPLT|367aVULN|4SELL|5RMIN|6aBPWR|8RCR|9aCDMG
31	13211 22455	4	 * 	271.56	DCR|5VULN|2DUR|1CDMG	15DUR|2FEWX|3468aVULN|7CDMG|9RCR
32	13216 62132	9	 * 	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	16aDUR|2FEWX|34aVULN|5DMG|7LHND|8aCDMG|9RCR|aBPWR
33	16216 61132	9	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	16aDUR|2DUST|34aVULN|5DMG|7BEXP|8aCDMG|9RCR|aBPWR
34	16216 62132	9	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	16aDUR|2DUST|34aVULN|5DMG|7LHND|8aCDMG|9RCR|aBPWR
35	16211 43621	4	   	268.00	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2DUST|347aVULN|6RCR|8AART|9DMG
36	33214 46211	7	 * 	267.82	DCR|3VULN|3DMG|2ASPD	1LEGI|2BELT|378VULN|467DMG|57ASPD|7BPWR|9LIT|aRCR
37	15632 32314	6	   	267.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38VULN|4DMSP|5ASPD|6BEXP|78DMG|8BPWR|9RCR|aCDMG
38	15632 12314	4	   	267.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38VULN|4DMSP|5BEXP|6ASPD|78DMG|8BPWR|9RCR|aCDMG
39	15636 12313	4	   	267.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38VULN|4DMSP|5LHND|6ASPD|78DMG|8BPWR|9RCR|aCDMG
40	15632 22314	6	   	267.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DUR|2TLV|38VULN|4DMSP|5ASPD|6DUST|78DMG|8BPWR|9RCR|aCDMG
41	15632 32315	6	   	267.15	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	18aDUR|2TLV|38VULN|4DMSP|5ASPD|6BEXP|78DMG|8BPWR|9RCR
42	15632 12315	4	   	267.15	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	18aDUR|2TLV|38VULN|4DMSP|5BEXP|6ASPD|78DMG|8BPWR|9RCR
43	13316 52214	4	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	16DUR|2FEWX|3LWND|456VULN|6BPWR|78DMG|9RCR|aCDMG
44	33213 21144	8	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|2BELT|369VULN|49DMG|5RPLT|7RCR|89DUR|9BPWR|aCDMG
45	12212 14121	6	 * 	267.07	DCR|2VULN|2DMG|3ASPD|2DUR|1AART	17DUR|2RPLT|39VULN|47aASPD|5AART|67DMG|7BPWR|8RCR
46	15632 22315	6	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	18aDUR|2TLV|38VULN|4DMSP|5ASPD|6DUST|78DMG|8BPWR|9RCR
47	13216 58242	7	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2FEWX|349VULN|59DMG|6MBVNT|7RCR|8BBNT|9BPWR|aCDMG
48	31211 52214	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|2FEWX|346VULN|56DUR|6BPWR|78DMG|9RCR|aCDMG
49	31214 52214	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|2FEWX|346VULN|56DUR|6BPWR|78DMG|9RCR|aCDMG
50	34211 52214	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|2BEXP|346VULN|56DUR|6BPWR|78DMG|9RCR|aCDMG
51	13211 42612	4	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|29FEWX|34aVULN|6RCR|7aDMG|8RPLT|aBPWR
52	13214 42612	5	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|29FEWX|34aVULN|6RCR|7aDMG|8RPLT|aBPWR
53	12241 43231	7	   	266.81	DCR|3VULN|3DUR|2DMG	14aDUR|2RPLT|36aVULN|5RMIN|7RCVC|8RCR|9aDMG|aBPWR
54	13211 42642	4	   	266.71	DCR|3VULN|3DUR|2DMG	15aDUR|2FEWX|34aVULN|6RCR|7aDMG|8RPLT|9BBNT|aBPWR
55	13316 52215	4	   	266.71	DCR|3VULN|3DUR|2DMG	16aDUR|2FEWX|3LWND|456VULN|6BPWR|78DMG|9RCR
56	31211 52215	4	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|2FEWX|346VULN|56aDUR|6BPWR|78DMG|9RCR
57	31214 52215	5	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|2FEWX|346VULN|56aDUR|6BPWR|78DMG|9RCR
58	34211 52215	4	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|2BEXP|346VULN|56aDUR|6BPWR|78DMG|9RCR
59	12411 22516	1	 * 	266.32	ACR|3VULN|3DMG|3DUR|1TLV	15aDUR|2RCR|3TLV|47aDMG|69aVULN|8BBNT|aBPWR
60	13212 12313	4	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2FEWX|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aLHND
61	12425 12314	1	 * 	264.54	ACR|2VULN|3DMG|3DUR|2ASPD|3TLV	148DUR|2RCR|348TLV|48aBPWR|5aVULN|6aASPD|78aDMG|9TBNT
62	14662 12313	5	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2ERES|348VULN|5FEWX|6ASPD|78DMG|8BPWR|9RCR|aRMIN
63	16212 12313	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2DUST|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aLHND
64	13212 12311	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2FEWX|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aLEGI
65	13212 12312	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2FEWX|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aERES
66	13212 12316	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2FEWX|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aTBNT
67	14662 12311	5	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2ERES|348VULN|5FEWX|6ASPD|78DMG|8BPWR|9RCR|aLEGI
68	14662 12312	5	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2aERES|348VULN|5FEWX|6ASPD|78DMG|8BPWR|9RCR
69	16212 12311	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2DUST|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aLEGI
70	16212 12312	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2DUST|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aERES
71	16212 12316	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|2DUST|348VULN|5CGEN|6ASPD|78DMG|8BPWR|9RCR|aTBNT
72	12241 52223	4	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	14DUR|2RPLT|35aVULN|67DMG|8RCR|9AART
73	12244 42223	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	14DUR|2RPLT|36aVULN|57DMG|8RCR|9AART
74	13211 22456	4	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD	15DUR|2FEWX|3468VULN|7CDMG|9RCR|aASPD
75	11214 42142	5	   	262.87	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2LHND|34aVULN|6RCR|7DMG|8CDMG|9aLWND|aBPWR
76	13211 42142	4	   	262.87	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2FEWX|34aVULN|6RCR|7DMG|8CDMG|9aLWND|aBPWR
77	13214 42142	5	   	262.87	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2FEWX|34aVULN|6RCR|7DMG|8CDMG|9aLWND|aBPWR
78	16211 42142	4	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2DUST|34aVULN|6RCR|7DMG|8CDMG|9aLWND|aBPWR
79	16211 42162	4	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2DUST|34aVULN|6RCR|7DMG|8CDMG|9aLHND|aBPWR
80	11214 42112	5	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2LHND|34aVULN|6RCR|7DMG|8CDMG|9aDUST|aBPWR
81	13211 42112	4	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2FEWX|34aVULN|6RCR|7DMG|8CDMG|9aDUST|aBPWR
82	13214 42112	5	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2FEWX|34aVULN|6RCR|7DMG|8CDMG|9aDUST|aBPWR
83	11243 13215	4	   	261.87	DCR|3VULN|2DUR|2AART|2LIT|1CDMG	17DUR|2LHND|379VULN|45AART|67LIT|7BPWR|8CDMG|aRCR
84	12262 21616	9	   	261.81	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	1aDUR|2RPLT|37aVULN|4TLV|5LWND|6AART|8aCDMG|9RCR|aBPWR
85	13216 58244	7	   	261.69	DCR|3VULN|2DMG|2DUR	19DUR|2FEWX|349VULN|59DMG|6MBVNT|7RCR|8BBNT|9BPWR|aLIT
86	34211 52213	4	   	261.69	DCR|3VULN|2DMG|2DUR	1LEGI|2BEXP|346VULN|56DUR|6BPWR|78DMG|9RCR|aLIT
87	34214 52213	5	   	261.69	DCR|3VULN|2DMG|2DUR	1LEGI|2BEXP|346VULN|56DUR|6BPWR|78DMG|9RCR|aLIT
88	23211 52213	4	   	261.34	DCR|4VULN|2DMG|1DUR	1DUST|2FEWX|346aVULN|5DUR|78DMG|9RCR
89	23214 52213	5	   	261.34	DCR|4VULN|2DMG|1DUR	1DUST|2FEWX|346aVULN|5DUR|78DMG|9RCR
90	15641 21112	6	   	260.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1aDUR|2TLV|3aVULN|4AART|5FEWX|6RCR|7LIT|8BBNT|9aDMG|aBPWR
91	13216 14314	5	   	260.65	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	18DUR|2FEWX|348VULN|5DMG|6ASPD|78CGEN|8BPWR|9RCR|aCDMG
92	13211 22454	4	   	260.33	DCR|4VULN|2DUR|1CDMG	15DUR|2FEWX|3468VULN|7CDMG|9RCR|aLIT
93	13216 14315	5	   	260.23	DCR|3VULN|3DUR|1DMG|1ASPD	18aDUR|2FEWX|348VULN|5DMG|6ASPD|78CGEN|8BPWR|9RCR
94	11214 41132	9	   	260.13	DCR|3VULN|3DUR|2CDMG|1ASPD	15aDUR|2LHND|34aVULN|6ASPD|7BEXP|8aCDMG|9RCR|aBPWR
95	13214 42132	9	   	260.13	DCR|3VULN|3DUR|2CDMG|1ASPD	15aDUR|2FEWX|34aVULN|6ASPD|7LHND|8aCDMG|9RCR|aBPWR
96	16214 41132	9	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	15aDUR|2DUST|34aVULN|6ASPD|7BEXP|8aCDMG|9RCR|aBPWR
97	16214 42132	9	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	15aDUR|2DUST|34aVULN|6ASPD|7LHND|8aCDMG|9RCR|aBPWR
98	13214 52632	4	 * 	259.68	ACR|4VULN|3DMG|2DUR	1aDUR|26FEWX|346aVULN|5RCR|6aBPWR|79aDMG|8RPLT
99	13211 42123	4	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	15DUR|2FEWX|34aVULN|6RCR|7DMG|8CDMG|9AART
100	13214 42123	5	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	15DUR|2FEWX|34aVULN|6RCR|7DMG|8CDMG|9AART
101	11214 43631	5	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	15DUR|2LHND|347aVULN|6RCR|8AART|9ASPD
