0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43211 12146	3	 * 	325.27	DCR|4VULN|3DMG|3DUR|3LIT	1289VULN|359LIT|458DMG|589BPWR|689DUR|7RPLT|aRCR
2	63314 25321	10	   	308.23	DCR|4VULN|3DMG|2DUR|1TLV	17DUR|2567VULN|367DMG|4BELT|67BPWR|8TLV|9RCVC|aRCR
3	53151 26221	10	 * 	307.65	DCR|5VULN|3DUR|1DMG|1TLV	1LHND|24569VULN|345DUR|45BPWR|7DMG|8TLV|aRCR
4	23422 36342	6	 * 	306.73	DCR|4VULN|3DMG|3ASPD|2LIT	13aASPD|256DMG|456aVULN|56aBPWR|7RCR|8BBNT|9aLIT
5	43221 12146	4	 * 	302.70	DCR|4VULN|3DUR|3ASPD|3LIT	1289VULN|359LIT|458ASPD|589BPWR|689DUR|7RPLT|aRCR
6	43222 12146	5	   	302.70	DCR|4VULN|3DUR|3ASPD|3LIT	1289VULN|359LIT|458ASPD|589BPWR|689DUR|7RPLT|aRCR
7	23422 36422	6	 * 	300.17	DCR|3VULN|3DMG|3ASPD|2DUR	13aASPD|256DMG|456VULN|56aBPWR|7RCR|8aZMB|9aDUR
8	23422 36135	6	   	298.41	DCR|4VULN|3DMG|2ASPD|1DUR	13ASPD|256DMG|456aVULN|56BPWR|7RCR|8LEGI|9DUR
9	63314 23235	10	 * 	297.33	DCR|5VULN|2DMG|1TLV|1DUR	1DUR|25678VULN|36DMG|4BELT|6BPWR|9TLV|aRCR
10	63341 11216	5	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	178DUR|246VULN|34DMG|4BPWR|5CDMG|9RCR|aTLV
11	63342 11216	4	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	178DUR|246VULN|34DMG|4BPWR|5CDMG|9RCR|aTLV
12	63343 13216	4	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	158DUR|247VULN|34DMG|4BPWR|6CDMG|9RCR|aTLV
13	43232 32651	2	   	296.39	DCR|4VULN|2DMG|2DUR|2CDMG	1279VULN|37LWND|49DUR|5LHND|67DMG|79BPWR|89CDMG|aRCR
14	63342 22252	10	   	296.21	DCR|3VULN|3DMG|3DUR|1CDMG	178DUR|247VULN|346DMG|47BPWR|57BEXP|9RCR|aCDMG
