0	Index      	Bounty	 *	Score 	Summary	Detail	
39	23232 34365	5	   	243.75	DCR|4VULN|3LIT|1DUR	13LHND|25aLIT|4579VULN|5BPWR|6RCR|8DUR
40	21212 16261	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LHND|2TBNT|3BBNT|4578VULN|6DMG|9RCR|aTLV
41	21212 36262	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LHND|2TBNT|3BBNT|4578VULN|6TLV|9RCR|aDMG
42	22212 16261	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LHND|2BBNT|3TBNT|4578VULN|6DMG|9RCR|aTLV
43	22212 36262	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LHND|2BBNT|3TBNT|4578VULN|6TLV|9RCR|aDMG
44	51212 16261	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LWND|2TBNT|3BBNT|4578VULN|6DMG|9RCR|aTLV
45	51212 36262	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LWND|2TBNT|3BBNT|4578VULN|6TLV|9RCR|aDMG
46	52212 16261	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LWND|2BBNT|3TBNT|4578VULN|6DMG|9RCR|aTLV
47	52212 36262	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LWND|2BBNT|3TBNT|4578VULN|6TLV|9RCR|aDMG
48	11641 32612	2	   	243.64	ACR|4VULN|2DUR|2ASPD|1TLV	1RCR|26ASPD|3568VULN|4DMSP|6BPWR|7TLV|9aDUR
49	11651 32612	3	   	243.64	ACR|4VULN|2DUR|2ASPD|1TLV	1RCR|26ASPD|3RCVC|4568VULN|6BPWR|7TLV|9aDUR
50	23251 35533	2	   	243.17	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2LIT|36aVULN|4LWND|5CDMG|7DMG|8DUR|9RCR
51	53111 35533	1	   	243.17	DCR|3VULN|1DMG|1DUR|1CDMG	1LWND|2LHND|36aVULN|4LIT|5CDMG|7DMG|8DUR|9RCR
52	23133 22332	2	   	243.13	DCR|3VULN|1DMG|2LIT|1CDMG|1AART	1LHND|23LIT|4AART|58aVULN|6CDMG|7DMG|9RCR
53	23353 22332	3	   	243.13	DCR|3VULN|1DMG|2LIT|1CDMG|1AART	1LHND|24LIT|3AART|58aVULN|6CDMG|7DMG|9RCR
54	23133 64432	2	   	243.13	DCR|3VULN|1DMG|2LIT|1CDMG|1AART	1LHND|23LIT|4AART|56aVULN|7CDMG|8DMG|9RCR
55	23232 33613	5	 * 	242.61	DCR|3VULN|2DMG|3LIT|1NUKE	137LHND|257LIT|457VULN|57BPWR|6RCR|8NUKE|9aDMG
56	23232 34131	5	   	242.56	DCR|4VULN|1DMG|2LIT	13LHND|25LIT|457aVULN|5BPWR|6RCR|8FEWX|9DMG
57	22136 71254	2	 * 	242.51	DCR|3VULN|2DMG|2CDMG	16LHND|25CDMG|35DMG|4MBVNT|5BPWR|7RCR|89aVULN
58	63321 76244	9	 * 	241.84	DCR|3VULN|3ASPD|1DUR|1AART	19aZMB|2AART|3MBVNT|49aASPD|5DUR|6RCR|7LHND|89aVULN|9aBPWR
59	63318 72343	6	   	241.74	DCR|3VULN|2DUR|1TLV|1AART	18ZMB|2AART|3MBVNT|48aVULN|5RMIN|6RCR|78DUR|8BPWR|9TLV
60	23232 64131	7	   	241.69	DCR|3VULN|2DUR|2LIT|1ASPD	13LHND|25LIT|45aVULN|5BPWR|68DUR|7ASPD|9RCR
