0	Index      	Bounty	 *	Score 	Summary	Detail	
171	23232 34332	5	   	236.17	DCR|3VULN|1DMG|1DUR|2LIT	13LHND|25LIT|457VULN|5BPWR|6RCR|8DUR|9DMG|aRMIN
172	23232 34333	5	   	236.17	DCR|3VULN|1DMG|1DUR|2LIT	13LHND|25LIT|457VULN|5BPWR|6RCR|8DUR|9DMG|aCGEN
173	23232 35111	5	   	236.17	DCR|3VULN|1DMG|1DUR|2LIT	13LHND|25LIT|45aVULN|5BPWR|6RCR|7DMG|8DUR|9RCVC
174	23232 35144	5	   	236.17	DCR|3VULN|1DMG|1DUR|2LIT	13LHND|25LIT|45aVULN|5BPWR|6RCR|7DMG|8DUR|9CGEN
175	23215 34331	4	   	236.17	DCR|3VULN|1DMG|1DUR|2LIT	134LHND|24LIT|4BPWR|57aVULN|6RCR|8DUR|9DMG
176	11641 31513	2	 * 	236.16	ACR|5VULN|2ASPD|1DMG	1RCR|26ASPD|35689VULN|4DMSP|6BPWR|7RCVC|aDMG
177	11651 31513	3	   	236.16	ACR|5VULN|2ASPD|1DMG	1RCR|26ASPD|37RCVC|45689VULN|6BPWR|aDMG
178	12622 61243	10	   	236.14	ACR|3VULN|2DMG|2DUR|2LIT	1RCR|2BELT|38aVULN|47LIT|5aDMG|6RPLT|9aDUR|aBPWR
179	22113 41623	4	   	236.10	DCR|3VULN|2DMG|1CDMG	1LHND|2CDMG|3RMIN|478VULN|5TBNT|6aDMG|9RCR
180	52113 41623	4	   	236.10	DCR|3VULN|2DMG|1CDMG	1LWND|2CDMG|3RMIN|478VULN|5TBNT|6aDMG|9RCR
181	23232 34336	5	   	236.07	DCR|3VULN|1DMG|1DUR|2LIT	13LHND|25LIT|457VULN|5BPWR|6RCR|8DUR|9DMG|aTBNT
182	23232 35154	5	   	236.07	DCR|3VULN|1DMG|1DUR|2LIT	13LHND|25LIT|45aVULN|5BPWR|6RCR|7DMG|8DUR|9ERES
183	11631 24234	1	   	236.01	ACR|4VULN|1DMG|1TLV|1DUR	1RCR|2TLV|389aVULN|4LIT|5DUR|6DMG|7TBNT
184	13642 34331	4	   	236.01	ACR|4VULN|1DMG|1TLV|1DUR	1RCR|2ERES|3TLV|457aVULN|6LIT|8DUR|9DMG
185	13642 34331	5	   	236.01	ACR|4VULN|1DMG|1TLV|1DUR	1RCR|2ERES|3TLV|457aVULN|6LIT|8DUR|9DMG
186	23232 34515	5	   	235.93	DCR|3VULN|3LIT|1DMG|1ASPD	13LHND|25aLIT|457VULN|5BPWR|6RCR|8ASPD|9DMG
187	66131 14143	9	 * 	235.90	DCR|3VULN|2DUR|1DMG	17ZMB|25BELT|378VULN|4MBVNT|67DUR|7BPWR|9DMG|aRCR
188	66131 14218	10	   	235.90	DCR|3VULN|2DUR|1DMG	17ZMB|25BELT|379VULN|4MBVNT|67DUR|7BPWR|8RCR|aDMG
189	14112 63362	1	   	235.88	ACR|4VULN|2DUR|1TLV|1CDMG	1RCR|2358VULN|4TBNT|67DUR|9TLV|aCDMG
190	15212 63362	1	   	235.88	ACR|4VULN|2DUR|1TLV|1CDMG	1RCR|2BBNT|3458VULN|67DUR|9TLV|aCDMG
191	63311 71348	10	   	235.30	DCR|2VULN|2DMG|1DUR|1CDMG|1AART	19ZMB|2AART|3MBVNT|49VULN|5MLV|6RCR|7CDMG|89DMG|9BPWR|aDUR
192	23323 14363	7	   	235.29	DCR|3VULN|2AART|1CDMG|1ASPD	1LHND|2LIT|34AART|5ASPD|6CDMG|789VULN|aRCR
193	23323 14563	8	   	235.29	DCR|3VULN|2AART|1CDMG|1ASPD	1LHND|2LIT|34AART|5ASPD|6CDMG|789VULN|aRCR
194	23323 64123	4	   	235.29	DCR|3VULN|2AART|1CDMG|1ASPD	1LHND|2LIT|34AART|568VULN|7CDMG|9ASPD|aRCR
195	22166 22363	2	   	235.21	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1LHND|2CDMG|3DMG|4ASPD|5DUR|6aVULN|7LWND|8RCR|9TLV
196	63313 71348	10	   	235.20	DCR|2VULN|2DMG|1DUR|1CDMG|1AART	19ZMB|2AART|3MBVNT|49VULN|5ERES|6RCR|7CDMG|89DMG|9BPWR|aDUR
197	63412 22333	5	   	235.20	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1ZMB|2AART|34VULN|5TLV|67DMG|8CDMG|9CGEN|aRCR
198	63423 22333	3	   	235.20	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1ZMB|2AART|35VULN|4TLV|67DMG|8CDMG|9CGEN|aRCR
199	63453 33333	4	   	235.20	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1ZMB|2AART|35VULN|46DMG|7TLV|8CDMG|9CGEN|aRCR
200	63433 31331	2	 * 	235.12	DCR|2VULN|2DMG|2ASPD|1AART	147ZMB|2AART|34ASPD|47BPWR|57VULN|67DMG|8FEWX|9LIT|aRCR
201	63433 31331	1	   	235.12	DCR|2VULN|2DMG|2ASPD|1AART	147ZMB|2AART|34ASPD|47BPWR|57VULN|67DMG|8FEWX|9LIT|aRCR
202	23233 54531	4	   	235.04	DCR|3VULN|2DUR|1ASPD	13LHND|2LIT|47aVULN|56DUR|8ASPD|9RCR
203	22132 23532	10	   	234.86	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2CDMG|3RMIN|4BEXP|5DUR|6DMG|79aVULN|8RCR
204	11425 34131	10	   	234.85	ACR|3VULN|2ASPD|1DMG|1TLV|2LIT|1AART	1RCR|27ASPD|37LIT|4RPLT|578VULN|6AART|7BPWR|9DMG|aTLV
205	63412 11531	7	   	234.80	DCR|2VULN|2DUR|1DMG|1TLV|1AART	1ZMB|2AART|34VULN|5TLV|6BELT|79DUR|8RCR|aDMG
206	63412 13531	6	   	234.80	DCR|2VULN|2DUR|1DMG|1TLV|1AART	1ZMB|2AART|34VULN|5TLV|6BELT|79DUR|8RCR|aDMG
207	66132 22214	2	   	234.76	DCR|3VULN|2TLV|1DUR|1CDMG	1ZMB|2BELT|357VULN|4DUR|68TLV|9CDMG|aRCR
208	66132 22214	3	   	234.76	DCR|3VULN|2TLV|1DUR|1CDMG	1ZMB|2BELT|357VULN|4DUR|68TLV|9CDMG|aRCR
209	63311 71347	10	   	234.71	DCR|2VULN|3DMG|1CDMG|1AART	19ZMB|2AART|3MBVNT|49VULN|5MLV|6RCR|7CDMG|89aDMG|9BPWR
210	22241 24412	5	 * 	234.70	DCR|2VULN|2DUR|2CDMG|1TLV|1AART	1LHND|23CDMG|4AART|58DUR|69VULN|7TLV|aRCR
211	51633 35313	2	   	234.68	DCR|2VULN|2DMG|2DUR	1LWND|2ERES|38VULN|4LIT|5aDUR|6RCR|79DMG
212	53243 35313	2	   	234.68	DCR|2VULN|2DMG|2DUR	1LWND|2LIT|38VULN|4ERES|5aDUR|6RCR|79DMG
213	63313 71347	10	   	234.61	DCR|2VULN|3DMG|1CDMG|1AART	19ZMB|2AART|3MBVNT|49VULN|5ERES|6RCR|7CDMG|89aDMG|9BPWR
214	21212 36266	1	   	234.59	DCR|4VULN|1TLV|1ASPD	1LHND|2TBNT|3BBNT|4578VULN|6TLV|9RCR|aASPD
215	21212 56261	1	   	234.59	DCR|4VULN|1TLV|1ASPD	1LHND|2TBNT|3BBNT|4578VULN|6ASPD|9RCR|aTLV
216	22212 36266	1	   	234.59	DCR|4VULN|1TLV|1ASPD	1LHND|2BBNT|3TBNT|4578VULN|6TLV|9RCR|aASPD
217	22212 56261	1	   	234.59	DCR|4VULN|1TLV|1ASPD	1LHND|2BBNT|3TBNT|4578VULN|6ASPD|9RCR|aTLV
218	63412 53321	6	   	234.59	DCR|3VULN|3TLV|1DMG|1AART	1ZMB|2AART|346VULN|567TLV|6BPWR|8DMG|9RCR|aLWND
219	12515 22222	3	   	234.55	ACR|4VULN|2DUR|2TLV	1RCR|2BELT|3RPLT|48TLV|58DUR|678aVULN|8BPWR|9LIT
220	11414 51331	9	   	234.45	ACR|2VULN|3DMG|3ASPD|2LIT|1AART	1RCR|247ASPD|37LIT|567DMG|7BPWR|89VULN|aAART
221	11131 36266	4	 * 	234.44	ACR|3VULN|3ASPD|2DUR|1DMG	1RCR|269ASPD|34LHND|579VULN|89DUR|9BPWR|aDMG
222	11133 36266	5	   	234.44	ACR|3VULN|3ASPD|2DUR|1DMG	1RCR|269ASPD|34LHND|579VULN|89DUR|9BPWR|aDMG
223	11542 22431	8	   	234.21	ACR|4VULN|2DMG|2ASPD	1RCR|2aASPD|3ERES|459aVULN|6BEXP|7LHND|8aDMG|aBPWR
224	11542 25331	8	   	234.21	ACR|4VULN|2DMG|2ASPD	1RCR|2aASPD|3ERES|459aVULN|6BEXP|7FEWX|8aDMG|aBPWR
225	23125 21426	10	   	234.21	DCR|3VULN|1DUR|1CDMG|1ASPD	16LHND|2LIT|3ASPD|4RPLT|569VULN|6BPWR|7CDMG|8DUR|aRCR
226	53256 12333	8	   	234.11	DCR|3VULN|1DUR|1CDMG|1ASPD	1LWND|2LIT|3LHND|45aVULN|6DUR|7CDMG|8ASPD|9RCR
227	23133 64123	2	   	234.07	DCR|3VULN|2LIT|1CDMG|1ASPD|1AART	1LHND|23LIT|4AART|568VULN|7CDMG|9ASPD|aRCR
228	23353 64123	3	   	234.07	DCR|3VULN|2LIT|1CDMG|1ASPD|1AART	1LHND|24LIT|3AART|568VULN|7CDMG|9ASPD|aRCR
229	53133 64123	2	   	234.07	DCR|3VULN|2LIT|1CDMG|1ASPD|1AART	1LWND|23LIT|4AART|568VULN|7CDMG|9ASPD|aRCR
230	61633 21332	1	   	233.87	DCR|2VULN|2DMG|2TLV|1AART	147ZMB|24TLV|3AART|47BPWR|57VULN|67DMG|8FEWX|9LIT|aRCR
231	63432 11621	6	   	233.75	DCR|4VULN|1TLV|1AART	157ZMB|2AART|3678VULN|478FEWX|78BPWR|9RCR|aTLV
232	52113 14342	8	 * 	233.74	DCR|4VULN|3CDMG	157LWND|268CDMG|3RMIN|468aVULN|68BPWR|9RCR
233	23232 13531	6	   	233.70	DCR|4VULN|2LIT|1ASPD	137LHND|25LIT|457aVULN|57BPWR|67BEXP|8ASPD|9RCR
234	23323 22336	4	   	233.69	DCR|2VULN|1DMG|2AART|1TLV|1CDMG	1LHND|2LIT|34AART|58VULN|6CDMG|7DMG|9RCR|aTLV
235	23431 12225	10	   	233.54	DCR|2VULN|2DUR|2CDMG|1TLV	1aLHND|2LIT|3aCDMG|4RMIN|57VULN|6TLV|8aDUR|9RCR|aBPWR
236	23436 12125	10	   	233.54	DCR|2VULN|2DUR|2CDMG|1TLV	1aLHND|2LIT|3aCDMG|4RMIN|58DUR|6TLV|7aVULN|9RCR|aBPWR
237	53431 12225	10	   	233.54	DCR|2VULN|2DUR|2CDMG|1TLV	1aLWND|2LIT|3aCDMG|4RMIN|57VULN|6TLV|8aDUR|9RCR|aBPWR
238	12622 35111	8	   	233.51	ACR|4VULN|1DMG|1TLV|1CDMG	1RCR|2BELT|368aVULN|4LIT|5DMG|7TLV|9CDMG
239	23232 14531	6	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|457aVULN|5BPWR|6BEXP|8ASPD|9RCR
240	23232 24531	6	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|457aVULN|5BPWR|6LWND|8ASPD|9RCR
241	23232 34141	5	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|457aVULN|5BPWR|6RCR|8FEWX|9ASPD
242	23232 34163	5	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|4579VULN|5BPWR|6RCR|8FEWX|aASPD
243	23232 34521	5	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|4579VULN|5BPWR|6RCR|8ASPD|aBEXP
244	23232 34522	5	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|4579VULN|5BPWR|6RCR|8ASPD|aRMIN
245	23232 34523	5	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|4579VULN|5BPWR|6RCR|8ASPD|aCGEN
246	23232 34526	5	   	233.50	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|4579VULN|5BPWR|6RCR|8ASPD|aLWND
247	12613 26612	9	   	233.46	ACR|3VULN|3DMG|1TLV|1ASPD	1RCR|2BELT|389VULN|4TLV|589LWND|6MBVNT|789DMG|89BPWR|aASPD
248	12613 26642	8	   	233.46	ACR|3VULN|3DMG|1TLV|1ASPD	1RCR|2BELT|389VULN|4TLV|589LWND|6MBVNT|789DMG|89BPWR|aASPD
249	63411 12412	9	   	233.45	DCR|4VULN|1DUR|1AART	1ZMB|2AART|3468VULN|5LWND|7LHND|9RCR|aDUR
250	63413 12412	9	   	233.45	DCR|4VULN|1DUR|1AART	1ZMB|2AART|3468VULN|5FEWX|7LHND|9RCR|aDUR
251	23232 34524	5	   	233.40	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|4579VULN|5BPWR|6RCR|8ASPD|aBBNT
252	23232 34551	5	   	233.40	DCR|4VULN|2LIT|1ASPD	13LHND|25LIT|457aVULN|5BPWR|6RCR|8ASPD|9DUST
253	23324 55313	5	 * 	233.03	DCR|3VULN|3AART|1TLV	1LHND|2LIT|345AART|678VULN|9TLV|aRCR
254	13143 23232	1	 * 	232.98	ACR|3VULN|3DUR|3LIT|1TLV	1RCR|237LIT|479VULN|57aDUR|6RCVC|7BPWR|8TLV
255	13223 23232	1	   	232.98	ACR|3VULN|3DUR|3LIT|1TLV	1RCR|247LIT|379VULN|57aDUR|6RCVC|7BPWR|8TLV
256	14323 23232	1	   	232.98	ACR|3VULN|3DUR|3LIT|1TLV	1RCR|279VULN|347LIT|57aDUR|6RCVC|7BPWR|8TLV
257	22433 31116	3	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	1LHND|2CDMG|3RPLT|4LIT|5TLV|68aVULN|7AART|9RCR
258	23233 64232	3	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	13LHND|2LIT|4AART|56aVULN|7CDMG|8TLV|9RCR
259	23233 64263	3	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	13LHND|2LIT|4AART|569VULN|7CDMG|8TLV|aRCR
260	23333 64232	1	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	12LHND|3LIT|4AART|56aVULN|7CDMG|8TLV|9RCR
261	23333 64232	4	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	1LHND|2LIT|3AART|4RCVC|56aVULN|7CDMG|8TLV|9RCR
262	23333 64263	1	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	12LHND|3LIT|4AART|569VULN|7CDMG|8TLV|aRCR
263	23333 64263	4	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	1LHND|2LIT|3AART|4RCVC|569VULN|7CDMG|8TLV|aRCR
264	23363 64232	4	   	232.77	DCR|3VULN|1TLV|1CDMG|1AART	14LHND|2LIT|3AART|56aVULN|7CDMG|8TLV|9RCR
265	16134 21131	1	 * 	232.71	ACR|4VULN|3CDMG|2TLV|1ASPD	1RCR|29aLWND|369aVULN|4RPLT|56TLV|69aBPWR|7ASPD|89aCDMG
266	16344 21131	1	   	232.71	ACR|4VULN|3CDMG|2TLV|1ASPD	1RCR|29aLWND|3RPLT|469aVULN|56TLV|69aBPWR|7ASPD|89aCDMG
267	23313 46362	7	   	232.67	DCR|3VULN|1TLV|1CDMG|1AART	1LHND|2LIT|3AART|4DUST|567VULN|8TLV|9RCR|aCDMG
268	63413 14132	4	   	232.67	DCR|3VULN|1DUR|1CDMG|1AART	1ZMB|2AART|348VULN|5LIT|6ERES|7CDMG|9RCR|aDUR
269	63413 14232	4	   	232.67	DCR|3VULN|1TLV|1CDMG|1AART	1ZMB|2AART|34aVULN|5LIT|6ERES|7CDMG|8TLV|9RCR
270	23232 61536	10	   	232.57	DCR|2VULN|1DMG|1DUR|2LIT|1CDMG|1AART	13LHND|25LIT|45VULN|5BPWR|6DUR|7AART|8CDMG|9DMG|aRCR
271	22541 12333	4	   	232.51	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|2CDMG|3CGEN|4TLV|5LIT|6DMG|7DUR|8aVULN|9RCR
272	52541 12333	4	   	232.51	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2CDMG|3CGEN|4TLV|5LIT|6DMG|7DUR|8aVULN|9RCR
273	23133 22336	2	   	232.47	DCR|2VULN|1DMG|1TLV|2LIT|1CDMG|1AART	1LHND|23LIT|4AART|58VULN|6CDMG|7DMG|9RCR|aTLV
274	23353 22336	3	   	232.47	DCR|2VULN|1DMG|1TLV|2LIT|1CDMG|1AART	1LHND|24LIT|3AART|58VULN|6CDMG|7DMG|9RCR|aTLV
275	63413 21223	3	   	232.41	DCR|3VULN|2DMG|1AART	17ZMB|2AART|35aVULN|478MLV|67DMG|7BPWR|9RCR
276	63452 11223	6	   	232.41	DCR|3VULN|2DMG|1AART	17ZMB|2AART|36aVULN|47DMG|578MLV|7BPWR|9RCR
277	21631 13333	4	   	232.41	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|2ERES|3TLV|4CDMG|5LIT|6DMG|7DUR|8aVULN|9RCR
278	51631 13333	4	   	232.41	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2ERES|3TLV|4CDMG|5LIT|6DMG|7DUR|8aVULN|9RCR
279	23413 53353	3	   	232.41	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG	1LHND|2LIT|3CDMG|4DUR|5DMG|6aVULN|7ERES|8RCR|9TLV
280	11653 12131	2	 * 	232.38	ACR|4VULN|3ASPD|3CDMG	1RCR|29aASPD|379aVULN|4CGEN|5RPLT|6LHND|89aCDMG|9aBPWR
281	23215 33236	4	   	232.31	DCR|3VULN|3LIT|1TLV|1ASPD	1347LHND|247LIT|47BPWR|579VULN|6RCR|8TLV|aASPD
282	61652 31331	2	   	232.25	DCR|3VULN|1TLV|1DUR|2LIT	1ZMB|2DUR|35aVULN|4CGEN|68LIT|7TLV|9RCR
283	61542 31331	4	   	232.15	DCR|3VULN|1TLV|1DUR|2LIT	1ZMB|2DUR|3ERES|45aVULN|68LIT|7TLV|9RCR
284	61542 31331	5	   	232.15	DCR|3VULN|1TLV|1DUR|2LIT	1ZMB|2DUR|3ERES|45aVULN|68LIT|7TLV|9RCR
285	63311 46184	4	   	232.12	DCR|3VULN|2ASPD|1DUR|1AART	1aZMB|2AART|3MBVNT|46aVULN|5LWND|7DUR|8RCR|9aASPD|aBPWR
286	63341 46184	3	   	232.12	DCR|3VULN|2ASPD|1DUR|1AART	1aZMB|2AART|3MBVNT|46aVULN|5LWND|7DUR|8RCR|9aASPD|aBPWR
287	23232 34322	5	   	232.11	DCR|3VULN|3LIT|1DUR|1ASPD	13LHND|259LIT|457VULN|5BPWR|6RCR|8DUR|aASPD
288	12623 51343	10	   	232.11	ACR|3VULN|2DUR|1DMG|2LIT|1CDMG	1RCR|2BELT|37aVULN|4aLIT|5LEGI|6CDMG|8DMG|9aDUR|aBPWR
289	66131 14234	10	   	232.08	DCR|3VULN|2DUR|1TLV	17ZMB|25BELT|37aVULN|4MBVNT|67DUR|7BPWR|8RCR|9TLV
290	15131 32345	3	   	232.02	ACR|3VULN|3DMG|1DUR|1AART	1RCR|2RMIN|3RCVC|4AART|5DMSP|689VULN|789DMG|89BPWR|aDUR
291	23232 62431	4	   	232.00	DCR|4VULN|1TLV	13LHND|2LIT|479aVULN|5DUST|6RCR|8TLV
292	23242 62431	3	   	232.00	DCR|4VULN|1TLV	13LHND|2LIT|479aVULN|5DUST|6RCR|8TLV
293	23253 62431	4	   	232.00	DCR|4VULN|1TLV	13LHND|2LIT|4DUST|579aVULN|6RCR|8TLV
294	23342 62431	1	   	232.00	DCR|4VULN|1TLV	12LHND|3LIT|479aVULN|5DUST|6RCR|8TLV
295	13643 22215	6	   	231.99	ACR|4VULN|2DUR|1TLV|1AART	1RCR|2aERES|3TLV|489aVULN|5AART|6RPLT|7aDUR|aBPWR
296	13643 32215	5	   	231.99	ACR|4VULN|2DUR|1TLV|1AART	1RCR|2aERES|3TLV|489aVULN|5AART|6RPLT|7aDUR|aBPWR
297	25134 31363	1	   	231.98	DCR|3VULN|2DUR|1TLV	1LHND|2FEWX|39aVULN|4RPLT|5TLV|67DUR|8RCR
298	26134 31363	2	   	231.98	DCR|3VULN|2DUR|1TLV	1LHND|2BEXP|39aVULN|4RPLT|5TLV|67DUR|8RCR
299	23232 62431	2	   	231.90	DCR|4VULN|1TLV	1LHND|2LIT|379aVULN|45DUST|6RCR|8TLV
300	53232 62431	2	   	231.90	DCR|4VULN|1TLV	1LWND|2LIT|379aVULN|45DUST|6RCR|8TLV
301	53333 62431	3	   	231.90	DCR|4VULN|1TLV	1LWND|2LIT|34DUST|579aVULN|6RCR|8TLV
302	61433 11432	1	   	231.85	DCR|2VULN|2DMG|2CDMG|1TLV	19ZMB|2TLV|3TBNT|49DMG|5DUST|6RCR|7aVULN|89CDMG|9BPWR
303	61533 11432	1	   	231.85	DCR|2VULN|2DMG|2CDMG|1TLV	19ZMB|2TLV|3BBNT|49DMG|5DUST|6RCR|7aVULN|89CDMG|9BPWR
304	12431 32636	1	 * 	231.84	ACR|2VULN|2DMG|2DUR|2ASPD|1TLV	1RCR|2RMIN|39DMG|4CGEN|59VULN|6aASPD|7TLV|89DUR|9BPWR
305	22151 52623	2	   	231.75	DCR|2VULN|2DMG|2CDMG|1TLV	1LHND|24CDMG|3aDMG|5TLV|6TBNT|78VULN|9RCR
306	22152 12623	2	   	231.75	DCR|2VULN|2DMG|2CDMG|1TLV	1LHND|24CDMG|3aDMG|58VULN|6TBNT|7TLV|9RCR
307	22152 42623	2	   	231.75	DCR|2VULN|2DMG|2CDMG|1TLV	1LHND|24CDMG|3aDMG|58VULN|6TLV|7TBNT|9RCR
308	22153 62623	2	   	231.75	DCR|2VULN|2DMG|2CDMG|1TLV	1LHND|24CDMG|3aDMG|5TBNT|6TLV|78VULN|9RCR
309	52152 12623	2	   	231.75	DCR|2VULN|2DMG|2CDMG|1TLV	1LWND|24CDMG|3aDMG|58VULN|6TBNT|7TLV|9RCR
310	52113 14333	9	 * 	231.16	DCR|3VULN|3CDMG|1DMG	157LWND|268CDMG|3RMIN|468VULN|68BPWR|9DMG|aRCR
311	11131 22314	1	   	231.06	ACR|3VULN|2DMG|1TLV|1DUR	1RCR|2TLV|3LWND|4LIT|5DUR|69DMG|78aVULN
312	11361 22314	1	   	231.06	ACR|3VULN|2DMG|1TLV|1DUR	1RCR|2TLV|3LIT|4LWND|5DUR|69DMG|78aVULN
313	11631 22214	1	   	231.06	ACR|3VULN|2DMG|1DUR|1TLV	1RCR|2TLV|37aVULN|4LIT|5DUR|69DMG|8BEXP
314	11631 22514	1	   	231.06	ACR|3VULN|2DMG|1DUR|1TLV	1RCR|2TLV|37aVULN|4LIT|5DUR|69DMG|8LHND
315	23233 52343	10	   	231.04	DCR|2VULN|2DUR|1DMG|1CDMG	13aLHND|2LIT|4aVULN|5BELT|6CDMG|7RCR|8DMG|9aDUR|aBPWR
316	11631 22614	1	   	230.96	ACR|3VULN|2DMG|1TLV|1DUR	1RCR|2TLV|37aVULN|4LIT|5DUR|69DMG|8DUST
317	11631 24224	1	   	230.96	ACR|3VULN|2DMG|1TLV|1DUR	1RCR|2TLV|38aVULN|4LIT|5DUR|69DMG|7TBNT
318	22612 33373	2	   	230.95	DCR|3VULN|1TLV|1DUR|1CDMG	1LHND|2CDMG|3TLV|4FEWX|59aVULN|6DUR|7MBVNT|8RCR
319	22632 25373	2	   	230.95	DCR|3VULN|1TLV|1DUR|1CDMG	1LHND|2CDMG|3TLV|4MBVNT|59aVULN|6FEWX|7DUR|8RCR
320	22632 45373	2	   	230.95	DCR|3VULN|1TLV|1DUR|1CDMG	1LHND|2CDMG|3TLV|4MBVNT|59aVULN|6BEXP|7DUR|8RCR
321	23232 34213	5	   	230.92	DCR|3VULN|1DMG|2LIT|1ASPD	13LHND|25LIT|457VULN|5BPWR|6RCR|8CGEN|9DMG|aASPD
322	23232 34512	5	   	230.92	DCR|3VULN|1DMG|2LIT|1ASPD	13LHND|25LIT|457VULN|5BPWR|6RCR|8ASPD|9DMG|aLWND
323	23232 34514	5	   	230.92	DCR|3VULN|1DMG|2LIT|1ASPD	13LHND|25LIT|457VULN|5BPWR|6RCR|8ASPD|9DMG|aRPLT
324	23232 35541	5	   	230.92	DCR|3VULN|1DMG|2LIT|1ASPD	13LHND|25LIT|45aVULN|5BPWR|6RCR|7DMG|8CGEN|9ASPD
325	23232 35563	5	   	230.92	DCR|3VULN|1DMG|2LIT|1ASPD	13LHND|25LIT|459VULN|5BPWR|6RCR|7DMG|8CGEN|aASPD
326	64431 32733	1	 * 	230.88	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV	1ZMB|2MBVNT|39DMG|4CGEN|5VULN|69ASPD|7TLV|89DUR|9BPWR|aRCR
327	63423 12413	10	   	230.87	DCR|3VULN|1DMG|1DUR|1AART	1ZMB|2AART|368VULN|4CGEN|5MLV|7DUR|9RCR|aDMG
328	53212 51433	8	   	230.84	DCR|2VULN|2DUR|1DMG|1CDMG	1LWND|2LIT|3LHND|4DMG|5aVULN|67DUR|8CDMG|9RCR
329	53413 34333	3	   	230.84	DCR|2VULN|2DUR|1DMG|1CDMG	1LWND|2LIT|3CDMG|47DUR|5DMG|6LHND|8aVULN|9RCR
330	12563 13511	10	 * 	230.78	ACR|3VULN|3DUR|1DMG|1CDMG	1RCR|2BELT|3RPLT|489DUR|5CDMG|689VULN|789CGEN|89BPWR|aDMG
331	63412 51312	9	   	230.77	DCR|3VULN|2TLV|1DUR|1AART	1ZMB|2AART|346VULN|56TLV|6BPWR|7CGEN|8DUST|9RCR|aDUR
332	11631 24234	2	   	230.77	ACR|4VULN|1DMG|1DUR|1ASPD	1RCR|2ASPD|389aVULN|4LIT|5DUR|6DMG|7TBNT
333	13143 23236	1	   	230.75	ACR|3VULN|2DUR|3LIT|1TLV|1ASPD	1RCR|237LIT|479VULN|57DUR|6RCVC|7BPWR|8TLV|aASPD
334	13223 23236	1	   	230.75	ACR|3VULN|2DUR|3LIT|1TLV|1ASPD	1RCR|247LIT|379VULN|57DUR|6RCVC|7BPWR|8TLV|aASPD
335	14323 23236	1	   	230.75	ACR|3VULN|2DUR|3LIT|1TLV|1ASPD	1RCR|279VULN|347LIT|57DUR|6RCVC|7BPWR|8TLV|aASPD
336	22364 61212	2	   	230.75	DCR|4VULN|1CDMG|1AART	1LHND|2CDMG|3TBNT|4789VULN|5AART|6DMSP|aRCR
337	63314 17634	10	   	230.75	DCR|4VULN|1CDMG|1AART	15ZMB|2AART|3MBVNT|469aVULN|7RCR|8CDMG
338	23232 66131	6	   	230.69	DCR|3VULN|2DUR|2LIT	13LHND|25LIT|45aVULN|5BPWR|68DUR|7ZMB|9RCR
339	53632 21522	9	   	230.69	DCR|3VULN|2DUR|2LIT	1LWND|2aLIT|3CGEN|4BEXP|59aVULN|6DUST|7aDUR|8RCR|aBPWR
340	61422 43231	6	   	230.69	DCR|3VULN|2DUR|2LIT	17ZMB|27DUR|38LIT|4RMIN|5ERES|67aVULN|7BPWR|9RCR
341	61633 63231	2	   	230.69	DCR|3VULN|2DUR|2LIT|1NUKE	17ZMB|25DUR|37aVULN|47LIT|6NUKE|7BPWR|8CGEN|9RCR
342	23113 34231	4	   	230.67	DCR|3VULN|2ASPD|1TLV	1LHND|2LIT|34ASPD|57aVULN|6TLV|8CGEN|9RCR
343	53113 34231	4	   	230.67	DCR|3VULN|2ASPD|1TLV	1LWND|2LIT|34ASPD|57aVULN|6TLV|8CGEN|9RCR
