0	Index      	Bounty	 *	Score 	Summary	Detail	
40	33162 25532	10	   	274.62	DCR|3VULN|3DMG|3TLV|1DUR	178TLV|278VULN|3RPLT|457DMG|6RCR|78BPWR|9DUR|aCGEN
41	33162 25531	9	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	178TLV|278VULN|3RPLT|457DMG|6RCR|78BPWR|9DUR|aERES
42	33162 25533	9	   	274.52	DCR|3VULN|3DMG|3TLV|1DUR	178TLV|278VULN|3RPLT|457DMG|6RCR|78BPWR|9DUR|aMBVNT
43	33162 23412	9	   	274.37	DCR|3VULN|3DMG|2TLV|1DUR|1SELL	18TLV|289VULN|3RPLT|458DMG|6RCR|7SELL|8BPWR|aDUR
44	33162 25262	9	   	274.37	DCR|3VULN|3DMG|2TLV|1DUR|1SELL	17TLV|278VULN|3RPLT|457DMG|6RCR|7BPWR|9SELL|aDUR
45	33541 21323	4	 * 	273.65	DCR|4VULN|3LIT|1TLV|1DUR|1CDMG	1TLV|2459VULN|346LIT|4BPWR|7DUR|8RCR|aCDMG
46	32222 36516	7	 * 	273.64	DCR|3VULN|3DUR|3TLV|2LIT	15aTLV|245DUR|3AART|5aBPWR|67aVULN|8aLIT|9RCR
47	33214 21216	7	   	273.64	DCR|3VULN|3DUR|2TLV|2LIT	1aTLV|25aVULN|367DUR|4aLIT|8AART|9RCR|aBPWR
48	33214 22216	6	   	273.64	DCR|3VULN|3DUR|2TLV|2LIT	1aTLV|25aVULN|367DUR|4aLIT|8AART|9RCR|aBPWR
49	33214 25261	7	 * 	273.58	DCR|3VULN|3DUR|1DMG|1TLV	1TLV|257VULN|368DUR|4LIT|9RCR|aDMG
50	33162 25135	9	   	272.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG|1ASPD	17TLV|27VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|9DUR|aASPD
51	33162 25111	10	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aLHND
52	33162 25111	9	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aFEWX
53	33162 25113	10	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aZMB
54	33162 25114	10	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aCGEN
55	33162 25115	9	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aMLV
56	33162 25213	10	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|278VULN|3RPLT|457DMG|6RCR|7BPWR|9LWND|aCDMG
57	33162 25223	10	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|278VULN|3RPLT|457DMG|6RCR|7BPWR|9LHND|aCDMG
58	33162 25323	10	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8LHND|aCDMG
59	33162 25423	10	   	272.02	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8LWND|aCDMG
60	33162 25523	10	   	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	178TLV|278VULN|3RPLT|457DMG|6RCR|78BPWR|9FEWX|aCDMG
61	33162 25113	9	   	271.92	DCR|3VULN|3DMG|3TLV|1CDMG	17aTLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG
62	33162 25115	10	   	271.92	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aDUST
63	33162 25116	10	   	271.92	DCR|3VULN|3DMG|2TLV|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aMBVNT
64	33162 25513	10	   	271.92	DCR|3VULN|3DMG|3TLV|1CDMG	178TLV|278VULN|3RPLT|457DMG|6RCR|78BPWR|9ERES|aCDMG
65	23523 13416	10	 * 	271.89	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1CGEN|2aVULN|3LIT|4ASPD|5aDMG|6AART|7TLV|8RCR|9aDUR|aBPWR
66	33162 25116	9	   	271.77	DCR|3VULN|3DMG|2TLV|1CDMG|1SELL	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aSELL
67	23162 25531	10	   	271.00	DCR|3VULN|3DMG|1TLV|1DUR	178CGEN|278VULN|3RPLT|457DMG|6RCR|78BPWR|9TLV|aDUR
68	23162 25231	10	   	270.90	DCR|3VULN|3DMG|1TLV|1DUR	17CGEN|278VULN|3RPLT|457DMG|6RCR|7BPWR|9TLV|aDUR
69	33265 13241	8	   	270.81	DCR|3VULN|2DUR|2TLV|1DMG|2LIT	19TLV|25aVULN|39DUR|4DMG|6ZMB|79LIT|8RCR|9BPWR
