0	Index      	Bounty	 *	Score 	Summary	Detail	
18	63112 33226	10	 * 	259.70	DCR|5VULN|1TLV|1DMG	13LHND|23568VULN|3BPWR|4LWND|7TLV|9DMG|aRCR
19	63112 33264	9	   	259.70	DCR|5VULN|1TLV|1DMG	13LHND|23568VULN|3BPWR|4LWND|7TLV|9RCR|aDMG
20	63132 33264	9	   	259.70	DCR|5VULN|1TLV|1DMG	13LHND|23568VULN|3BPWR|4FEWX|7TLV|9RCR|aDMG
21	62126 32235	1	 * 	259.21	DCR|4VULN|3DUR|1DMG	18LHND|2DMG|3468VULN|5BBNT|789DUR|8BPWR|aRCR
22	12166 31125	2	 * 	258.27	DCR|3VULN|3DMG|2DUR	1RMIN|29LWND|356VULN|459DMG|59BPWR|79DUR|8BBNT|aRCR
23	13166 31125	1	   	258.27	DCR|3VULN|3DMG|2DUR	1RMIN|29LWND|356VULN|459DMG|59BPWR|79DUR|8BBNT|aRCR
24	35323 66123	1	   	258.27	DCR|3VULN|3DMG|2DUR	1RCVC|2RMIN|37DUR|478VULN|567DMG|7BPWR|9MLV|aRCR
25	35323 66123	2	   	258.27	DCR|3VULN|3DMG|2DUR	1RCVC|2RMIN|37DUR|478VULN|567DMG|7BPWR|9MLV|aRCR
26	14113 61125	2	   	258.17	DCR|3VULN|3DMG|2DUR	1RMIN|239VULN|4LWND|569DMG|79DUR|8BBNT|9BPWR|aRCR
27	14213 31125	4	   	258.17	DCR|3VULN|3DMG|2DUR	1RMIN|279VULN|3BEXP|49DUR|569DMG|8BBNT|9BPWR|aRCR
28	14214 31125	5	   	258.17	DCR|3VULN|3DMG|2DUR	1RMIN|279VULN|3BEXP|49DUR|569DMG|8BBNT|9BPWR|aRCR
29	14243 31125	3	   	258.17	DCR|3VULN|3DMG|2DUR	1RMIN|279VULN|3BEXP|49DUR|569DMG|8BBNT|9BPWR|aRCR
30	35323 66111	1	   	258.17	DCR|3VULN|3DMG|2DUR	1RCVC|2RMIN|37DUR|478VULN|567DMG|7BPWR|9DUST|aRCR
31	35323 66111	2	   	258.17	DCR|3VULN|3DMG|2DUR	1RCVC|2RMIN|37DUR|478VULN|567DMG|7BPWR|9DUST|aRCR
32	14343 31125	2	   	258.07	DCR|3VULN|3DMG|2DUR	1RMIN|279VULN|3DUST|49DUR|569DMG|8BBNT|9BPWR|aRCR
33	13211 24512	9	 * 	257.42	DCR|3VULN|2DMG|2CDMG|1DUR|1AART|1SELL	1RMIN|2SELL|379VULN|4AART|59CDMG|69DMG|8RCR|9BPWR|aDUR
34	62126 24232	1	   	257.29	DCR|4VULN|2DMG|1DUR	18LHND|28DMG|3478VULN|5BBNT|6RCR|8BPWR|9DUR|aASPD
35	63326 24232	2	   	257.29	DCR|4VULN|2DMG|1DUR	18LHND|2478VULN|38DMG|5BBNT|6RCR|8BPWR|9DUR|aASPD
36	35323 36363	1	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|2RMIN|37DUR|467VULN|57DMG|7BPWR|8ERES|9RCR|aCDMG
37	35323 36363	2	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|2RMIN|37DUR|467VULN|57DMG|7BPWR|8ERES|9RCR|aCDMG
38	63112 33264	10	   	255.88	DCR|5VULN|1TLV|1DUR	13LHND|23568VULN|3BPWR|4LWND|7TLV|9RCR|aDUR
39	63132 33264	10	   	255.88	DCR|5VULN|1TLV|1DUR	13LHND|23568VULN|3BPWR|4FEWX|7TLV|9RCR|aDUR
