0	Index      	 *	Score 	Summary	Detail	
38	54441 41368	   	194.79	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69VULN|79CDMG|8SELL|9BPWR|aDUR
39	54448 47442	   	194.59	ACR|3VULN|2DMG|1AART|1ZMB	1MBVNT|2AART|3RCR|47DMG|57ERES|678VULN|7BPWR|9BEXP|aZMB
40	34262 11112	 * 	194.50	ACR|3DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|2AART|3RCR|4VULN|58aDMG|69ZMB|7ERES
41	54441 44361	   	194.44	ACR|2AART|2VULN|2DMG|2ZMB	1MBVNT|27AART|3RCR|49DMG|5MLV|69VULN|89ZMB|9BPWR|aRPLT
42	54441 44363	   	194.44	ACR|2AART|2VULN|2DMG|2ZMB	1MBVNT|27AART|3RCR|49DMG|5MLV|69VULN|89ZMB|9BPWR|aLHND
43	54441 44364	   	194.44	ACR|2AART|2VULN|2DMG|2ZMB	1MBVNT|27AART|3RCR|49DMG|5MLV|69VULN|89ZMB|9BPWR|aLWND
44	54441 44366	   	194.44	ACR|2AART|2VULN|2DMG|2ZMB	1MBVNT|27AART|3RCR|49DMG|5MLV|69VULN|89ZMB|9BPWR|aFEWX
45	54441 44362	   	194.34	ACR|2AART|2VULN|2DMG|2ZMB	1MBVNT|27AART|3RCR|49DMG|5MLV|69VULN|89ZMB|9BPWR|aDUST
46	54441 41365	 * 	193.89	ACR|2VULN|2DMG|1AART|3CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69VULN|79aCDMG|8SELL|9BPWR
47	58424 25112	   	193.71	ACR|3DMG|1AART|1VULN|2CDMG|2ASPD	1MBVNT|257DMG|37ASPD|4RCR|67CDMG|7BPWR|8AART|9VULN|aMLV
48	58424 25113	   	193.71	ACR|3DMG|1AART|1VULN|2CDMG|2ASPD	1MBVNT|257DMG|37ASPD|4RCR|67CDMG|7BPWR|8AART|9VULN|aLWND
49	54448 48424	   	193.65	ACR|4VULN|1AART|1DMG|1CDMG	1MBVNT|2AART|3RCR|4DMG|5ERES|678aVULN|9CDMG
50	58424 25111	   	193.61	ACR|3DMG|1AART|1VULN|2CDMG|2ASPD	1MBVNT|257DMG|37ASPD|4RCR|67CDMG|7BPWR|8AART|9VULN|aERES
51	58351 32341	   	193.57	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|29DMG|39VULN|4DUR|5RCR|6CGEN|79CDMG|8AART|9BPWR|aASPD
52	54441 44265	   	193.23	ACR|2AART|2VULN|2DMG|1CDMG	1MBVNT|27AART|3RCR|49DMG|59MLV|69VULN|8RMIN|9BPWR|aCDMG
53	54451 24246	   	193.23	ACR|2AART|2DMG|2VULN|1CDMG	1MBVNT|27AART|3RCR|4RPLT|59CGEN|69DMG|89VULN|9BPWR|aCDMG
54	54413 44365	   	193.03	ACR|2AART|2VULN|2DMG|1CDMG	1MBVNT|27AART|3RCR|4RMIN|59TLV|69VULN|89DMG|9BPWR|aCDMG
55	54441 44135	   	193.03	ACR|2AART|2VULN|2DMG|1CDMG	1MBVNT|27AART|3RCR|49DMG|5MLV|68VULN|aCDMG
56	54443 11532	   	193.03	ACR|2AART|2VULN|2DMG|1CDMG	1MBVNT|27AART|3RCR|4aDMG|5LWND|68VULN|9CDMG
57	54443 12534	   	193.03	ACR|2AART|2VULN|2DMG|1CDMG	1MBVNT|2aAART|3RCR|47DMG|5LWND|68VULN|9CDMG
58	53412 12253	   	192.95	DCR|4VULN|2DMG|1CDMG|2DUR	1MBVNT|29DUR|349aVULN|5CDMG|6LIT|7RCR|89DMG|9BPWR
59	54448 44435	   	192.93	ACR|2AART|2VULN|2DMG|1CDMG	1MBVNT|27AART|3RCR|49DMG|5ERES|68VULN|aCDMG
60	54448 47134	   	192.93	ACR|2AART|2VULN|2DMG|1CDMG	1MBVNT|2aAART|3RCR|47DMG|57ERES|67VULN|7BPWR|8TLV|9CDMG
61	34262 11121	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2AART|3RCR|4aVULN|58DMG|6ZMB|7ERES|9BEXP
62	34262 11161	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2AART|3RCR|4aVULN|58DMG|6ZMB|7ERES|9LHND
63	34262 11622	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2AART|3RCR|48VULN|5aDMG|6ZMB|7ERES|9BEXP
64	34262 12135	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2AART|3RCR|49VULN|5aDMG|6ZMB|7SNIHEL|8LWND
65	34262 12235	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2AART|3RCR|49VULN|5aDMG|6ZMB|7SNIHEL|8FEWX
66	54443 12537	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MBVNT|2AART|3RCR|47DMG|5LWND|68VULN|9CDMG|aZMB
67	32431 31152	   	192.32	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|23VULN|4DUR|5RCR|6AART|7ERES|8aDMG|9ZMB
68	53428 12254	   	192.20	DCR|3VULN|2DMG|2CDMG|2DUR	1MBVNT|29DUR|359VULN|45CDMG|59BPWR|6LIT|7RCR|89DMG|aASPD
69	54445 11164	   	191.71	ACR|2AART|2VULN|2DMG|2DUR	1MBVNT|27AART|3RCR|4aDMG|5DUST|6aVULN|8RPLT|9aDUR|aBPWR
70	54441 44124	   	191.10	ACR|3VULN|2AART|1DMG|1CDMG	1MBVNT|27AART|3RCR|4DMG|5MLV|68aVULN|9CDMG
71	54442 44185	   	191.10	ACR|3VULN|2AART|1DMG|1CDMG	1MBVNT|27AART|3RCR|4DMG|5RMIN|689VULN|aCDMG
72	54443 11531	   	191.10	ACR|3VULN|2AART|1DMG|1CDMG	1MBVNT|27AART|3RCR|4DMG|5LWND|68aVULN|9CDMG
73	54448 44424	   	191.00	ACR|3VULN|2AART|1DMG|1CDMG	1MBVNT|27AART|3RCR|4DMG|5ERES|68aVULN|9CDMG
74	12312 12243	   	190.87	DCR|3VULN|2DMG|2CDMG|1ZMB	1TLV|29aVULN|3DUR|4ZMB|59CDMG|6LIT|7RCR|89DMG|9BPWR
75	54443 73373	   	190.73	ACR|3VULN|2DMG|1AART	1MBVNT|2AART|3RCR|48DMG|58LWND|6BELT|78aVULN|8BPWR|9ASPD
76	54443 73344	   	190.73	ACR|3VULN|2DMG|1AART	1MBVNT|2AART|3RCR|48DMG|58LWND|6BELT|789VULN|8BPWR|aDUR
77	34262 11122	   	190.65	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2AART|3RCR|4VULN|58aDMG|6ZMB|7ERES|9BEXP
78	34262 11151	   	190.65	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2AART|3RCR|4VULN|589DMG|6ZMB|7ERES|aRPLT
79	34262 11152	   	190.65	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2AART|3RCR|4VULN|589DMG|6ZMB|7ERES|aLWND
80	34262 11153	   	190.65	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2AART|3RCR|4VULN|589DMG|6ZMB|7ERES|aLIT
81	34262 11162	   	190.65	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2AART|3RCR|4VULN|58aDMG|6ZMB|7ERES|9LHND
82	34262 11621	   	190.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|3RCR|48aVULN|5DMG|6ZMB|7ERES|9BEXP
