0	Index      	 *	Score 	Summary	Detail	
164	22613 15215	   	177.84	ACR|2VULN|1AART|1DMG|3DUR|1FLTHEA	17aDUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9AIRHEA
165	22633 16482	   	177.77	ACR|2VULN|2DMG|1AART|2DUR	19DUR|28DMG|3RCR|4FEWX|5aVULN|6AART|7MBVNT
166	22623 16482	   	177.67	ACR|2VULN|2DMG|1AART|2DUR	19DUR|28DMG|3RCR|4LEGI|5aVULN|6AART|7MBVNT
167	61521 21412	   	177.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|29VULN|3LHND|4AART|5CDMG|69FEWX|7DUR|89DMG|9BPWR|aRCR
168	61521 31412	   	177.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|29VULN|3LHND|4AART|5CDMG|69LWND|7DUR|89DMG|9BPWR|aRCR
169	22613 16362	   	177.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3RCR|4BEXP|57aVULN|6AART|8DUST|9ASPD
170	22613 13134	   	177.43	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|59VULN|6aAART|7ZMB|8RCVC
171	22633 13134	   	177.43	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|59VULN|6aAART|7ZMB|8RCVC
172	22633 13334	   	177.43	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|48FEWX|59VULN|6aAART|7ZMB
173	61321 61412	   	177.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|29VULN|3DUST|4AART|5CDMG|69LWND|7DUR|89DMG|9BPWR|aRCR
174	22232 16561	 * 	177.38	DCR|3AART|2DMG|1VULN|2DUR	17DUR|2aDMG|358AART|4MLV|6RCR|9VULN
175	22623 12252	   	177.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3RCR|4LEGI|59aVULN|6AART|7TLV|8ASPD
176	22623 15252	   	177.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3RCR|4LEGI|59aVULN|6AART|7ERES|8ASPD
177	24246 32222	 * 	177.34	ACR|2VULN|1AART|2CDMG|2FLTHEA|2DUR	1aDUR|24CDMG|3AART|5RCR|6RPLT|7aVULN|8aFLTHEA|9BELT|aBPWR
178	22613 13626	   	177.33	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|5aVULN|69AART|7ZMB|8TLV
179	22633 13626	   	177.33	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|5aVULN|69AART|7ZMB|8TLV
180	22322 16226	   	177.29	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3BEXP|4LHND|5RCR|69AART|78aVULN
181	22512 16226	   	177.29	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3LHND|4BEXP|5RCR|69AART|78aVULN
182	22623 16223	   	177.23	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4LEGI|58VULN|69AART|7MBVNT|aZMB
183	22623 16423	   	177.23	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	1DUR|28DMG|3RCR|4LEGI|5VULN|69AART|7MBVNT|aZMB
184	22212 11632	   	177.21	DCR|3VULN|1AART|1DMG|2DUR	14DUR|2DMG|3AART|5TLV|6RCR|7LWND|89aVULN
185	24265 11212	 * 	177.17	DCR|3DMG|1AART|2CDMG|2DUR|1SELL	17DUR|27CDMG|3AART|47aDMG|5SELL|6RCR|7BPWR|8RPLT|9MLV
186	22232 16323	 * 	177.12	DCR|2AART|2VULN|1DMG|3DUR	17aDUR|2DMG|35AART|4aMLV|6RCR|8aVULN|9RCVC|aBPWR
187	22232 16332	   	177.12	DCR|2AART|2VULN|1DMG|3DUR	17aDUR|2DMG|35AART|4aMLV|6RCR|8aVULN|9RMIN|aBPWR
188	22232 16343	   	177.12	DCR|2AART|2VULN|1DMG|3DUR	17aDUR|2DMG|35AART|4aMLV|6RCR|8aVULN|9DMSP|aBPWR
189	22623 32314	   	177.12	ACR|2VULN|2DMG|1AART|2DUR|1SELL	19DUR|2aDMG|3RCR|4LEGI|59VULN|6SELL|7AART|89MLV|9BPWR
190	22242 33262	   	176.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|25DMG|3AART|4RPLT|6RCR|7CDMG|8ERES|9ASPD|aVULN
191	24126 32222	   	176.74	ACR|2VULN|1AART|2CDMG|2FLTHEA|2DUR	1aDUR|23CDMG|4AART|5RCR|6RPLT|7aVULN|8aFLTHEA|9BELT|aBPWR
192	24263 31115	   	176.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	18DUR|2CDMG|3AART|47DMG|5VULN|6ZMB|9CGEN|aRCR
193	22132 16435	   	176.61	DCR|3DMG|1AART|1VULN|2DUR	17DUR|23aDMG|4AART|5TLV|6RCR|8VULN|9RMIN
194	22212 16424	   	176.38	DCR|2DMG|1AART|1VULN|3DUR|1ZMB	147DUR|29DMG|3AART|5TLV|6RCR|8VULN|aZMB
195	22614 31421	 * 	176.27	ACR|3VULN|2DMG|1CDMG|1DUR	1DUR|2aDMG|3RCR|4BEXP|5FEWX|679VULN|8CDMG
196	22614 32421	 * 	176.27	ACR|3DMG|2VULN|1CDMG|1DUR	1DUR|27aDMG|3RCR|4BEXP|5FEWX|69VULN|8CDMG
197	22133 33262	   	176.25	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|23DMG|4AART|5RPLT|6RCR|7CDMG|8ERES|9ASPD|aVULN
198	22242 33241	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|25DMG|3AART|4RPLT|6RCR|79CDMG|8ERES|aVULN
199	22613 11245	 * 	176.14	ACR|2AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1DUR|2DMG|3RCR|4BEXP|5VULN|67AART|8FLTHEA|9LHND|aCDMG
200	22613 15131	   	176.13	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8CGEN|aLHND
201	22613 15133	   	176.13	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8CGEN|aMLV
202	22613 15611	   	176.13	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|479BEXP|578VULN|6AART|7BPWR|aCGEN
203	22613 15612	   	176.13	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|479BEXP|578VULN|6AART|7BPWR|aLIT
204	22613 15132	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8CGEN|aTLV
205	22613 15136	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8CGEN|aDUST
206	22613 15326	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|57aVULN|6AART|7BPWR|8DUST|9DMSP
207	22613 15352	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8DUST|aRMIN
208	22613 15353	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8DUST|aCGEN
209	22613 15531	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8ERES|aLHND
210	22613 15533	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8ERES|aMLV
211	22613 15613	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|479BEXP|578VULN|6AART|7BPWR|aLSRREG
212	22613 15632	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|578VULN|6AART|7BPWR|9DUST|aRMIN
213	22613 15633	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|578VULN|6AART|7BPWR|9DUST|aCGEN
214	22613 15351	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8DUST|aMBVNT
215	22613 15431	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|57aVULN|6AART|7BPWR|8BASICY|9DLOT
216	22613 15532	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8ERES|aTLV
217	22613 15631	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|47BEXP|578VULN|6AART|7BPWR|9DUST|aMBVNT
218	22613 16134	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1aDUR|2DMG|3RCR|4BEXP|579VULN|6AART|8CGEN
219	22132 14514	 * 	175.91	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|238DMG|4AART|5TLV|6RCR|7RPLT|9CDMG|aZMB
220	22133 36514	   	175.91	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|238DMG|4AART|5RPLT|6RCR|7ERES|9CDMG|aZMB
221	22623 11616	   	175.83	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|4LEGI|58aVULN|6AART|9BEXP
222	22623 11652	   	175.83	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|4LEGI|589VULN|6AART|aLSRICY
223	22623 11653	   	175.83	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|4LEGI|589VULN|6AART|aRPLT
224	22633 16282	   	175.83	ACR|3VULN|1AART|1DMG|2DUR	19DUR|2DMG|3RCR|4FEWX|58aVULN|6AART|7MBVNT
225	22633 33142	   	175.82	ACR|2VULN|2DMG|1AART|2DUR|1SELL	18DUR|2aDMG|3RCR|4FEWX|57VULN|6SELL|9AART
226	22623 11356	   	175.73	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|4LEGI|59aVULN|6AART|8DUST
227	22623 11621	   	175.73	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|4LEGI|58aVULN|6AART|9BASHEA
228	22623 16282	   	175.73	ACR|3VULN|1AART|1DMG|2DUR	19DUR|2DMG|3RCR|4LEGI|58aVULN|6AART|7MBVNT
229	61532 32412	   	175.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|29VULN|3LHND|4CDMG|59FEWX|6DUR|7AART|89DMG|9BPWR|aRCR
230	61533 32412	   	175.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|29VULN|3LHND|4CDMG|59BEXP|6DUR|7AART|89DMG|9BPWR|aRCR
231	22133 33241	   	175.63	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|23DMG|4AART|5RPLT|6RCR|79CDMG|8ERES|aVULN
232	22613 16225	   	175.57	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1DUR|2DMG|3RCR|4BEXP|57VULN|6AART|8FLTHEA|9BELT|aASPD
233	22212 13153	   	175.56	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	14DUR|2DMG|3AART|5TLV|6RCR|7ASPD|8ZMB|9CDMG|aVULN
234	22621 53611	   	175.37	ACR|2VULN|2DMG|1AART|2DUR	17DUR|29DMG|3RCR|4LEGI|5MLV|68VULN|aAART
235	22212 11635	   	175.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	14DUR|2DMG|3AART|5TLV|6RCR|7LWND|89VULN|aCDMG
236	22213 33632	   	175.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	14DUR|2DMG|3AART|5RPLT|6RCR|7CDMG|8DUST|9aVULN
237	22242 31163	   	175.21	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	17DUR|25DMG|3AART|4RPLT|6RCR|89ASPD|aVULN
238	22242 33633	   	175.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1aDUR|25DMG|3AART|4RPLT|6RCR|7CDMG|8DUST|9VULN
239	22242 33652	   	175.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|25DMG|3AART|4RPLT|6RCR|7CDMG|8DUST|aVULN
240	22633 16381	   	175.13	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	19DUR|29DMG|3RCR|4FEWX|5VULN|6AART|7MBVNT|89ZMB|9BPWR|aDUST
241	22633 16383	   	175.13	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	19DUR|29DMG|3RCR|4FEWX|5VULN|6AART|7MBVNT|89ZMB|9BPWR|aLSRHEA
242	22633 16384	   	175.13	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	19DUR|29DMG|3RCR|4FEWX|5VULN|6AART|7MBVNT|89ZMB|9BPWR|aLEGI
243	61233 15236	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|26VULN|3RCVC|4AART|5RPLT|7RCR|89DMG|aZMB
244	22232 13552	   	174.75	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|2DMG|35AART|4MLV|6RCR|7ASPD|8BEXP|9aVULN
245	22621 53132	   	174.63	ACR|3VULN|1AART|1DMG|2DUR	17DUR|2DMG|3RCR|4LEGI|5MLV|69aVULN|8AART
246	22132 16415	   	174.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	17DUR|23DMG|4AART|5TLV|6RCR|8VULN|9LWND|aCDMG
247	22132 16424	   	174.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	17DUR|23DMG|4AART|5TLV|6RCR|8VULN|9RCVC|aCDMG
248	22133 31163	   	174.61	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	17DUR|23DMG|4AART|5RPLT|6RCR|89ASPD|aVULN
249	22133 33633	   	174.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1aDUR|23DMG|4AART|5RPLT|6RCR|7CDMG|8DUST|9VULN
250	22133 33652	   	174.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|23DMG|4AART|5RPLT|6RCR|7CDMG|8DUST|aVULN
251	22253 55331	 * 	174.53	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	157DUR|2DMG|3AART|47LWND|67VULN|7BPWR|8RCR|9MLV|aCDMG
252	22253 55321	   	174.43	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	157DUR|2DMG|3AART|47LWND|67VULN|7BPWR|8RCR|9ERES|aCDMG
253	63243 51332	   	174.32	DCR|2AART|2DMG|1VULN|1CDMG	1ERES|2TLV|34AART|5VULN|6RCR|7LWND|8CDMG|9aDMG
254	63243 51333	   	174.32	DCR|2AART|2VULN|1DMG|1CDMG	1ERES|2TLV|34AART|5aVULN|6RCR|7LWND|8CDMG|9DMG
255	22136 41532	   	174.25	DCR|3DMG|1AART|1VULN|2DUR|1ASPD	17DUR|237DMG|4AART|5RCVC|67BEXP|7BPWR|8ASPD|9VULN|aRCR
256	33345 41133	   	174.15	DCR|2VULN|2DMG|1AART|1DUR	178LIT|2MLV|3AART|48VULN|58DMG|6RCR|8BPWR|9DUR|aDMSP
257	22613 15223	   	174.13	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47aBEXP|57VULN|6AART|7BPWR|8FLTHEA|9BELT
258	22613 15242	   	174.13	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9LHND|aDMSP
259	22613 15243	   	174.13	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9LHND|aFEWX
260	22613 15252	   	174.13	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9RPLT|aLWND
261	31345 41133	   	174.05	DCR|2VULN|2DMG|1AART|1DUR	178LIT|2TLV|3AART|48VULN|58DMG|6RCR|8BPWR|9DUR|aDMSP
262	33345 41131	   	174.05	DCR|2VULN|2DMG|1AART|1DUR	178LIT|2MLV|3AART|48VULN|58DMG|6RCR|8BPWR|9DUR|aDUST
263	22132 13621	   	174.05	DCR|2AART|2DMG|1VULN|1DUR|1ASPD	1DUR|23DMG|48AART|5TLV|6RCR|7ASPD|9BEXP|aVULN
264	22132 13651	   	174.05	DCR|2AART|2DMG|1VULN|1DUR|1ASPD	1DUR|23DMG|48AART|5TLV|6RCR|7ASPD|9FEWX|aVULN
265	22613 15211	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9AIRHEA|aFEWX
266	22613 15212	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9AIRHEA|aLHND
267	22613 15213	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9AIRHEA|aCGEN
268	22613 15232	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9DLOT|aLIT
269	22613 15233	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9DLOT|aRCVC
270	22613 15234	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9DLOT|aCGEN
271	22613 15262	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9DUST|aDMSP
272	22613 15263	   	174.03	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9DUST|aFEWX
273	31345 41131	   	173.95	DCR|2VULN|2DMG|1AART|1DUR	178LIT|2TLV|3AART|48VULN|58DMG|6RCR|8BPWR|9DUR|aDUST
274	22613 15214	   	173.93	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9AIRHEA|aERES
275	22613 15216	   	173.93	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9AIRHEA|aTLV
276	22613 15334	   	173.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8DUST|9MBVNT|aCDMG
277	22613 16253	   	173.93	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1aDUR|2DMG|3RCR|4BEXP|57VULN|6AART|8FLTHEA|9RPLT
278	22621 22342	 * 	173.93	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|27aDMG|3RCR|4LEGI|5MLV|6ZMB|8AART|9CDMG
279	22633 33143	   	173.89	ACR|3VULN|1AART|1DMG|2DUR|1SELL	18DUR|2DMG|3RCR|4FEWX|57aVULN|6SELL|9AART
280	22613 15224	   	173.88	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1SELL	17DUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9BELT|aSELL
281	63213 15523	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	19ERES|2TLV|3AART|49DMG|5MLV|6RCR|7CGEN|89VULN|9BPWR|aASPD
282	22626 22134	   	173.83	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	1aDUR|2DMG|3RCR|4LEGI|56ZMB|79VULN|8AART
283	22626 22152	   	173.83	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	19DUR|2DMG|3RCR|4LEGI|56ZMB|7aVULN|8AART
284	22623 11135	   	173.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|4LEGI|59VULN|6AART|8CGEN|aCDMG
285	22623 11225	   	173.83	ACR|2DMG|1AART|1VULN|1FLTHEA|2DUR	17DUR|2aDMG|3RCR|4LEGI|5VULN|6AART|8FLTHEA|9FEWX
286	22623 11635	   	173.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|4LEGI|58VULN|6AART|9CGEN|aCDMG
287	22623 11641	   	173.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|4LEGI|58VULN|6AART|9CDMG|aLHND
288	22613 16215	   	173.83	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1aDUR|2DMG|3RCR|4BEXP|57VULN|6AART|8FLTHEA|9AIRHEA
289	22653 22342	   	173.83	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|27aDMG|3RCR|4TLV|5LEGI|6ZMB|8AART|9CDMG
290	14263 31262	   	173.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	18LHND|2CDMG|3AART|47DMG|5VULN|6ZMB|9RCR|aDUR
291	22623 11535	   	173.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|4LEGI|59VULN|6AART|8ERES|aCDMG
292	14126 32261	 * 	173.65	ACR|3VULN|1AART|2CDMG|1FLTHEA	1LHND|23CDMG|4AART|5RCR|6RPLT|79aVULN|8FLTHEA
293	22242 32256	   	173.61	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3AART|4RPLT|6RCR|7SELL|8ERES|9aVULN
294	22242 32632	   	173.61	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3AART|4RPLT|6RCR|7SELL|8DUST|9aVULN
295	22132 13112	   	173.61	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|23DMG|4AART|5TLV|6RCR|7ASPD|8ZMB|9LWND|aVULN
296	22132 13553	   	173.61	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|23DMG|4AART|5TLV|6RCR|7ASPD|8BEXP|9VULN|aZMB
297	22211 26511	   	173.56	DCR|2VULN|2DMG|1AART|3DUR	147DUR|28DMG|3AART|58VULN|6RMIN|8BPWR|9MLV|aRCR
298	22211 26531	   	173.56	DCR|2VULN|2DMG|1AART|3DUR	147DUR|28DMG|3AART|58VULN|6RMIN|8BPWR|9CGEN|aRCR
299	22132 13132	   	173.51	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|23DMG|4AART|5TLV|6RCR|7ASPD|8ZMB|9DUST|aVULN
300	22132 13142	   	173.51	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|23DMG|4AART|5TLV|6RCR|7ASPD|8ZMB|9LEGI|aVULN
301	22613 11241	   	173.50	ACR|2AART|1DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|5VULN|67AART|8FLTHEA|9LHND|aZMB
302	22613 11254	   	173.50	ACR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|5VULN|67AART|8FLTHEA|9RPLT|aZMB
303	22633 11241	   	173.50	ACR|2AART|1DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|5VULN|67AART|8FLTHEA|9LHND|aZMB
304	22633 11254	   	173.50	ACR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|5VULN|67AART|8FLTHEA|9RPLT|aZMB
305	22215 55131	   	173.46	DCR|2VULN|2DMG|1AART|3DUR	147DUR|29DMG|3AART|57DUST|67VULN|7BPWR|8RCVC|aRCR
306	22223 55431	   	173.46	DCR|2VULN|2DMG|1AART|3DUR	178DUR|29DMG|3AART|47DUST|5RCVC|67VULN|7BPWR|aRCR
307	22653 22121	   	173.43	ACR|3VULN|2DMG|1ZMB|1DUR	1DUR|27DMG|3RCR|4TLV|5LEGI|6ZMB|89aVULN
308	22613 11261	   	173.40	ACR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|5VULN|67AART|8FLTHEA|9DUST|aZMB
309	22633 11261	   	173.40	ACR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4FEWX|5VULN|67AART|8FLTHEA|9DUST|aZMB
310	22613 11362	   	173.27	ACR|2VULN|2AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3RCR|4BEXP|5aVULN|67AART|8DUST|9ASPD
311	22633 11362	   	173.27	ACR|2VULN|2AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3RCR|4FEWX|5aVULN|67AART|8DUST|9ASPD
312	22132 11631	   	173.25	DCR|2VULN|2DMG|1AART|1DUR	1DUR|23DMG|4AART|5TLV|6RCR|7LWND|89VULN|aLHND
313	22132 11633	   	173.25	DCR|2VULN|2DMG|1AART|1DUR	1DUR|23DMG|4AART|5TLV|6RCR|7LWND|89VULN|aFEWX
314	22623 12222	   	173.17	ACR|2VULN|2AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3RCR|4LEGI|5aVULN|69AART|7TLV|8ASPD
315	22623 15222	   	173.17	ACR|2VULN|2AART|1DMG|1ASPD|1DUR	1DUR|2DMG|3RCR|4LEGI|5aVULN|69AART|7ERES|8ASPD
316	22132 11636	   	173.15	DCR|2VULN|2DMG|1AART|1DUR	1DUR|23DMG|4AART|5TLV|6RCR|7LWND|89VULN|aDUST
317	22132 11652	   	173.15	DCR|2VULN|2DMG|1AART|1DUR	1DUR|23DMG|4AART|5TLV|6RCR|7LWND|8aVULN|9DUST
318	22232 11634	   	173.11	DCR|2AART|2VULN|1DMG|2DUR	1aDUR|2DMG|35AART|4MLV|6RCR|7LWND|89VULN
319	22232 14523	   	173.11	DCR|2AART|2DMG|1VULN|2DUR	19DUR|28DMG|35AART|4MLV|6RCR|7RPLT|aVULN
320	22232 16312	   	173.11	DCR|2AART|2VULN|1DMG|2DUR	17DUR|2DMG|35AART|4MLV|6RCR|8aVULN|9LWND
321	22232 16331	   	173.11	DCR|2AART|2VULN|1DMG|2DUR	17DUR|2DMG|35AART|4MLV|6RCR|8aVULN|9RMIN
322	22232 16335	   	173.11	DCR|2AART|2DMG|1VULN|2DUR	17DUR|2aDMG|35AART|4MLV|6RCR|8VULN|9RMIN
323	22232 16351	   	173.11	DCR|2AART|2VULN|1DMG|2DUR	17DUR|2DMG|35AART|4MLV|6RCR|8aVULN|9CGEN
324	22232 16355	   	173.11	DCR|2AART|2DMG|1VULN|2DUR	17DUR|2aDMG|35AART|4MLV|6RCR|8VULN|9CGEN
325	22115 53411	   	173.07	ACR|2VULN|2DMG|1AART|2DUR	17DUR|23DMG|4LIT|5RCR|6AART|8aVULN|9BEXP
