0	Index      	 *	Score 	Summary	Detail	
38	22623 13651	   	184.64	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2DMG|3RCR|4LEGI|589aVULN|6AART|7DMSP
39	22633 16262	   	184.64	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|589aVULN|6AART|7MBVNT
40	22623 16242	   	184.54	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2DMG|3RCR|4LEGI|589aVULN|6AART|7MBVNT
41	24223 16412	 * 	184.52	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|29CDMG|3AART|4LHND|5CGEN|69VULN|7LWND|89DMG|9BPWR|aRCR
42	24221 16412	   	184.42	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|29CDMG|3AART|4LHND|5FEWX|69VULN|7ERES|89DMG|9BPWR|aRCR
43	24232 16412	   	184.42	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|29CDMG|3AART|4ERES|5FEWX|69VULN|7LWND|89DMG|9BPWR|aRCR
44	22613 16135	   	184.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4BEXP|579VULN|6AART|8CGEN|aCDMG
45	22613 16226	   	184.29	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2DMG|3RCR|4BEXP|57aVULN|6AART|8FLTHEA|9BELT
46	22626 22132	 * 	184.19	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1DUR|2DMG|3RCR|4LEGI|56ZMB|79aVULN|8AART
47	22623 13643	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4LEGI|58aVULN|6AART|7DMSP|9CDMG
48	22613 16231	   	184.19	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2DMG|3RCR|4BEXP|57aVULN|6AART|8FLTHEA|9DLOT
49	22613 11615	   	184.02	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2aDMG|3RCR|49BEXP|58VULN|67AART
50	22633 16464	   	183.92	ACR|2VULN|2DMG|2AART|1DUR	1DUR|28DMG|3RCR|4FEWX|59VULN|6aAART|7MBVNT
51	22623 16422	   	183.82	ACR|2VULN|2DMG|2AART|1DUR	1DUR|28DMG|3RCR|4LEGI|5aVULN|69AART|7MBVNT
52	22623 16444	   	183.82	ACR|2VULN|2DMG|2AART|1DUR	1DUR|28DMG|3RCR|4LEGI|59VULN|6aAART|7MBVNT
53	22613 13663	 * 	183.49	ACR|2DMG|1AART|1VULN|2ZMB|2ASPD|1DUR	1DUR|2aDMG|3RCR|4BEXP|5VULN|6AART|7aZMB|8TLV|9aASPD|aBPWR
54	22633 13663	   	183.49	ACR|2DMG|1AART|1VULN|2ZMB|2ASPD|1DUR	1DUR|2aDMG|3RCR|4FEWX|5VULN|6AART|7aZMB|8TLV|9aASPD|aBPWR
55	22633 16463	   	183.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28DMG|3RCR|4FEWX|59VULN|6AART|7MBVNT|aZMB
56	22232 11632	 * 	183.47	DCR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|35AART|4MLV|6RCR|7LWND|89aVULN
57	22623 16443	   	183.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28DMG|3RCR|4LEGI|59VULN|6AART|7MBVNT|aZMB
58	22212 16443	   	183.06	DCR|2VULN|2DMG|1AART|3DUR	147DUR|2aDMG|3AART|5aTLV|6RCR|8aVULN|9RMIN|aBPWR
59	22242 34433	   	183.02	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUR|258DMG|3AART|4RPLT|6RCR|7BEXP|9VULN|aZMB
60	22613 15362	   	182.97	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	17DUR|2DMG|3RCR|47BEXP|57aVULN|6AART|7BPWR|8DUST|9ASPD
61	22212 16422	   	182.96	DCR|2VULN|2DMG|1AART|3DUR	147DUR|29DMG|3AART|5TLV|6RCR|8aVULN
62	33345 41122	   	182.87	DCR|3VULN|2DMG|1AART	178LIT|2MLV|3AART|48aVULN|58DMG|6RCR|8BPWR|9CGEN
63	33345 41123	   	182.87	DCR|3DMG|2VULN|1AART	178LIT|2MLV|3AART|48VULN|58aDMG|6RCR|8BPWR|9CGEN
64	31345 41122	   	182.77	DCR|3VULN|2DMG|1AART	178LIT|2TLV|3AART|48aVULN|58DMG|6RCR|8BPWR|9CGEN
65	31345 41123	   	182.77	DCR|3DMG|2VULN|1AART	178LIT|2TLV|3AART|48VULN|58aDMG|6RCR|8BPWR|9CGEN
66	22633 33343	   	182.70	ACR|4VULN|1AART|1DMG|1DUR|1SELL	1DUR|2DMG|3RCR|4FEWX|578aVULN|6SELL|9AART
67	63213 15521	   	182.57	DCR|3VULN|2DMG|1AART	19ERES|2TLV|3AART|49DMG|5MLV|6RCR|7CGEN|89aVULN|9BPWR
68	22132 16423	   	182.46	DCR|2VULN|2DMG|1AART|3DUR	17aDUR|23DMG|4AART|5aTLV|6RCR|8aVULN|9RCVC|aBPWR
69	22132 16432	   	182.46	DCR|2VULN|2DMG|1AART|3DUR	17aDUR|23DMG|4AART|5aTLV|6RCR|8aVULN|9RMIN|aBPWR
70	22132 16443	   	182.46	DCR|2VULN|2DMG|1AART|3DUR	17aDUR|23DMG|4AART|5aTLV|6RCR|8aVULN|9DMSP|aBPWR
71	22133 34433	   	182.42	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUR|238DMG|4AART|5RPLT|6RCR|7BEXP|9VULN|aZMB
72	22621 22356	   	182.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|27DMG|3RCR|4LEGI|5MLV|6ZMB|8AART|9aVULN
73	22626 22135	 * 	182.19	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DUR|2DMG|3RCR|4LEGI|56ZMB|79VULN|8AART|aCDMG
74	22613 11611	   	182.09	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|49BEXP|58aVULN|67AART
75	22613 11652	   	182.09	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4BEXP|589VULN|67AART|aLSRICY
76	22613 11653	   	182.09	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4BEXP|589VULN|67AART|aRPLT
77	22633 11616	   	182.09	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|58aVULN|67AART|9BEXP
78	22633 11652	   	182.09	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|589VULN|67AART|aLSRICY
