0	Index      	 *	Score 	Summary	Detail	
35	13131 52551	   	170.72	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2ZMB|3LHND|4DUST|56DMG|7AART|8RCR|9CGEN
36	13131 52561	   	170.62	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2ZMB|3LHND|4DUST|56DMG|7AART|8RCR|9TLV
37	14341 41411	 * 	170.53	DCR|3VULN|2DMG|2CDMG	17aVULN|2aFEWX|3MBVNT|45DMG|6CGEN|8RCR|9aCDMG|aBPWR
38	15341 41411	   	170.53	DCR|3VULN|2DMG|2CDMG	17aVULN|2aBEXP|3MBVNT|45DMG|6CGEN|8RCR|9aCDMG|aBPWR
39	14341 31411	   	170.43	DCR|3VULN|2DMG|2CDMG	17aVULN|2aFEWX|3MBVNT|45DMG|6TLV|8RCR|9aCDMG|aBPWR
40	15341 31411	   	170.43	DCR|3VULN|2DMG|2CDMG	17aVULN|2aBEXP|3MBVNT|45DMG|6TLV|8RCR|9aCDMG|aBPWR
41	36333 51335	 * 	169.92	DCR|2DMG|3CDMG|1VULN|2ZMB|1ASPD	1BELT|28ZMB|38aCDMG|4ASPD|5DUST|6RCR|78DMG|8BPWR|9VULN
42	13154 31111	 * 	169.82	DCR|4VULN|2CDMG|1ZMB|1DUR	157aVULN|2ZMB|3aLHND|4MLV|6RCR|8DUR|9aCDMG|aBPWR
43	36333 51233	   	169.17	DCR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	1BELT|2ZMB|3CDMG|4ASPD|5DUST|6RCR|78aDMG|9VULN
44	11261 64221	 * 	169.16	DCR|3VULN|3CDMG|1AART|1DUR	167VULN|2DUST|3BELT|47FEWX|567CDMG|67BPWR|8RCR|9DUR|aAART
45	15224 41331	   	169.11	DCR|3VULN|2DMG|1CDMG	19aVULN|2BEXP|3BELT|49LHND|5MLV|6RCR|7CDMG|89DMG|9BPWR
46	15215 41331	   	169.11	DCR|3VULN|2DMG|1CDMG	19aVULN|29BEXP|3BELT|4RMIN|5LWND|6RCR|7CDMG|89DMG|9BPWR
47	11224 41331	   	169.01	DCR|3VULN|2DMG|1CDMG	19aVULN|2DUST|3BELT|49LHND|5MLV|6RCR|7CDMG|89DMG|9BPWR
48	11224 41336	 * 	169.01	DCR|3DMG|2VULN|1CDMG	19VULN|2DUST|3BELT|49LHND|5MLV|6RCR|7CDMG|89aDMG|9BPWR
49	23311 52314	 * 	168.91	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG|1DUR	13LHND|238ZMB|3BPWR|4DUR|5VULN|6DMG|7AART|9CDMG|aRCR
50	11215 41331	   	168.91	DCR|3VULN|2DMG|1CDMG	19aVULN|29DUST|3BELT|4RMIN|5LWND|6RCR|7CDMG|89DMG|9BPWR
51	13161 42314	   	168.81	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG|1DUR	1VULN|268ZMB|3LHND|4DUR|5DMG|7AART|9CDMG|aRCR
52	13131 52523	   	168.78	DCR|3DMG|1AART|1VULN|1ZMB	1VULN|2ZMB|3LHND|4DUST|56aDMG|7AART|8RCR|9BELT
53	11344 44558	   	168.56	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5MGNLIT|68DMG|7AART|8BPWR|9LHND|aRCR
54	13131 42536	 * 	168.43	DCR|2DMG|2AART|1VULN|2ZMB	1VULN|26ZMB|3LHND|4DUST|5aDMG|79AART|8RCR
55	13335 52252	   	168.41	DCR|3VULN|2DMG|1ZMB|1DUR	149VULN|2ZMB|3LWND|5LHND|6aDMG|7DUR|8RCR
56	13141 52252	   	168.41	DCR|3DMG|2VULN|1ZMB|1DUR	19VULN|2ZMB|3LHND|4LWND|56aDMG|7DUR|8RCR
57	13321 52252	   	168.41	DCR|3DMG|2VULN|1ZMB|1DUR	19VULN|2ZMB|3LWND|4LHND|56aDMG|7DUR|8RCR
58	13513 62423	   	168.31	DCR|3VULN|2DMG|1ZMB|1DUR	15aVULN|2ZMB|3RPLT|46DMG|7DUR|8RCR|9DUST
59	36422 12231	   	167.92	DCR|3VULN|2DMG|2ZMB	1BELT|29ZMB|3RPLT|469VULN|5RCVC|7RCR|89DMG|9BPWR|aLIT
60	36422 12232	   	167.92	DCR|3VULN|2DMG|2ZMB	1BELT|29ZMB|3RPLT|469VULN|5RCVC|7RCR|89DMG|9BPWR|aFEWX
61	36422 12234	   	167.92	DCR|3VULN|2DMG|2ZMB	1BELT|29ZMB|3RPLT|469VULN|5RCVC|7RCR|89DMG|9BPWR|aDMSP
62	36422 12236	   	167.92	DCR|3VULN|2DMG|2ZMB	1BELT|29ZMB|3RPLT|469VULN|5RCVC|7RCR|89DMG|9BPWR|aLWND
63	36422 12233	   	167.82	DCR|3VULN|2DMG|2ZMB	1BELT|29ZMB|3RPLT|469VULN|5RCVC|7RCR|89DMG|9BPWR|aAIRHEL
64	31343 44322	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BELT|2DUR|3ERES|49VULN|5FEWX|6RCR|7AART|8DMG|aCDMG
65	31424 36333	 * 	167.47	DCR|3DMG|1VULN|2CDMG|2DUR	1BELT|28DUR|35aDMG|48DUST|68CDMG|7RCR|8BPWR|9VULN
66	36333 52351	 * 	167.24	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1BELT|2ZMB|38CDMG|4ASPD|5DUST|6RCR|7AART|9DMG|aVULN
67	11346 27833	   	167.12	DCR|2AART|1VULN|1DMG|1CDMG|1FLTHEA|1ASPD	1VULN|2DUST|3MBVNT|4CDMG|5DMG|6FLTHEA|7ASPD|8aAART|9RCR
68	14342 61411	 * 	167.04	DCR|4VULN|1DMG|2CDMG	167aVULN|2aFEWX|3MBVNT|4DMG|5CGEN|8RCR|9aCDMG|aBPWR
69	15342 61411	   	167.04	DCR|4VULN|1DMG|2CDMG	167aVULN|2aBEXP|3MBVNT|4DMG|5CGEN|8RCR|9aCDMG|aBPWR
70	11321 61411	   	166.84	DCR|4VULN|1DMG|2CDMG	167aVULN|2aDUST|3MBVNT|4CGEN|5DMG|8RCR|9aCDMG|aBPWR
71	13131 52511	   	166.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2ZMB|3LHND|4DUST|56DMG|7AART|8RCR|9LIT|aCDMG
72	13131 52522	   	166.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2ZMB|3LHND|4DUST|56DMG|7AART|8RCR|9BELT|aCDMG
73	14341 51453	 * 	166.61	DCR|3DMG|2VULN|3DUR	1aVULN|2FEWX|3MBVNT|45aDMG|67aDUR|8RCR|9RPLT|aBPWR
74	15341 51453	   	166.61	DCR|3DMG|2VULN|3DUR	1aVULN|2BEXP|3MBVNT|45aDMG|67aDUR|8RCR|9RPLT|aBPWR
75	61432 13251	   	166.61	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1LSRICY|2RMIN|3DUR|4ASPD|5DMG|68AART|7RCR|9CDMG|aVULN
76	11633 52522	   	166.55	DCR|2VULN|2DMG|1AART|1DUR	14VULN|2DUST|3ERES|5DUR|6aDMG|7AART|8RCR|9FEWX
77	14221 64213	 * 	166.05	DCR|5VULN|3CDMG	1679aVULN|2FEWX|3BELT|47LHND|567CDMG|67BPWR|8RCR
78	11371 57231	   	165.97	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1aVULN|2DUST|3MBVNT|4ASPD|5DMG|6RCR|7SELL|8CDMG|9AART
79	11371 54131	   	165.97	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1aVULN|2DUST|3MBVNT|4ASPD|5DMG|6RCR|7CDMG|8SELL|9AART
80	11261 64213	   	165.95	DCR|5VULN|3CDMG	1679aVULN|2DUST|3BELT|47FEWX|567CDMG|67BPWR|8RCR
81	11211 33321	   	165.81	DCR|2VULN|2DMG|1AART	1aVULN|2DUST|3BELT|4RMIN|5AART|6RCR|7LEGI|8aDMG|9aCGEN|aBPWR
82	14362 28243	 * 	165.79	DCR|2VULN|1AART|1DMG|2CDMG	18VULN|28FEWX|3MBVNT|4BEXP|5TLV|6RCR|78CDMG|8BPWR|9AART|aDMG
83	15372 28243	   	165.79	DCR|2VULN|1AART|1DMG|2CDMG	18VULN|28BEXP|3MBVNT|4FEWX|5TLV|6RCR|78CDMG|8BPWR|9AART|aDMG
84	35335 61234	   	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BELT|2CGEN|3CDMG|4ASPD|5MBVNT|6RCR|78DMG|9VULN|aAART
85	14211 33321	   	165.71	DCR|2DMG|2VULN|1AART	1aVULN|2FEWX|3BELT|4RMIN|5AART|6RCR|7LEGI|8aDMG|9aERES|aBPWR
86	14211 33341	   	165.71	DCR|2VULN|2DMG|1AART	1aVULN|2FEWX|3BELT|4RMIN|5AART|6RCR|7LEGI|8aDMG|9aTLV|aBPWR
87	11211 33341	   	165.61	DCR|2VULN|2DMG|1AART	1aVULN|2DUST|3BELT|4RMIN|5AART|6RCR|7LEGI|8aDMG|9aTLV|aBPWR
88	13131 32544	 * 	165.46	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1aVULN|2ZMB|3aLHND|46DUST|5DMG|7AART|8RCR|9aDUR|aBPWR
89	11344 66232	   	164.99	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	1VULN|2DUST|3MBVNT|4CDMG|5MGNLIT|6FLTHEA|7RCR|8aAART|9DMG
90	13163 23145	 * 	164.89	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	19aVULN|2ZMB|3LHND|4DUR|5RCR|6RMIN|7CDMG|8DMG
91	14341 45235	   	164.85	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2FEWX|3MBVNT|45DMG|6CGEN|7DUR|8RCR|aAART
92	15341 45235	   	164.85	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2BEXP|3MBVNT|45DMG|6CGEN|7DUR|8RCR|aAART
93	12225 35531	   	164.82	DCR|3VULN|1AART|1DMG|1ASPD	16aVULN|24CGEN|3ASPD|5BEXP|7AART|8RCR|9DMG
94	12234 35532	   	164.72	DCR|3VULN|1AART|1DMG|1ASPD	156VULN|2CGEN|3ASPD|4DUST|7AART|8RCR|9DMG|aBEXP
95	12234 35533	   	164.72	DCR|3VULN|1AART|1DMG|1ASPD	156VULN|2CGEN|3ASPD|4DUST|7AART|8RCR|9DMG|aLHND
96	15222 44331	   	164.71	DCR|2VULN|2DMG|1AART	1aVULN|2aBEXP|3BELT|4LHND|5TLV|6RCR|7AART|8aDMG|9RMIN|aBPWR
97	14383 12113	   	164.67	DCR|4VULN|2DMG	149aVULN|2FEWX|3MBVNT|5RPLT|6aDMG|7aLIT|8RCR|aBPWR
98	15347 62113	   	164.67	DCR|4VULN|2DMG	169aVULN|2BEXP|3MBVNT|4aDMG|5aLIT|7RPLT|8RCR|aBPWR
99	23311 52343	   	164.60	DCR|3ZMB|1AART|1DMG|1VULN|1ASPD|1DUR	13LHND|238ZMB|3BPWR|4DUR|5VULN|6DMG|7AART|9RCR|aASPD
100	13131 52531	   	164.58	DCR|2DMG|2AART|1VULN|1ZMB	1VULN|2ZMB|3LHND|4DUST|56DMG|79AART|8RCR|aCGEN
101	13131 52533	   	164.58	DCR|2DMG|2AART|1VULN|1ZMB	1VULN|2ZMB|3LHND|4DUST|56DMG|79AART|8RCR|aFEWX
102	13131 52534	   	164.58	DCR|2DMG|2AART|1VULN|1ZMB	1VULN|2ZMB|3LHND|4DUST|56DMG|79AART|8RCR|aRCVC
103	11383 12113	   	164.57	DCR|4VULN|2DMG	149aVULN|2DUST|3MBVNT|5RPLT|6aDMG|7aLIT|8RCR|aBPWR
104	11222 44331	   	164.51	DCR|2VULN|2DMG|1AART	1aVULN|2aDUST|3BELT|4LHND|5TLV|6RCR|7AART|8aDMG|9RMIN|aBPWR
105	13161 42343	   	164.50	DCR|3ZMB|1AART|1DMG|1VULN|1ASPD|1DUR	1VULN|268ZMB|3LHND|4DUR|5DMG|7AART|9RCR|aASPD
106	11371 54531	   	164.48	DCR|3VULN|1DMG|2CDMG|1ASPD	19aVULN|29DUST|3MBVNT|4ASPD|5DMG|6RCR|79CDMG|8BELT|9BPWR
