0	Index      	 *	Score 	Summary	Detail	
162	43321 34216	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUR|4DUST|5CDMG|7DMG|8FEWX|9RCR|aAART
163	43361 34112	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUR|4BEXP|5CDMG|7DMG|8LEGI|9RCR|aAART
164	43361 43112	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2ERES|3DUR|4BEXP|5CDMG|6DMG|8LEGI|9RCR|aAART
165	43511 34112	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3BEXP|4DUR|5CDMG|7DMG|8LEGI|9RCR|aAART
166	43511 43112	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2ERES|3BEXP|4DUR|5CDMG|6DMG|8LEGI|9RCR|aAART
167	46221 11412	   	158.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2DUR|38DMG|4DUST|5CDMG|6LHND|7ERES|9RCR|aAART
168	46221 16112	   	158.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2DUR|37DMG|4DUST|5CDMG|6LHND|8ERES|9RCR|aAART
169	62341 34112	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2FEWX|3DUR|46VULN|5CDMG|7DMG|8LEGI|9RCR|aAART
170	64211 13612	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|27VULN|3DUST|4DUR|5CDMG|6LHND|8DMG|9RCR|aAART
171	64321 13612	   	158.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|27VULN|3DUR|4DUST|5CDMG|6LHND|8DMG|9RCR|aAART
172	43211 34112	   	158.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUST|4DUR|5CDMG|7DMG|8LEGI|9RCR|aAART
173	43321 34112	   	158.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUR|4DUST|5CDMG|7DMG|8LEGI|9RCR|aAART
174	46221 31112	   	158.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2DUR|3DMG|4DUST|5CDMG|7TLV|8LEGI|9RCR|aAART
175	46221 41112	   	158.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2DUR|36DMG|4DUST|5CDMG|7TLV|8LEGI|9RCR|aAART
176	64211 34112	   	158.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|26VULN|3DUST|4DUR|5CDMG|7DMG|8LEGI|9RCR|aAART
177	64321 34112	   	158.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|26VULN|3DUR|4DUST|5CDMG|7DMG|8LEGI|9RCR|aAART
178	26232 11346	   	158.28	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1LWND|2DUR|3DMG|49ZMB|5VULN|6CDMG|7BEXP|8RCR|aAART
179	26241 33611	   	158.27	DCR|3VULN|1DMG|1CDMG|1DUR	1LWND|2DUR|3DMG|48aVULN|5CDMG|6RCR|79FEWX
180	61234 31135	 * 	158.20	DCR|2AART|2DMG|1CDMG|1DUR	1ERES|2LHND|3DUST|4aAART|5DUR|68DMG|7RCR|9CDMG
181	26232 13324	   	158.18	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1LWND|2DUR|3DMG|49ZMB|5VULN|6CDMG|7ERES|8RCR|aAART
182	26243 13324	   	158.18	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1LWND|2DUR|3DMG|4VULN|59ZMB|6CDMG|7ERES|8RCR|aAART
183	23622 45311	 * 	158.09	DCR|2DMG|1AART|1VULN|2CDMG	18LWND|2ERES|38DMG|4LHND|5VULN|6AART|78CDMG|8BPWR|9LIT|aRCR
184	46221 22243	   	158.05	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1aVULN|2DUR|3DMG|4DUST|5CDMG|6LWND|7RCR|8ASPD|9ZMB
185	26252 22353	   	158.00	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1LWND|2DUR|37aDMG|4ASPD|5VULN|6LIT|8CDMG|9RCR
186	26221 35236	 * 	157.96	DCR|2AART|3CDMG|1DMG|2DUR	17LWND|27DUR|3DMG|4DUST|578CDMG|6RCR|7BPWR|9aAART
187	23122 45361	 * 	157.76	DCR|1AART|1VULN|2CDMG|1DMG|2ZMB	18LWND|2ERES|38ZMB|4LHND|5VULN|6AART|78CDMG|8BPWR|9RCR|aDMG
188	42363 12223	   	157.73	DCR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB	1aVULN|2LHND|3LWND|4FLTHEA|5DMG|6CDMG|7RCVC|8RCR|9ZMB
189	26221 12616	   	157.70	DCR|2VULN|2DMG|1CDMG|1DUR	1LWND|2DUR|39DMG|4DUST|5CDMG|6LHND|7RCR|8aVULN
190	31655 22313	 * 	157.60	ACR|3DMG|1AART|1VULN	1RMIN|24aDMG|3BEXP|5RCR|6TLV|7LIT|8AART|9VULN
191	26241 12622	   	157.53	DCR|2VULN|1DMG|2CDMG|1ZMB|1DUR	1LWND|2DUR|3DMG|48VULN|5aCDMG|6LHND|7RCR|9ZMB
192	46221 22622	   	157.43	DCR|2VULN|1DMG|2CDMG|1ZMB|1DUR	18VULN|2DUR|3DMG|4DUST|5aCDMG|6LWND|7RCR|9ZMB
193	31422 35611	   	157.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|26DMG|3DUR|4LHND|5VULN|7CDMG|8AART|9LIT|aRCR
194	46221 32333	 * 	157.28	DCR|3VULN|1DMG|2CDMG|1DUR	167VULN|2DUR|3DMG|4DUST|5aCDMG|8LSRICY|9RCR
195	43312 35222	 * 	157.24	DCR|1AART|1VULN|1DMG|3DUR|1CDMG	1VULN|2ERES|345DUR|6RCR|7CGEN|8CDMG|9DMG|aAART
196	64312 35222	   	157.24	DCR|1AART|1VULN|1DMG|3DUR|1CDMG	1ERES|2VULN|345DUR|6RCR|7CGEN|8CDMG|9DMG|aAART
197	16336 51131	   	157.11	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1MSE	1MSE|28DMG|3DUR|4ZMB|5DUST|6AART|7RCR|9aVULN
198	43122 56233	   	156.96	DCR|3VULN|1AART|1ZMB|1ASPD	156VULN|2ERES|3ZMB|468LHND|6BPWR|7RCR|9AART|aASPD
199	43162 36333	   	156.86	DCR|3VULN|1AART|1ZMB|1ASPD	158VULN|2ERES|3ZMB|46BEXP|7RCR|9AART|aASPD
200	26232 23214	   	156.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|3DMG|4ZMB|5VULN|6LIT|7RCR|8BASICY|9CDMG|aAART
201	26243 23214	   	156.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|3DMG|4VULN|5ZMB|6LIT|7RCR|8BASICY|9CDMG|aAART
202	42352 52311	 * 	156.72	DCR|1AART|1DMG|1VULN|1FLTHEA|2DUR|1ZMB	1VULN|2LHND|3LWND|48DUR|5DMG|6FLTHEA|7AART|9ZMB|aRCR
203	42612 52311	   	156.72	DCR|1AART|1DMG|1VULN|1FLTHEA|2DUR|1ZMB	1VULN|2LHND|38DUR|4LWND|5DMG|6FLTHEA|7AART|9ZMB|aRCR
204	46112 52311	   	156.72	DCR|1AART|1DMG|1VULN|1FLTHEA|2DUR|1ZMB	1VULN|28DUR|3LHND|4LWND|5DMG|6FLTHEA|7AART|9ZMB|aRCR
205	22633 16223	 * 	156.68	DCR|1VULN|2CDMG|1DMG|1FLTHEA|2DUR|1ZMB	17LWND|2LHND|37DUR|4FLTHEA|5DMG|67CDMG|7BPWR|8RCR|9ZMB|aVULN
206	31335 42325	 * 	156.63	ACR|3DMG|2CDMG|2DUR|1ZMB	1RMIN|27aDMG|3aMLV|4ZMB|5RCR|68DUR|9aCDMG|aBPWR
207	31551 21335	   	156.61	DCR|2VULN|2DMG|1AART	1RMIN|26DMG|3BELT|4AART|5TLV|7LSRREG|89VULN|aRCR
208	32122 41151	   	156.23	DCR|2VULN|1AART|1DMG|1ZMB	1RMIN|2LWND|3ZMB|4LHND|5aVULN|6AART|7RCR|8DMG|9CGEN
209	32622 41142	   	156.23	DCR|2DMG|1AART|1VULN|1ZMB	1RMIN|2LWND|38DMG|4LHND|5VULN|6AART|7RCR|9BEXP|aZMB
210	32622 41153	   	156.23	DCR|2DMG|1AART|1VULN|1ZMB	1RMIN|2LWND|38DMG|4LHND|5VULN|6AART|7RCR|9MLV|aZMB
211	31135 21351	 * 	156.19	ACR|2VULN|1AART|1DMG|1CDMG	1RMIN|2DMG|3DMSP|4LWND|5RCR|6TLV|7AART|8CDMG|9aVULN
212	31135 21354	 * 	156.19	ACR|2DMG|1AART|1VULN|1CDMG	1RMIN|2aDMG|3DMSP|4LWND|5RCR|6TLV|7AART|8CDMG|9VULN
213	32635 21351	   	156.19	ACR|2VULN|1AART|1DMG|1CDMG	1RMIN|24LWND|3DMG|5RCR|6TLV|7AART|8CDMG|9aVULN
214	23622 41142	   	156.13	DCR|2DMG|1AART|1VULN|1ZMB	1LWND|2ERES|38DMG|4LHND|5VULN|6AART|7RCR|9BEXP|aZMB
215	32122 41131	   	156.13	DCR|2VULN|1AART|1DMG|1ZMB	1RMIN|2LWND|3ZMB|4LHND|5aVULN|6AART|7RCR|8DMG|9ERES
216	23635 21351	   	156.09	ACR|2VULN|1AART|1DMG|1CDMG	14LWND|2ERES|3DMG|5RCR|6TLV|7AART|8CDMG|9aVULN
217	31265 21351	   	156.09	ACR|2VULN|1AART|1DMG|1CDMG	1RMIN|2DMG|3ERES|4MLV|5RCR|6TLV|7AART|8CDMG|9aVULN
218	43361 33252	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	169VULN|2ERES|3DUR|4BEXP|5CDMG|7RCR|8LIT|aDMG
219	43361 33611	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3DUR|4BEXP|5CDMG|7RCR|8DMG|9RMIN
220	43361 33631	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3DUR|4BEXP|5CDMG|7RCR|8DMG|9MLV
221	43511 33252	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	169VULN|2ERES|3BEXP|4DUR|5CDMG|7RCR|8LIT|aDMG
222	43511 33611	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3BEXP|4DUR|5CDMG|7RCR|8DMG|9RMIN
223	43511 33631	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3BEXP|4DUR|5CDMG|7RCR|8DMG|9MLV
224	46221 22613	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	18aVULN|2DUR|3DMG|4DUST|5CDMG|6LWND|7RCR|9FEWX
225	62341 33252	   	155.77	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|2FEWX|3DUR|469VULN|5CDMG|7RCR|8LIT|aDMG
226	43211 33355	   	155.76	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	16VULN|2ERES|3DUST|4DUR|5CDMG|7RCR|8ZMB|9RCVC|aAART
227	43321 33355	   	155.76	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	16VULN|2ERES|3DUR|4DUST|5CDMG|7RCR|8ZMB|9RCVC|aAART
228	46233 21412	   	155.72	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1SELL	1VULN|2DUR|38DMG|4ZMB|5SELL|6LHND|7BEXP|9RCR|aAART
229	43211 33252	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	169VULN|2ERES|3DUST|4DUR|5CDMG|7RCR|8LIT|aDMG
230	43211 33611	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3DUST|4DUR|5CDMG|7RCR|8DMG|9RMIN
231	43211 33631	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3DUST|4DUR|5CDMG|7RCR|8DMG|9MLV
232	43321 33252	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	169VULN|2ERES|3DUR|4DUST|5CDMG|7RCR|8LIT|aDMG
233	43321 33611	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3DUR|4DUST|5CDMG|7RCR|8DMG|9RMIN
234	43321 33631	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	16aVULN|2ERES|3DUR|4DUST|5CDMG|7RCR|8DMG|9MLV
235	64211 33252	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|269VULN|3DUST|4DUR|5CDMG|7RCR|8LIT|aDMG
236	64211 33611	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|26aVULN|3DUST|4DUR|5CDMG|7RCR|8DMG|9RMIN
237	64211 33631	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|26aVULN|3DUST|4DUR|5CDMG|7RCR|8DMG|9MLV
238	64321 33252	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|269VULN|3DUR|4DUST|5CDMG|7RCR|8LIT|aDMG
239	64321 33611	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|26aVULN|3DUR|4DUST|5CDMG|7RCR|8DMG|9RMIN
240	64321 33631	   	155.67	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|26aVULN|3DUR|4DUST|5CDMG|7RCR|8DMG|9MLV
241	42363 42221	   	155.63	DCR|2DMG|1VULN|1CDMG|1FLTHEA|1ZMB	1VULN|26LHND|3LWND|4FLTHEA|56DMG|6BPWR|7CDMG|8RCR|9ZMB|aBEXP
242	31655 22323	   	155.59	ACR|2DMG|1AART|1VULN|1CDMG	1RMIN|24DMG|3BEXP|5RCR|6TLV|7LIT|8AART|9CDMG|aVULN
243	42363 16223	   	155.53	DCR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB	1aVULN|2LHND|37LWND|4FLTHEA|5DMG|6CDMG|8RCR|9ZMB
244	42363 42222	   	155.53	DCR|2DMG|1VULN|1FLTHEA|1CDMG|1ZMB	1VULN|26LHND|3LWND|4FLTHEA|56DMG|6BPWR|7CDMG|8RCR|9ZMB|aERES
245	11246 21134	   	155.52	DCR|3DMG|2VULN|1AART|1MSE	1MSE|2BEXP|38aDMG|49VULN|5AART|6CGEN|7RCR
246	11246 11134	   	155.42	DCR|3DMG|2VULN|1AART|1MSE	1MSE|2BEXP|38aDMG|49VULN|5AART|6ERES|7RCR
247	46113 32431	 * 	155.35	4VULN|2DMG|1AART|1CDMG|2DUR	1578VULN|28DUR|3LHND|4LWND|68DMG|8BPWR|9CDMG|aAART
248	32142 62325	   	155.30	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|2LWND|3ZMB|4RCVC|5DUST|6AART|7RCR|8DMG|9VULN|aCDMG
249	46232 21413	   	155.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	15VULN|2DUR|3DMG|4ZMB|6TLV|7AART|8RMIN|9LHND|aRCR
250	26241 33224	   	155.17	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|3DMG|4VULN|5CDMG|6RCR|7FEWX|8ASPD|9MLV|aAART
251	26233 36234	   	155.15	DCR|2VULN|2DMG|1ZMB|1DUR	1LWND|2DUR|36DMG|4ZMB|59LHND|7RCR|8aVULN
252	26241 33214	   	155.07	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|3DMG|4VULN|5CDMG|6RCR|7FEWX|8ASPD|9ERES|aAART
253	26231 16214	   	155.05	DCR|2VULN|2DMG|1ZMB|1DUR	1LWND|2DUR|39DMG|4ZMB|5MLV|6TLV|7RCR|8aVULN
254	26232 23245	   	155.05	DCR|2VULN|2DMG|1ZMB|1DUR	1LWND|2DUR|3aDMG|4ZMB|59VULN|6LIT|7RCR|8BASICY
255	26232 36135	   	155.05	DCR|2VULN|2DMG|1ZMB|1DUR	1LWND|2DUR|36DMG|4ZMB|5aVULN|7RCR|8DUST|9LHND
256	42221 24152	   	155.05	DCR|2AART|2VULN|1ZMB|1DUR	18VULN|2LHND|3DUST|4DUR|59AART|6LWND|7RCR|aZMB
257	46232 26132	   	154.97	DCR|2VULN|1DMG|2ZMB|1CDMG|1DUR	15VULN|2DUR|3DMG|48ZMB|6TLV|7RCR|9CDMG|aLHND
258	46232 26133	   	154.97	DCR|2VULN|1DMG|2ZMB|1CDMG|1DUR	15VULN|2DUR|3DMG|48ZMB|6TLV|7RCR|9CDMG|aRMIN
259	46232 26123	 * 	154.87	DCR|2VULN|1DMG|2ZMB|2ASPD|1DUR	15VULN|2DUR|3DMG|48ZMB|6TLV|7RCR|9aASPD
