0	Index      	 *	Score 	Summary	Detail	
1	31611 11365	 * 	270.85	DCR|DCR|2VULN|1TLV|1MLV	1BOSS|2ERES|3BEXP|4LWND|5MLV|69RCR|78VULN|aTLV
2	33612 11265	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1BOSS|27VULN|3MLV|4LWND|5ERES|69RCR|8BEXP|aTLV
3	35353 11261	   	268.99	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2CGEN|3TLV|47VULN|5LWND|69RCR|8BEXP|aDUR
4	35353 11262	   	268.99	DCR|DCR|2VULN|1TLV|1CDMG	1BOSS|2CGEN|3TLV|47VULN|5LWND|69RCR|8BEXP|aCDMG
5	31353 11261	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2ERES|3TLV|47VULN|5LWND|69RCR|8BEXP|aDUR
6	31353 11262	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1BOSS|2ERES|3TLV|47VULN|5LWND|69RCR|8BEXP|aCDMG
7	35353 11161	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2CGEN|3TLV|47VULN|5LWND|69RCR|8DUST|aDUR
8	35353 11162	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1BOSS|2CGEN|3TLV|47VULN|5LWND|69RCR|8DUST|aCDMG
9	31353 11161	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2ERES|3TLV|47VULN|5LWND|69RCR|8DUST|aDUR
10	31353 11162	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1BOSS|2ERES|3TLV|47VULN|5LWND|69RCR|8DUST|aCDMG
11	31353 11165	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1BOSS|2ERES|3TLV|47VULN|5LWND|69RCR|8DUST|aAART
12	31353 11265	 * 	265.58	DCR|DCR|2VULN|2TLV	1BOSS|2ERES|3aTLV|47VULN|5LWND|69RCR|8BEXP
13	33643 11261	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|27VULN|3MLV|4CGEN|5LWND|69RCR|8BEXP|aDUR
14	33643 11262	   	258.39	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|27VULN|3MLV|4CGEN|5LWND|69RCR|8BEXP|aCDMG
15	35611 11361	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|2CGEN|3BEXP|4LWND|5MLV|69RCR|78VULN|aDUR
16	35611 11362	   	258.39	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|2CGEN|3BEXP|4LWND|5MLV|69RCR|78VULN|aCDMG
17	31611 11361	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|2ERES|3BEXP|4LWND|5MLV|69RCR|78VULN|aDUR
18	31611 11362	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|2ERES|3BEXP|4LWND|5MLV|69RCR|78VULN|aCDMG
19	31651 11361	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|2ERES|3BEXP|4LHND|5MLV|69RCR|78VULN|aDUR
20	31651 11362	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|2ERES|3BEXP|4LHND|5MLV|69RCR|78VULN|aCDMG
21	33612 11261	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|27VULN|3MLV|4LWND|5ERES|69RCR|8BEXP|aDUR
22	33612 11262	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|27VULN|3MLV|4LWND|5ERES|69RCR|8BEXP|aCDMG
23	33643 11161	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|27VULN|3MLV|4CGEN|5LWND|69RCR|8DUST|aDUR
24	33643 11162	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|27VULN|3MLV|4CGEN|5LWND|69RCR|8DUST|aCDMG
25	33652 11261	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|27VULN|3MLV|4LHND|5ERES|69RCR|8BEXP|aDUR
26	33652 11262	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|27VULN|3MLV|4LHND|5ERES|69RCR|8BEXP|aCDMG
27	33663 11261	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|27VULN|3MLV|4ERES|5LWND|69RCR|8BEXP|aDUR
28	33663 11262	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|27VULN|3MLV|4ERES|5LWND|69RCR|8BEXP|aCDMG
29	61622 11261	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1LIT|2FEWX|3MLV|47VULN|5ERES|69RCR|8BEXP|aDUR
30	61622 11262	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1LIT|2FEWX|3MLV|47VULN|5ERES|69RCR|8BEXP|aCDMG
31	62622 11261	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1LIT|2LHND|3MLV|47VULN|5ERES|69RCR|8BEXP|aDUR
32	62622 11262	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1LIT|2LHND|3MLV|47VULN|5ERES|69RCR|8BEXP|aCDMG
33	33612 11161	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|27VULN|3MLV|4LWND|5ERES|69RCR|8DUST|aDUR
34	33612 11162	   	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|27VULN|3MLV|4LWND|5ERES|69RCR|8DUST|aCDMG
35	33612 11165	   	258.19	DCR|DCR|2VULN|1MLV|1AART	1BOSS|27VULN|3MLV|4LWND|5ERES|69RCR|8DUST|aAART
36	33652 11161	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	1BOSS|27VULN|3MLV|4LHND|5ERES|69RCR|8DUST|aDUR
37	33652 11162	   	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1BOSS|27VULN|3MLV|4LHND|5ERES|69RCR|8DUST|aCDMG
