0	Index      	 *	Score 	Summary	Detail	
36	21615 11363	 * 	176.84	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|2ZMB|3ASPD|4RCR|589DMG|6LHND|7VULN|aAART
37	36133 22727	   	176.52	DCR|2VULN|2DMG|1AART|1ZMB	13ERES|29DMG|4MBVNT|5AART|6RCR|7ZMB|8aVULN
38	31211 23463	 * 	176.51	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1ERES|2ASPD|3AART|478DMG|5ZMB|6RCR|9BELT|aCDMG
39	31211 23422	   	176.41	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1ERES|2ASPD|3AART|478DMG|5ZMB|6RCR|9TLV|aCDMG
40	31211 23455	   	176.41	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD	19ERES|2ASPD|3AART|478DMG|5ZMB|6RCR|aCDMG
41	36232 63152	 * 	176.32	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ERES|2DMG|3aAART|4ZMB|59VULN|6ASPD|7RCR|8LWND
42	36232 63252	   	176.32	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ERES|2DMG|3aAART|4ZMB|59VULN|6ASPD|7RCR|8BEXP
43	36233 35332	   	176.32	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1ERES|2aDMG|39AART|4ZMB|5FEWX|6DUR|7RCR|8VULN
44	31216 11246	 * 	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1ERES|2ASPD|3AART|4aDMG|57CDMG|6RCR|8CGEN|9VULN
45	36232 63422	   	176.22	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1ERES|28DMG|3aAART|4ZMB|5VULN|6ASPD|7RCR|9DUST
46	36236 12141	 * 	176.15	DCR|2AART|2DMG|2ZMB|1CDMG|1DUR	1ERES|2aDMG|38AART|47ZMB|5CDMG|6RCR|9DUR
47	36213 13245	 * 	176.07	DCR|3DMG|2AART|1VULN|1DUR	1ERES|24aDMG|35AART|6DUST|7VULN|8DUR|9RCR
48	13232 55323	 * 	176.03	DCR|3VULN|2AART|2CDMG	1BELT|289VULN|3RPLT|4aAART|58LIT|6RCR|78CDMG|8BPWR
49	56313 33422	   	175.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1MLV|29DMG|3DUR|4RCR|5RCVC|6ASPD|7aVULN|8AART
