0	Index      	 *	Score 	Summary	Detail	
21	33113 36423	 * 	280.28	DCR|DCR|2MLV|1VULN|1CDMG|1SELL	1FEWX|2VULN|3BBNT|46MLV|5CDMG|7AME|8aRCR|9SELL
22	14134 12153	   	280.13	DCR|DCR|1VULN|1TLV|1AAC|2DUR	13AEBURN|27DUR|4TLV|5AAC|6LWND|8VULN|9aRCR
23	14134 32153	   	280.03	DCR|DCR|1VULN|1TLV|1AAC|2DUR	136AEBURN|27DUR|4TLV|5AAC|8VULN|9aRCR
24	31134 26353	   	279.54	DCR|DCR|2TLV|1VULN|1AAC	12FEWX|2BPWR|3AEBURN|46TLV|5AAC|7VULN|8LWND|9aRCR
25	43451 33133	 * 	279.45	DCR|2VULN|2MLV|3ASPD|1DMG	129ASPD|26BPWR|3RPLT|46VULN|56MLV|7DMG|8RCR|aAART
26	11134 26353	   	279.44	DCR|DCR|2TLV|1VULN|1AAC	13AEBURN|2LHND|46TLV|5AAC|7VULN|8LWND|9aRCR
27	12134 26353	   	279.44	DCR|DCR|2TLV|1VULN|1AAC	13AEBURN|2FEWX|46TLV|5AAC|7VULN|8LWND|9aRCR
28	43213 16353	   	279.41	DCR|DCR|1VULN|1TLV|2ASPD	12ASPD|2BPWR|34RCVC|5FEWX|6TLV|7VULN|8LWND|9aRCR
29	43313 16353	   	279.41	DCR|DCR|1VULN|1TLV|2ASPD	12ASPD|2BPWR|3DMSP|4RCVC|5FEWX|6TLV|7VULN|8LWND|9aRCR
30	13134 26353	   	279.34	DCR|DCR|2TLV|1VULN|1AAC	13AEBURN|2LEGI|46TLV|5AAC|7VULN|8LWND|9aRCR
31	43212 16353	   	279.31	DCR|DCR|1VULN|1TLV|2ASPD	12ASPD|2BPWR|34RCVC|5BEXP|6TLV|7VULN|8LWND|9aRCR
32	43312 16353	   	279.31	DCR|DCR|1VULN|1TLV|2ASPD	12ASPD|2BPWR|3DMSP|4RCVC|5BEXP|6TLV|7VULN|8LWND|9aRCR
33	43451 33131	   	278.08	DCR|2VULN|2MLV|3ASPD|1DMG	129ASPD|26BPWR|3RPLT|46VULN|56MLV|7DMG|8RCR|aRAT
34	15122 32153	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	16AEBURN|2TLV|3FEWX|4DMG|5DMSP|7DUR|8VULN|9aRCR
35	15122 52153	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1AEBURN|2TLV|3FEWX|4DMG|5DMSP|6AEFBLL|7DUR|8VULN|9aRCR
36	55122 32153	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1AEFBLL|2TLV|3FEWX|4DMG|5DMSP|6AEBURN|7DUR|8VULN|9aRCR
37	15522 32153	   	276.65	DCR|DCR|1VULN|1TLV|1DMG	16AEBURN|2TLV|3DMG|4DUST|5DMSP|7DUR|8VULN|9aRCR
38	16214 12363	 * 	275.29	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AEBURN|2TBNT|3FEWX|4TLV|5aRCR|6VULN|78DMG|9MLV
39	16214 32363	   	275.29	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AEBURN|2TBNT|3FEWX|4TLV|5aRCR|68DMG|7VULN|9MLV
40	16314 12363	   	275.29	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AEBURN|2TBNT|3LHND|4TLV|5aRCR|6VULN|78DMG|9MLV
41	16314 32363	   	275.29	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1AEBURN|2TBNT|3LHND|4TLV|5aRCR|68DMG|7VULN|9MLV
