0	Index      	 *	Score 	Summary	Detail	
1	41633 11134	 * 	240.90	紫1基础对甲2伤害2基地爆炸1易伤1全技能	1低血量敌人2时间3核45伤害69基地爆炸7易伤8全技能a基础对甲
2	41633 11124	 * 	239.89	紫1基础对甲2易伤2伤害1全技能1基地爆炸	19低血量敌人29时间3核45伤害6基地爆炸79易伤8全技能9序列升级a基础对甲
3	42251 31124	   	229.55	紫1基础对甲2易伤2伤害1全技能1技能	19低血量敌人2随机矿3最后敌人4核5技能69伤害79易伤8全技能9序列升级a基础对甲
4	41631 32251	 * 	222.92	紫3伤害1基础对甲1攻速1技能	1低血量敌人2时间3核467伤害5技能8立即金币9攻速a基础对甲
5	42153 22151	 * 	220.45	紫1基础对甲2伤害2基地爆炸1攻速	1低血量敌人2随机矿36基地爆炸4核57伤害8双倍秒伤9攻速a基础对甲
6	41631 33351	   	219.01	紫1基础对甲2伤害1攻速1基地爆炸1技能	1低血量敌人2时间3核46伤害5技能7敌人爆炸8基地爆炸9攻速a基础对甲
7	41633 13411	   	219.01	紫1基础对甲2伤害1攻速1基地爆炸1技能	1低血量敌人2时间3核45伤害6基地爆炸7攻速8技能9最后敌人a基础对甲
8	42151 22252	 * 	217.60	紫1基础对甲2易伤2基地爆炸1伤害1技能	1低血量敌人2随机矿36基地爆炸4核5技能7伤害8a易伤9基础对甲
9	41633 11252	 * 	215.47	紫3伤害2攻速1易伤1基地爆炸	1a低血量敌人2时间3核45a伤害6基地爆炸7易伤8随机矿9a攻速a序列升级
