0	Index      	 *	Score 	Summary	Detail	
36	21352 35212	   	191.63	ACR|2ASPD|2DMG|2BEXP	18BEXP|2FEWX|38DMG|4VULN|5RCR|6aASPD|78TLV|8BPWR|9DUR
37	21352 35222	   	191.53	ACR|2ASPD|2DMG|2BEXP	18BEXP|2FEWX|38DMG|4VULN|5RCR|6aASPD|78TLV|8BPWR|9DUST
38	21352 35234	   	191.53	ACR|2ASPD|2DMG|2BEXP	18BEXP|2FEWX|38DMG|4VULN|5RCR|6aASPD|78TLV|8BPWR|9ERES
39	22352 35212	   	191.53	ACR|2ASPD|2DMG|2BEXP	18BEXP|2DUST|38DMG|4VULN|5RCR|6aASPD|78TLV|8BPWR|9DUR
40	22352 35232	   	191.53	ACR|2ASPD|2DMG|2BEXP	18BEXP|2DUST|38DMG|4VULN|5RCR|6aASPD|78TLV|8BPWR|9FEWX
41	51312 67434	 * 	190.43	ACR|2ASPD|1DMG|2CDMG|1BEXP|1AAC	19CDMG|2FEWX|3RCR|4MBVNT|5AAC|6aASPD|7DMG|8BEXP
42	51318 43813	 * 	190.08	ACR|2ASPD|2BEXP|3CDMG	168CDMG|2aFEWX|3RCR|4MBVNT|5VULN|7aASPD|9aBEXP|aBPWR
43	14312 52142	   	190.06	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LWND|2VULN|3LHND|4CDMG|5RCR|6ASPD|7BELT|8CGEN|9BASARM|aDMG
44	34312 52142	   	190.06	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LHND|2VULN|3LWND|4CDMG|5RCR|6ASPD|7BELT|8CGEN|9BASARM|aDMG
45	33425 32321	   	190.01	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1LHND|2AAC|3AART|4RCR|5MLV|6BEXP|7RPLT|8ASPD|9LWND|aBASARM
46	33426 32321	   	190.01	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC	1LHND|2AAC|3AART|4RCR|5CGEN|6BEXP|7RPLT|8ASPD|9LWND|aBASARM
47	14312 52242	   	189.96	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LWND|2VULN|3LHND|4CDMG|5RCR|6ASPD|7BELT|8TLV|9BASARM|aDMG
48	34312 52242	   	189.96	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LHND|2VULN|3LWND|4CDMG|5RCR|6ASPD|7BELT|8TLV|9BASARM|aDMG
49	13422 23314	   	189.91	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC	1LWND|2AAC|3AART|4RCR|5DLOT|6BEXP|7ASPD|8LHND|9RPLT|aBASARM
50	33425 32332	   	189.91	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC	1LHND|2AAC|3AART|4RCR|5MLV|6BEXP|7RPLT|8ASPD|9ERES|aBASARM
51	33542 51211	   	189.79	ACR|1BASARM|2BEXP|1AART|1AAC	1LHND|2AAC|3RCR|4LIT|58BEXP|6AART|7DUR|9LWND|aBASARM
52	33542 51231	   	189.79	ACR|1BASARM|2BEXP|1AART|1AAC	1LHND|2AAC|3RCR|4LIT|58BEXP|6AART|7DUR|9FEWX|aBASARM
53	51363 36311	   	189.47	ACR|2ASPD|2VULN|1AART|1CDMG|1BEXP	1CDMG|2FEWX|3RCR|4LWND|5BEXP|69VULN|7AART|8aASPD
54	51313 36311	   	189.37	ACR|2ASPD|2VULN|1BEXP|1AART|1CDMG	1CDMG|2FEWX|3RCR|4MBVNT|5BEXP|69VULN|7AART|8aASPD
55	21432 62322	 * 	189.06	ACR|1BASARM|3BEXP|1DMG	16aBEXP|2FEWX|3CGEN|4DUR|5RCR|7ERES|8DMG|9BASARM
56	13425 32225	 * 	188.72	ACR|1BASARM|2AART|1ASPD|1AAC	1LWND|2AAC|37AART|4RCR|5MLV|6LIT|8AEFBLL|9ASPD|aBASARM
57	13426 32225	   	188.72	ACR|1BASARM|2AART|1ASPD|1AAC	1LWND|2AAC|37AART|4RCR|5CGEN|6LIT|8AEMAG|9ASPD|aBASARM
58	13551 11533	   	188.30	ACR|1BASARM|1ASPD|1CDMG|1AAC	1LWND|2AAC|3RCR|4VULN|5ASPD|6LIT|7CGEN|8CDMG|9BASARM|aRMIN
59	51322 64333	   	188.20	ACR|1BASARM|1ASPD|1CDMG|1AAC	1CDMG|2FEWX|3RCR|4ERES|5AAC|6VULN|7LIT|8ASPD|9BASARM|aRMIN
60	33511 12216	   	188.20	ACR|1BASARM|1ASPD|1BEXP|1AAC	1LHND|2AAC|3RCR|4ASPD|5DUR|6LIT|7BEXP|8VULN|9MDPS|aBASARM
61	53312 16335	 * 	188.02	ACR|1BASARM|2VULN|1ASPD|1CDMG	1CDMG|2CGEN|3LIT|4RCR|5DUR|6aVULN|7ZMB|8ASPD|9BASARM
62	53312 12335	   	187.92	ACR|1BASARM|2VULN|1ASPD|1CDMG	1CDMG|2CGEN|3LIT|4RCR|5DUR|6aVULN|7NUKE|8ASPD|9BASARM
63	53313 16335	   	187.92	ACR|1BASARM|2VULN|1ASPD|1CDMG	1CDMG|2CGEN|3LIT|4RCR|5DUST|6aVULN|7ZMB|8ASPD|9BASARM
64	53313 12335	   	187.82	ACR|1BASARM|2VULN|1ASPD|1CDMG	1CDMG|2CGEN|3LIT|4RCR|5DUST|6aVULN|7NUKE|8ASPD|9BASARM
65	13543 41122	   	187.78	ACR|1BASARM|1ASPD|1DMG|1AAC	1LWND|2AAC|3RCR|4LIT|5RCVC|6ASPD|7DMG|89CGEN|aBASARM
66	33543 41122	   	187.78	ACR|1BASARM|1ASPD|1DMG|1AAC	1LHND|2AAC|3RCR|4LIT|5RCVC|6ASPD|7DMG|89CGEN|aBASARM
67	33543 41132	   	187.78	ACR|1BASARM|1ASPD|1DMG|1AAC	19LHND|2AAC|3RCR|4LIT|5RCVC|6ASPD|7DMG|8CGEN|aBASARM
68	22352 33225	   	187.69	ACR|2DMG|2BEXP|1ASPD|1AART	18BEXP|29DUST|38DMG|4VULN|5RCR|6ASPD|78CGEN|8BPWR|aAART
69	22352 36225	   	187.69	ACR|2DMG|2BEXP|1ASPD|1AART	18BEXP|29DUST|38DMG|4VULN|5RCR|6ASPD|78MLV|8BPWR|aAART
70	22352 35225	   	187.49	ACR|2DMG|2BEXP|1ASPD|1AART	18BEXP|29DUST|38DMG|4VULN|5RCR|6ASPD|78TLV|8BPWR|aAART
71	21352 36251	   	187.27	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2FEWX|38DMG|49VULN|5RCR|6ASPD|78MLV|8BPWR|aCGEN
72	21352 36253	   	187.27	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2FEWX|38DMG|49VULN|5RCR|6ASPD|78MLV|8BPWR|aLWND
73	21352 36252	   	187.17	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2FEWX|38DMG|49VULN|5RCR|6ASPD|78MLV|8BPWR|aDUST
74	22352 33251	   	187.17	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2DUST|38DMG|49VULN|5RCR|6ASPD|78aCGEN|8BPWR
75	22352 33252	   	187.17	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2DUST|38DMG|49VULN|5RCR|6ASPD|78CGEN|8BPWR|aLHND
76	22352 33254	   	187.17	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2DUST|38DMG|49VULN|5RCR|6ASPD|78CGEN|8BPWR|aRCVC
