0	Index      	 *	Score 	Summary	Detail	
34	34236 11213	   	207.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9CGEN|aMDPS
35	34236 11243	   	207.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9MLV|aMDPS
36	34636 11213	 * 	207.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1AART|2RMIN|3DMG|46VULN|5DUR|7CDMG|8RCR|9CGEN|aMDPS
37	62432 33325	   	206.95	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1DUST|2AART|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR|aMDPS
38	34236 11251	   	206.92	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9MDPS|aMLV
39	34236 11252	   	206.92	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2DUR	1AART|2RMIN|3ASPD|46VULN|5aDUR|7CDMG|8RCR|9MDPS
40	34236 11253	   	206.92	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9MDPS|aLHND
41	34223 53225	 * 	206.70	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1AART|2RMIN|3ASPD|4DUR|5DMG|6CGEN|7CDMG|8RCR|9VULN|aMDPS
42	32423 13111	 * 	206.70	DCR|3VULN|1AART|1DMG|1CDMG	1AART|23RCVC|459VULN|6LWND|7RCR|8DMG|aCDMG
43	32423 23111	   	206.70	DCR|3VULN|1AART|1DMG|1CDMG	1AART|23RCVC|459VULN|6BEXP|7RCR|8DMG|aCDMG
44	32422 33114	 * 	206.52	DCR|3VULN|2AART|1DMG	16AART|23RCVC|49aVULN|5LWND|7RCR|8DMG
45	32423 55112	   	206.41	DCR|3VULN|1AART|1ASPD|1DMG	1AART|23RCVC|456VULN|7MBVNT|8ASPD|9RCR|aDMG
46	34232 13113	   	206.34	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2RMIN|3ASPD|49aVULN|5RCVC|6DMSP|7RCR|8DMG
47	32423 13114	 * 	206.30	DCR|4VULN|1AART|1DMG	1AART|23RCVC|459aVULN|6LWND|7RCR|8DMG
48	32423 23114	   	206.30	DCR|4VULN|1AART|1DMG	1AART|23RCVC|459aVULN|6BEXP|7RCR|8DMG
49	34232 13112	   	206.09	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RMIN|3ASPD|49VULN|5RCVC|6DMSP|7RCR|8aDMG
50	53634 11232	 * 	205.86	DCR|2VULN|1AART|2CDMG|1ASPD|1AAC|1ZMB|1DUR	1ZMB|2DUR|36VULN|4AART|5AAC|7aCDMG|8RCR|9ASPD
51	53636 21232	   	205.86	DCR|2VULN|1AART|2CDMG|1ASPD|1AAC|1ZMB|1DUR	1ZMB|2DUR|35VULN|4AART|6AAC|7aCDMG|8RCR|9ASPD
52	34623 21231	   	205.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9ASPD|aLHND
53	34623 21233	   	205.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9ASPD|aBEXP
54	34623 21232	   	205.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9ASPD|aMBVNT
55	12422 62622	   	205.06	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2aAART|3CDMG|4RCVC|5ASPD|6DMG|7DUR|8VULN|9RCR
56	31452 23335	   	205.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1AART|2DUR|3CDMG|47VULN|5LHND|6CGEN|8ASPD|9RCR|aMDPS
57	31462 33335	   	205.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1AART|2DUR|3CDMG|4CGEN|5LWND|67VULN|8ASPD|9RCR|aMDPS
58	44332 11243	   	205.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1CGEN|2AME|36VULN|4DUR|5AART|7CDMG|8DMG|9RCR|aMDPS
59	32422 33111	 * 	204.94	DCR|2VULN|2AART|1DMG|1CDMG	16AART|23RCVC|49VULN|5LWND|7RCR|8DMG|aCDMG
60	31341 11243	   	204.92	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|36VULN|4CGEN|5ERES|7CDMG|8DMG|9RCR|aMDPS
61	31343 11243	   	204.92	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1AART|2DUR|36VULN|4CGEN|5TLV|7CDMG|8DMG|9RCR|aMDPS
62	43631 11243	   	204.92	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|36VULN|4AART|5ERES|7CDMG|8DMG|9RCR|aMDPS
63	43633 11243	   	204.92	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|36VULN|4AART|5TLV|7CDMG|8DMG|9RCR|aMDPS
64	53522 32112	 * 	204.80	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	1ZMB|25DUR|34AART|6RCR|7CGEN|8aDMG|9VULN
65	53522 32124	   	204.80	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	1ZMB|25DUR|34AART|6RCR|7CGEN|89DMG|aVULN
66	34232 13111	   	204.76	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|3ASPD|49VULN|5RCVC|6DMSP|7RCR|8DMG|aCDMG
67	53522 34112	   	204.70	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	1ZMB|25DUR|34AART|6RCR|7TLV|8aDMG|9VULN
68	31451 31633	 * 	204.69	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR|1MSE	1AART|2DUR|3CDMG|467VULN|5RMIN|8RCR|9MSE|aMDPS
69	34633 31234	   	204.49	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1AART|2RMIN|35DMG|4VULN|6LEGI|7aCDMG|8RCR|9ASPD
70	12432 33322	   	204.30	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1FEWX|2aAART|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR
71	36432 33322	   	204.30	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1aAART|2FEWX|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR
72	34223 53622	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RMIN|3ASPD|4DUR|5DMG|6CGEN|7CDMG|89VULN|aRCR
73	34233 53612	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RMIN|3ASPD|48VULN|5DMG|6CGEN|7CDMG|9DUR|aRCR
74	34623 21213	 * 	204.23	DCR|2DMG|1MDPS|1AART|1VULN|1CDMG|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9CGEN|aMDPS
75	34623 21243	   	204.23	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9MLV|aMDPS
76	62432 33322	   	204.20	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1DUST|2aAART|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR
77	34236 11262	   	204.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1aAART|2RMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9MBVNT
78	34623 21251	   	204.13	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9MDPS|aMLV
79	34623 21252	   	204.13	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|2DUR	1AART|2RMIN|35DMG|4aDUR|6VULN|7CDMG|8RCR|9MDPS
80	34623 21253	   	204.13	DCR|2DMG|1MDPS|1AART|1VULN|1CDMG|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7CDMG|8RCR|9MDPS|aLHND
81	12432 33332	   	204.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1FEWX|2AART|3CDMG|4ZMB|5LWND|679VULN|8ASPD|aRCR
82	36432 33332	   	204.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2FEWX|3CDMG|4ZMB|5LWND|679VULN|8ASPD|aRCR
83	62432 33332	   	203.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2AART|3CDMG|4ZMB|5LWND|679VULN|8ASPD|aRCR
84	34223 53222	   	203.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1aAART|2RMIN|3ASPD|4DUR|5DMG|6CGEN|7CDMG|8RCR|9VULN
85	52335 31333	 * 	203.58	DCR|2DMG|3ZMB|1VULN|1ASPD|1CDMG	158ZMB|2CDMG|3RPLT|48FEWX|6RCR|78DMG|8BPWR|9ASPD|aVULN
86	34633 13336	   	203.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RMIN|35DMG|4aVULN|6DMSP|7RCR|8RPLT|9ASPD
87	34633 13612	   	203.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RMIN|35DMG|49VULN|6DMSP|7RCR|8CGEN|aASPD
