0	Index      	 *	Score 	Summary	Detail	
155	52612 15322	   	199.65	DCR|2AART|1VULN|2CDMG|1ASPD|1ZMB|1DUR	1ZMB|25CDMG|3LWND|4VULN|6DUR|7aAART|8ASPD|9RCR
156	32231 13112	   	199.64	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2RCVC|39VULN|4TLV|5ZMB|6DMSP|7RCR|8DMG|aASPD
157	51521 32112	   	199.60	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|2ZMB	15ZMB|2ERES|3ASPD|4AART|6RCR|7CGEN|8DMG|9VULN|aMDPS
158	32243 46332	   	199.56	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RCVC|39VULN|4DUST|5DMG|6LWND|7CDMG|8ASPD|aRCR
159	51521 34112	   	199.50	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|2ZMB	15ZMB|2ERES|3ASPD|4AART|6RCR|7TLV|8DMG|9VULN|aMDPS
160	34633 13611	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RMIN|35DMG|49VULN|6DMSP|7RCR|8CGEN|aCDMG
161	34222 33112	   	199.26	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1AART|2RMIN|3ASPD|46DUR|5RCVC|7RCR|8aDMG|9VULN
162	34222 33123	   	199.26	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1AART|2RMIN|3ASPD|46DUR|5RCVC|7RCR|89DMG|aVULN
163	34633 13334	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|35DMG|4VULN|6DMSP|7RCR|8RPLT|9ASPD|aCDMG
164	34623 33432	   	199.09	DCR|2AART|2DMG|1ASPD|2DUR|1ZMB	19AART|2RMIN|35DMG|46DUR|7RCR|8ZMB|aASPD
165	34121 33122	   	199.09	DCR|2AART|2DMG|1ASPD|2DUR|1ZMB	14AART|2RMIN|36DUR|5ZMB|7RCR|89DMG|aASPD
166	53525 33122	   	199.09	DCR|2AART|2DMG|1ASPD|2DUR|1ZMB	1ZMB|26DUR|34AART|5RMIN|7RCR|89DMG|aASPD
167	34633 13231	   	199.08	DCR|3DMG|2VULN|1AART	1AART|2RMIN|35aDMG|4aVULN|6DMSP|7RCR|8aLIT|9BELT|aBPWR
168	53521 32122	   	199.06	DCR|2AART|2DMG|1ASPD|2ZMB|1DUR	15ZMB|2DUR|34AART|6RCR|7CGEN|89DMG|aASPD
169	53522 63122	   	198.99	DCR|2AART|2DMG|1ASPD|2DUR|1ZMB	1ZMB|25DUR|34AART|6ERES|7RCR|89DMG|aASPD
170	53521 34122	   	198.96	DCR|2AART|2DMG|1ASPD|2ZMB|1DUR	15ZMB|2DUR|34AART|6RCR|7TLV|89DMG|aASPD
171	34633 13132	   	198.88	DCR|3DMG|2VULN|1AART	1AART|2RMIN|358DMG|49VULN|6DMSP|7RCR|aBEXP
172	34633 13133	   	198.88	DCR|3DMG|2VULN|1AART	1AART|2RMIN|358DMG|49VULN|6DMSP|7RCR|aLHND
173	34633 13135	   	198.88	DCR|3DMG|2VULN|1AART	1AART|2RMIN|358DMG|49VULN|6DMSP|7RCR|aFEWX
174	34633 13136	   	198.88	DCR|3DMG|2VULN|1AART	1AART|2RMIN|358DMG|49VULN|6DMSP|7RCR|aCGEN
175	34232 13412	   	198.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2RMIN|3ASPD|49VULN|5RCVC|6DMSP|7RCR|8ZMB|aDMG
176	34632 13412	   	198.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2RMIN|3DMG|49VULN|5RCVC|6DMSP|7RCR|8ZMB|aASPD
177	34633 13131	   	198.78	DCR|3DMG|2VULN|1AART	1AART|2RMIN|358DMG|49VULN|6DMSP|7RCR|aDUST
178	32423 13115	   	198.76	DCR|3VULN|1AART|1DMG|1DUR	1AART|23RCVC|459VULN|6LWND|7RCR|8DMG|aDUR
179	32423 23115	   	198.76	DCR|3VULN|1AART|1DMG|1DUR	1AART|23RCVC|459VULN|6BEXP|7RCR|8DMG|aDUR
180	52312 35362	 * 	198.67	DCR|3VULN|3CDMG|3ZMB	149ZMB|249CDMG|3RPLT|49BPWR|5LHND|6RCR|7MLV|89aVULN
181	52313 35362	   	198.67	DCR|3VULN|3CDMG|3ZMB	149ZMB|249CDMG|3RPLT|49BPWR|5LWND|6RCR|7MLV|89aVULN
182	53526 32122	   	198.65	DCR|2AART|2DMG|1ASPD|1ZMB|1DUR	1ZMB|2DUR|34AART|5RCVC|6RCR|7CGEN|89DMG|aASPD
183	54521 32123	   	198.46	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB	15ZMB|2AME|3ASPD|4AART|6RCR|7CGEN|89DMG|aVULN
184	53634 11231	   	198.43	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1ZMB|2DUR|36VULN|4AART|5AAC|7CDMG|8RCR|9ASPD|aLHND
185	53634 11233	   	198.43	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1ZMB|2DUR|36VULN|4AART|5AAC|7CDMG|8RCR|9ASPD|aRMIN
186	53636 21231	   	198.43	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1ZMB|2DUR|35VULN|4AART|6AAC|7CDMG|8RCR|9ASPD|aLHND
187	53636 21233	   	198.43	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1ZMB|2DUR|35VULN|4AART|6AAC|7CDMG|8RCR|9ASPD|aRMIN
188	51521 32116	   	198.36	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB	15ZMB|2ERES|3ASPD|4AART|6RCR|7CGEN|8aDMG|9VULN
189	51521 32123	   	198.36	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB	15ZMB|2ERES|3ASPD|4AART|6RCR|7CGEN|89DMG|aVULN
190	51521 34123	   	198.26	DCR|2DMG|1AART|1VULN|1ASPD|2ZMB	15ZMB|2ERES|3ASPD|4AART|6RCR|7TLV|89DMG|aVULN
191	32163 31632	   	198.23	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2RCVC|3FEWX|4DUR|5DMG|6ZMB|7CDMG|89VULN|aRCR
192	32423 32255	   	198.20	DCR|3VULN|1AART|1DMG|2DUR	1AART|23RCVC|459VULN|6DMG|79CGEN|89DUR|9BPWR|aRCR
193	32266 13114	   	198.16	DCR|3VULN|1AART|1DMG|1DUR	1AART|25RCVC|39aVULN|4DUR|6DMSP|7RCR|8DMG
194	34223 31735	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RMIN|3ASPD|4DUR|5DMG|6ZMB|7MBVNT|8RCR|9VULN|aCDMG
195	34622 21234	   	198.11	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2RMIN|3DMG|4DUR|5RCVC|6VULN|7aCDMG|8RCR|9ASPD
196	34222 21236	   	197.76	DCR|3ASPD|1VULN|1AART|1CDMG|1DUR	1AART|2RMIN|39aASPD|4DUR|5RCVC|6VULN|7CDMG|8RCR
197	34222 33133	   	197.75	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	19AART|2RMIN|3ASPD|46DUR|5RCVC|7RCR|8DMG|aVULN
198	35324 23152	   	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2VENFST|3LHND|47aVULN|5CDMG|6ERES|8RCR|9DMG
199	32211 13114	   	197.51	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2RCVC|39aVULN|4RMIN|5ZMB|6DMSP|7RCR|8DMG
200	32251 13114	   	197.51	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2RCVC|39aVULN|4MLV|5ZMB|6DMSP|7RCR|8DMG
201	32223 33132	   	197.41	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2RCVC|39aVULN|4BEXP|5DMG|6ZMB|7RCR|8DUST
202	32231 13114	   	197.41	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2RCVC|39aVULN|4TLV|5ZMB|6DMSP|7RCR|8DMG
203	32223 46322	   	197.35	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1aAART|2RCVC|3VULN|4BEXP|5DMG|6LWND|7CDMG|8ASPD|9RCR
204	12333 31234	   	197.33	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	14FEWX|2AART|3VULN|5DMG|6ZMB|7aCDMG|8RCR|9ASPD
205	36333 31234	   	197.33	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1AART|24FEWX|3VULN|5DMG|6ZMB|7aCDMG|8RCR|9ASPD
206	53522 32121	   	197.27	DCR|2AART|2DMG|1CDMG|2DUR|1ZMB	1ZMB|25DUR|34AART|6RCR|7CGEN|89DMG|aCDMG
207	32243 46322	   	197.25	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1aAART|2RCVC|3VULN|4DUST|5DMG|6LWND|7CDMG|8ASPD|9RCR
208	32423 13113	   	197.22	DCR|3VULN|1AART|1DMG|1AAC	1AART|23RCVC|459VULN|6LWND|7RCR|8DMG|aAAC
209	32423 23113	   	197.22	DCR|3VULN|1AART|1DMG|1AAC	1AART|23RCVC|459VULN|6BEXP|7RCR|8DMG|aAAC
210	53522 34121	   	197.17	DCR|2AART|2DMG|1CDMG|2DUR|1ZMB	1ZMB|25DUR|34AART|6RCR|7TLV|89DMG|aCDMG
211	34633 61231	   	197.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2RMIN|35DMG|4VULN|6FEWX|7CDMG|8RCR|9ASPD|aLHND
212	34633 61233	   	197.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|35DMG|4VULN|6FEWX|7CDMG|8RCR|9ASPD|aBEXP
213	12323 15246	   	197.06	DCR|3VULN|2DMG|1MDPS|1AART	167FEWX|2AART|356VULN|4MDPS|6BPWR|8aDMG|9RCR
214	34633 31231	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|35DMG|4VULN|6LEGI|7CDMG|8RCR|9ASPD|aLHND
215	34633 31233	   	197.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2RMIN|35DMG|4VULN|6LEGI|7CDMG|8RCR|9ASPD|aBEXP
216	34643 21231	   	197.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2RMIN|35DMG|4DUST|6VULN|7CDMG|8RCR|9ASPD|aLHND
217	34643 21233	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|35DMG|4DUST|6VULN|7CDMG|8RCR|9ASPD|aBEXP
218	34633 61232	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|35DMG|4VULN|6FEWX|7CDMG|8RCR|9ASPD|aMBVNT
219	32422 33115	   	197.00	DCR|2VULN|2AART|1DMG|1DUR	16AART|23RCVC|49VULN|5LWND|7RCR|8DMG|aDUR
220	53521 63122	   	196.96	DCR|2AART|2DMG|1ASPD|2ZMB|1DUR	15ZMB|2DUR|34AART|6ERES|7RCR|89DMG|aASPD
221	34633 31232	   	196.96	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2RMIN|35DMG|4VULN|6LEGI|7CDMG|8RCR|9ASPD|aMBVNT
222	34643 21232	   	196.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|35DMG|4DUST|6VULN|7CDMG|8RCR|9ASPD|aMBVNT
223	34232 13115	   	196.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AART|2RMIN|3ASPD|49VULN|5RCVC|6DMSP|7RCR|8DMG|aDUR
224	31432 32332	   	196.73	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5LWND|69VULN|7RCVC|8ASPD|aRCR
225	32423 55412	   	196.68	DCR|3VULN|1AART|1ASPD|1ZMB	1AART|23RCVC|456VULN|7MBVNT|8ZMB|9RCR|aASPD
226	34232 13414	   	196.61	DCR|3VULN|1AART|1ASPD|1ZMB	1AART|2RMIN|3ASPD|49aVULN|5RCVC|6DMSP|7RCR|8ZMB
227	32266 13111	   	196.57	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|25RCVC|39VULN|4DUR|6DMSP|7RCR|8DMG|aCDMG
228	31432 33321	   	196.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR|aLIT
229	31433 32633	 * 	196.53	DCR|2VULN|1AART|1NUKE|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5BEXP|68VULN|7CGEN|9RCR|aNUKE
230	52323 52332	   	196.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3RPLT|4TLV|578VULN|6RCR|9DMG|aDUR
231	52323 55221	   	196.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3RPLT|4TLV|59aVULN|6RCR|7DUR|8DMG
232	34212 33112	   	196.46	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1AART|24RMIN|3ASPD|56DUR|7RCR|8aDMG|9VULN
233	34212 33123	   	196.46	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1AART|24RMIN|3ASPD|56DUR|7RCR|89DMG|aVULN
234	34623 33336	   	196.46	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1AART|2RMIN|35DMG|46DUR|7RCR|8RPLT|9ASPD|aVULN
235	31432 33323	   	196.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR|1SELL	1AART|2DUR|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR|aSELL
236	31432 33324	   	196.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR|1MSE	1AART|2DUR|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR|aMSE
237	31432 33326	   	196.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR|aERES
238	31436 32533	   	196.43	DCR|2VULN|1AART|1NUKE|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5DUST|68VULN|7CGEN|9RCR|aNUKE
239	53634 11123	   	196.43	DCR|2VULN|1AART|1NUKE|1CDMG|1AAC|1ZMB|1DUR	1ZMB|2DUR|36VULN|4AART|5AAC|7CDMG|8LHND|9RCR|aNUKE
240	53636 21123	   	196.43	DCR|2VULN|1AART|1NUKE|1CDMG|1AAC|1ZMB|1DUR	1ZMB|2DUR|35VULN|4AART|6AAC|7CDMG|8LHND|9RCR|aNUKE
241	34223 31825	   	196.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RMIN|3ASPD|4DUR|5DMG|6ZMB|7MBVNT|8VULN|9RCR|aCDMG
242	31335 23263	 * 	196.03	DCR|2VULN|2DMG|1AART|3DUR	1AART|267DUR|39VULN|4FEWX|59BEXP|89DMG|9BPWR|aRCR
243	12333 46332	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	14FEWX|2AART|39VULN|5DMG|6LWND|7CDMG|8ASPD|aRCR
244	36333 46332	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|24FEWX|39VULN|5DMG|6LWND|7CDMG|8ASPD|aRCR
245	32211 13111	   	195.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RCVC|39VULN|4RMIN|5ZMB|6DMSP|7RCR|8DMG|aCDMG
246	32223 33336	   	195.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RCVC|39VULN|4BEXP|5DMG|6ZMB|7RCR|8FEWX|aCDMG
247	32251 13111	   	195.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RCVC|39VULN|4MLV|5ZMB|6DMSP|7RCR|8DMG|aCDMG
248	32163 31622	   	195.93	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|2RCVC|3FEWX|4DUR|5DMG|6ZMB|7CDMG|8VULN|9RCR
249	31323 63116	   	195.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|35VULN|4MDPS|6RCR|7RMIN|8ASPD|9FEWX|aDMG
250	31323 63126	   	195.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|35VULN|4MDPS|6RCR|7RMIN|8ASPD|9BEXP|aDMG
251	31323 62611	   	195.88	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1AART|2DUR|358VULN|4MDPS|6RCR|7RCVC|9CGEN|aDMG
252	34233 13532	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|3ASPD|47VULN|5DMG|6TLV|8FEWX|9CDMG|aRCR
253	34233 23532	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2RMIN|3ASPD|47VULN|5DMG|6AAC|8FEWX|9CDMG|aRCR
254	34233 53122	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|3ASPD|49VULN|5DMG|6CGEN|7CDMG|8LEGI|aRCR
255	32231 13111	   	195.83	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RCVC|39VULN|4TLV|5ZMB|6DMSP|7RCR|8DMG|aCDMG
256	31323 63166	   	195.81	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|35VULN|4MDPS|6RCR|7RMIN|8ASPD|9DUST|aDMG
257	31323 65116	   	195.81	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|35VULN|4MDPS|6RCR|7TLV|8ASPD|9FEWX|aDMG
258	31323 65126	   	195.81	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|35VULN|4MDPS|6RCR|7TLV|8ASPD|9BEXP|aDMG
259	31323 62651	   	195.78	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1AART|2DUR|358VULN|4MDPS|6RCR|7RCVC|9ERES|aDMG
260	12323 63325	   	195.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1FEWX|2AART|35aVULN|4MDPS|6RCR|7VENFST|8ZMB|9DMG
261	36323 63325	   	195.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1AART|2FEWX|35aVULN|4MDPS|6RCR|7VENFST|8ZMB|9DMG
262	34236 11212	   	195.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7aCDMG|8RCR|9CGEN
263	34236 11242	   	195.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7aCDMG|8RCR|9MLV
264	34636 11212	 * 	195.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|2RMIN|3DMG|46VULN|5DUR|7aCDMG|8RCR|9CGEN
265	34243 53222	   	195.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1aAART|2RMIN|3ASPD|4DUST|5DMG|6CGEN|7CDMG|8RCR|9VULN
266	41522 63222	   	195.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1CGEN|2ERES|3ASPD|4aAART|5BEXP|6DMG|7CDMG|8RCR|9VULN
267	32422 33113	   	195.47	DCR|2VULN|2AART|1DMG|1AAC	16AART|23RCVC|49VULN|5LWND|7RCR|8DMG|aAAC
268	31223 23666	   	195.36	DCR|2VULN|2AART|1MDPS|1DMG|2DUR	16AART|29DUR|3BEXP|4MDPS|59VULN|7RCR|89FEWX|9BPWR|aDMG
269	34612 21234	   	195.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|24RMIN|3DMG|5DUR|6VULN|7aCDMG|8RCR|9ASPD
270	34216 33116	   	195.29	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	1AART|24RMIN|38ASPD|58ZMB|6RCR|78LHND|8BPWR|9VULN|aDMG
271	34216 33122	   	195.29	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	1AART|24RMIN|38ASPD|58ZMB|6RCR|78LHND|8BPWR|9DMG|aVULN
272	34216 36122	   	195.29	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	1AART|24RMIN|38ASPD|58ZMB|6RCR|78FEWX|8BPWR|9DMG|aVULN
273	34623 33431	   	195.27	DCR|2AART|2DMG|1CDMG|2DUR|1ZMB	19AART|2RMIN|35DMG|46DUR|7RCR|8ZMB|aCDMG
274	34121 33121	   	195.27	DCR|2AART|2DMG|1CDMG|2DUR|1ZMB	14AART|2RMIN|36DUR|5ZMB|7RCR|89DMG|aCDMG
275	53525 33121	   	195.27	DCR|2AART|2DMG|1CDMG|2DUR|1ZMB	1ZMB|26DUR|34AART|5RMIN|7RCR|89DMG|aCDMG
276	34233 33241	   	195.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1AART|2RMIN|3ASPD|47VULN|5DMG|6aZMB|8LIT|9RCR
277	53521 32121	   	195.25	DCR|2AART|2DMG|1CDMG|2ZMB|1DUR	15ZMB|2DUR|34AART|6RCR|7CGEN|89DMG|aCDMG
278	34216 32116	   	195.24	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1AART|24RMIN|3ASPD|5ZMB|6RCR|7CGEN|8aDMG|9VULN
279	34216 32123	   	195.24	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1AART|24RMIN|3ASPD|5ZMB|6RCR|7CGEN|89DMG|aVULN
280	53522 63121	   	195.17	DCR|2AART|2DMG|1CDMG|2DUR|1ZMB	1ZMB|25DUR|34AART|6ERES|7RCR|89DMG|aCDMG
281	53521 34121	   	195.15	DCR|2AART|2DMG|1CDMG|2ZMB|1DUR	15ZMB|2DUR|34AART|6RCR|7TLV|89DMG|aCDMG
282	34216 34123	   	195.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1AART|24RMIN|3ASPD|5ZMB|6RCR|7TLV|89DMG|aVULN
283	31453 31162	 * 	195.11	DCR|3VULN|1MDPS|1AART|1CDMG|2DUR	1AART|2aDUR|3CDMG|489VULN|5BEXP|6RCR|7MDPS
284	51523 32116	   	195.04	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ZMB|25ERES|3ASPD|4AART|6RCR|7CGEN|8aDMG|9VULN
285	51523 32123	   	195.04	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ZMB|25ERES|3ASPD|4AART|6RCR|7CGEN|89DMG|aVULN
286	34232 13411	   	195.03	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2RMIN|3ASPD|49VULN|5RCVC|6DMSP|7RCR|8ZMB|aCDMG
287	34632 13411	   	195.03	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RMIN|3DMG|49VULN|5RCVC|6DMSP|7RCR|8ZMB|aCDMG
288	34212 21236	   	194.96	DCR|3ASPD|1VULN|1AART|1CDMG|1DUR	1AART|24RMIN|39aASPD|5DUR|6VULN|7CDMG|8RCR
289	34212 33133	   	194.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	19AART|24RMIN|3ASPD|56DUR|7RCR|8DMG|aVULN
290	51523 34123	   	194.94	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1ZMB|25ERES|3ASPD|4AART|6RCR|7TLV|89DMG|aVULN
291	34236 11221	   	194.87	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9AAC|aLHND
292	34236 11222	   	194.87	DCR|2VULN|1AART|2CDMG|1ASPD|1AAC|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7aCDMG|8RCR|9AAC
293	34236 11223	   	194.87	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1AART|2aRMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9AAC
294	34236 11225	   	194.87	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1AART|2RMIN|3ASPD|46VULN|5DUR|7CDMG|8RCR|9AAC|aBEXP
295	34636 11221	   	194.87	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AART|2RMIN|3DMG|46VULN|5DUR|7CDMG|8RCR|9AAC|aLHND
296	34636 11222	   	194.87	DCR|2VULN|1AART|2CDMG|1DMG|1AAC|1DUR	1AART|2RMIN|3DMG|46VULN|5DUR|7aCDMG|8RCR|9AAC
297	34636 11223	   	194.87	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AART|2aRMIN|3DMG|46VULN|5DUR|7CDMG|8RCR|9AAC
298	34623 33421	 * 	194.85	DCR|3DMG|1AART|1CDMG|2DUR|1ZMB	1AART|2RMIN|359DMG|46DUR|7RCR|8ZMB|aCDMG
299	53526 32121	   	194.83	DCR|2AART|2DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUR|34AART|5RCVC|6RCR|7CGEN|89DMG|aCDMG
300	34633 13111	 * 	194.75	DCR|3DMG|1VULN|1AART|1CDMG	1AART|2RMIN|358DMG|4VULN|6DMSP|7RCR|9CGEN|aCDMG
301	32436 22112	   	194.68	DCR|2VULN|1AART|1ASPD|1DMG	1AART|23RCVC|4MLV|59VULN|6RCR|7CGEN|8DMG|aASPD
302	34633 13151	   	194.65	DCR|3DMG|1VULN|1AART|1CDMG	1AART|2RMIN|358DMG|4VULN|6DMSP|7RCR|9ERES|aCDMG
303	32425 22112	   	194.58	DCR|2VULN|1AART|1ASPD|1DMG	1AART|23RCVC|49VULN|5TLV|6RCR|7CGEN|8DMG|aASPD
304	32425 25123	   	194.58	DCR|2VULN|1AART|1ASPD|1DMG	1AART|23RCVC|4aVULN|5TLV|6RCR|7ASPD|8DMG|9AELBLL
305	32425 26112	   	194.58	DCR|2VULN|1AART|1ASPD|1DMG	1AART|23RCVC|49VULN|5TLV|6RCR|7RMIN|8DMG|aASPD
306	32436 24112	   	194.58	DCR|2VULN|1AART|1ASPD|1DMG	1AART|23RCVC|4MLV|59VULN|6RCR|7TLV|8DMG|aASPD
307	32424 24112	   	194.58	DCR|2VULN|1AART|1ASPD|1DMG	1AART|23RCVC|49VULN|5CGEN|6RCR|7TLV|8DMG|aASPD
308	31431 21322	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5MLV|6CGEN|79VULN|8ASPD|aRCR
309	31432 41332	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5LWND|6DMSP|79VULN|8ASPD|aRCR
310	34113 31622	   	194.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2RMIN|3DUR|4CGEN|5DMG|6ZMB|7CDMG|89VULN|aRCR
311	34251 21612	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2RMIN|3ASPD|4AME|5ZMB|68VULN|7CDMG|9DUR|aRCR
312	34251 31632	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2RMIN|3ASPD|4AME|5ZMB|6DUR|7CDMG|89VULN|aRCR
313	52611 15332	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|35LWND|49VULN|6DUR|7AART|8ASPD|aRCR
