0	Index      	 *	Score 	Summary	Detail	
76	23345 62121	   	189.42	DCR|3VULN|3DMG|1AART	145DMG|2RPLT|348VULN|4BPWR|6AART|7DMSP|9RCR|aLWND
77	23345 62123	   	189.42	DCR|3VULN|3DMG|1AART	145DMG|2RPLT|348VULN|4BPWR|6AART|7DMSP|9RCR|aFEWX
78	23345 62122	   	189.32	DCR|3VULN|3DMG|1AART	145DMG|2RPLT|348VULN|4BPWR|6AART|7DMSP|9RCR|aERES
79	23345 62331	   	189.31	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	145DMG|2RPLT|34VULN|4BPWR|6AART|7DMSP|8DUR|9ZMB|aRCR
80	21631 43313	   	189.12	DCR|2AART|2VULN|2DMG|2ZMB	13DMG|26AART|3BPWR|4aZMB|57VULN|8RCR|9DMSP
81	11112 13254	   	188.54	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1BEXP|29VULN|3DUR|4ASPD|5AART|67DMG|8RCR|aCDMG
82	13212 13254	   	188.54	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1BEXP|2DUR|39VULN|4ASPD|5AART|67DMG|8RCR|aCDMG
83	21222 43462	   	188.33	ACR|2AART|2VULN|2DMG|1CDMG	14DMG|26AART|3MLV|5RCR|7aVULN|8LIT|9CDMG
84	21632 53512	   	188.23	ACR|3DMG|2AART|2ZMB|2ASPD|1DUR	13aDMG|28AART|3aBPWR|4aZMB|5RCR|6DUR|7FEWX|9aASPD
85	21214 34124	   	188.23	ACR|3DMG|2VULN|1AART|1DUR	167DMG|2AART|3MLV|4RCR|5RCVC|8aVULN|9DUR
86	13126 15114	   	188.05	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18BEXP|28DUR|3AART|4LHND|5aVULN|68DMG|7RCR|8BPWR|9ZMB
87	21421 55111	   	187.86	DCR|2AART|2DMG|2VULN|1ZMB	18DMG|2aAART|38VULN|4FEWX|5LHND|68LWND|7RCR|8BPWR|9ZMB
88	53226 15133	   	187.21	DCR|3VULN|2DMG|1AART|1DUR	18LHND|2DUR|3AART|4LEGI|58aVULN|68DMG|7RCR|8BPWR|9ERES
89	21631 31331	   	187.07	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|58VULN|7LIT|9RCR|aMLV
90	21631 31332	   	187.07	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|58VULN|7LIT|9RCR|aCGEN
91	21631 31333	   	187.07	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|58VULN|7LIT|9RCR|aBEXP
92	21631 31335	   	187.07	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|58VULN|7aLIT|9RCR
93	21631 32316	   	187.07	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|5aVULN|7LHND|8CGEN|9RCR
94	21631 31334	   	186.97	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|58VULN|7LIT|9RCR|aDUST
95	21631 32216	   	186.97	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|5aVULN|7LHND|8ERES|9RCR
96	21631 32416	   	186.97	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|5aVULN|7LHND|8TLV|9RCR
97	21412 23235	   	186.86	DCR|3DMG|1AART|1VULN|2ASPD|2DUR	16aDMG|2AART|3VULN|4aASPD|5LWND|7FEWX|8RCR|9aDUR|aBPWR
98	21412 26235	   	186.86	DCR|3DMG|1AART|1VULN|2ASPD|2DUR	16aDMG|2AART|3VULN|4aASPD|5LWND|7LHND|8RCR|9aDUR|aBPWR
99	21412 63235	   	186.86	DCR|3DMG|1AART|1VULN|2ASPD|2DUR	17aDMG|2AART|3VULN|4aASPD|5LWND|6BEXP|8RCR|9aDUR|aBPWR
100	21412 43235	   	186.76	DCR|3DMG|1AART|1VULN|2ASPD|2DUR	17aDMG|2AART|3VULN|4aASPD|5LWND|6DUST|8RCR|9aDUR|aBPWR
101	21222 44621	   	186.62	ACR|3DMG|2AART|1VULN|1DUR|1ASPD	147DMG|26AART|3MLV|5RCR|8ASPD|9VULN|aDUR
102	21222 43636	   	186.40	ACR|3DMG|2AART|1VULN|1CDMG	14aDMG|26AART|3MLV|5RCR|7VULN|8CDMG|9FEWX
103	21222 44111	   	186.40	ACR|3DMG|2AART|1VULN|1CDMG	147DMG|26AART|3MLV|5RCR|8VULN|9CDMG|aFEWX
104	21222 44115	   	186.40	ACR|3DMG|2AART|1VULN|1CDMG	147DMG|26AART|3MLV|5RCR|8VULN|9CDMG|aRPLT
105	21222 43616	   	186.30	ACR|3DMG|2AART|1VULN|1CDMG	14aDMG|26AART|3MLV|5RCR|7VULN|8CDMG|9DUST
106	21222 44113	   	186.30	ACR|3DMG|2AART|1VULN|1CDMG	147DMG|26AART|3MLV|5RCR|8VULN|9CDMG|aLEGI
107	21222 44114	   	186.30	ACR|3DMG|2AART|1VULN|1CDMG	147DMG|26AART|3MLV|5RCR|8VULN|9CDMG|aERES
108	21632 31241	   	186.18	ACR|3DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8DUR|9VULN|aASPD
109	21632 31361	   	186.18	ACR|3DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8VULN|9DUR|aASPD
110	21632 33224	   	186.18	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8CGEN|9DUR|aVULN
111	21632 34111	   	185.95	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9CDMG|aFEWX
112	21632 34115	   	185.95	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9CDMG|aRPLT
113	21632 44111	   	185.95	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	137DMG|2AART|3BPWR|4ZMB|5RCR|6DMSP|8VULN|9CDMG|aFEWX
114	21222 62343	   	185.93	ACR|3DMG|2VULN|1AART|1DUR	149DMG|2AART|39MLV|5RCR|6RPLT|7DLOT|89VULN|9BPWR|aDUR
115	21632 34113	   	185.85	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9CDMG|aDUST
116	21632 34114	   	185.85	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9CDMG|aERES
117	21632 44113	   	185.85	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	137DMG|2AART|3BPWR|4ZMB|5RCR|6DMSP|8VULN|9CDMG|aDUST
118	21222 33252	   	185.83	ACR|3DMG|2VULN|1AART|1ASPD	146DMG|2AART|3MLV|5RCR|7ASPD|8CGEN|9aVULN
119	21632 12116	   	185.75	ACR|3DMG|1AART|1VULN|2ASPD|1ZMB	13aDMG|2AART|3aBPWR|4ZMB|5RCR|6aTLV|7VULN|8ERES|9aASPD
