0	Index      	 *	Score 	Summary	Detail	
24	13153 21613	   	384.02	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|67RCR|8AEFRZ|9MDPS|aLWND
25	13153 21614	   	384.02	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|67RCR|8AEFRZ|9MDPS|aRMIN
26	13153 21615	   	384.02	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|67RCR|8AEFRZ|9MDPS|aFEWX
27	13153 21616	   	384.02	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|67RCR|8AEFRZ|9MDPS|aAAC
28	13153 24331	 * 	384.02	DCR|2MDPS|1VULN|1TLV|1DUR|1MSE	1VULN|2TBNT|3CANTOX|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aMSE
29	13153 24332	 * 	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aDUST
30	13153 24333	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aBBNT
31	13153 24334	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aRPLT
32	13153 24335	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aRCVC
33	13153 24336	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3CANTOX|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aAEWIND
34	13553 21611	   	384.02	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3SNIFST|4TLV|5DUR|67RCR|8AEFRZ|9MDPS|aLEGI
35	13553 21612	   	384.02	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3SNIFST|4TLV|5DUR|67RCR|8AEFRZ|9MDPS|aDUST
36	13553 21613	   	384.02	DCR|DCR|1MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3SNIFST|4TLV|5DUR|67RCR|8AEFRZ|9MDPS|aLWND
37	13553 24331	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR|1MSE	1VULN|2TBNT|3SNIFST|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aMSE
38	13553 24332	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3SNIFST|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aDUST
39	13553 24333	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|2TBNT|3SNIFST|4TLV|5DUR|6RCR|7LSRHEA|89MDPS|aBBNT
40	66323 12422	 * 	383.38	DCR|3VULN|2TLV|2DMG|1CDMG|1DUR	1aTLV|25aVULN|3DUR|4CDMG|6BOSS|7TBNT|8RCR|9aDMG|aBPWR
41	14323 33344	 * 	382.97	2MDPS|3VULN|1CDMG|1DUR|1MSE	157VULN|2MLV|3DUR|4CDMG|6CANSTR|8MSE|9aMDPS
42	16333 23531	   	380.11	4VULN|1MDPS|1CDMG|2DUR|1TLV	1279VULN|37AEWIND|4TLV|5ASPD|67DUR|7BPWR|8CDMG|aMDPS
43	31523 15131	 * 	378.84	3VULN|1MDPS|2DMG|1CDMG|2DUR|1TLV	18AEFBLL|25DMG|389VULN|4CDMG|6TLV|78DUR|8BPWR|aMDPS
44	16663 22131	   	374.83	DCR|3VULN|1MDPS|1DUR	123VULN|4DUR|5ERES|6RPLT|7RCR|8AEPOI|9RAT|aMDPS
45	16625 31111	   	373.64	5VULN|1MDPS|1TLV|1DUR|1SELL	12389VULN|4SELL|5DUR|6LHND|7TLV|aMDPS
46	16631 43111	   	373.54	5VULN|1MDPS|1TLV|1DUR|1SELL	12389VULN|4TLV|5DUR|6AETHUN|7SELL|aMDPS
47	16333 23144	 * 	372.77	DCR|4VULN|2DUR|1TLV|1DMG	1278VULN|37AEWIND|4TLV|5ASPD|67DUR|7BPWR|9DMG|aRCR
