0	Index      	 *	Score 	Summary	Detail	
1	12513 87223	 * 	404.71	DCR|2VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1DUR|2AEFBLL|3MBVNT|4CDMG|58VULN|6RCR|7TLV|9DMG|aMDPS
2	16212 25151	 * 	387.28	DCR|3VULN|1MDPS|2DUR	19DUR|2AME|3BBNT|489VULN|5BOSS|6RCR|79AEPOI|9BPWR|aMDPS
3	12513 88233	 * 	385.21	DCR|2MDPS|1VULN|1CDMG|1DUR	1DUR|2AEFBLL|3MBVNT|4CDMG|5VULN|6RCR|7aMDPS|8RCVC|9RMIN
4	12513 88433	   	385.21	DCR|2MDPS|1VULN|1CDMG|2DUR	18DUR|2AEFBLL|3MBVNT|4CDMG|5VULN|6RCR|7aMDPS|9RMIN
5	21212 16561	 * 	382.64	DCR|2VULN|1MDPS|3DUR|1CDMG	18CGEN|2AAC|3BBNT|4CDMG|589DUR|6RCR|78VULN|8BPWR|aMDPS
6	12513 84153	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2AEFBLL|3MBVNT|4CDMG|57VULN|6RCR|8DMG|9CGEN|aMDPS
7	12513 84823	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2AEFBLL|3MBVNT|4CDMG|57VULN|6RCR|8CGEN|9DMG|aMDPS
8	12513 86223	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2AEFBLL|3MBVNT|4CDMG|58VULN|6RCR|7CGEN|9DMG|aMDPS
9	12513 84133	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2AEFBLL|3MBVNT|4CDMG|57VULN|6RCR|8DMG|9ASPD|aMDPS
10	12513 84143	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2AEFBLL|3MBVNT|4CDMG|57VULN|6RCR|8DMG|9ERES|aMDPS
