0	Index      	 *	Score 	Summary	Detail	
44	52226 13422	   	182.74	DCR|3VULN|3ZMB|1AART|2DUR	17DUR|247ZMB|3LEGI|579VULN|6RCR|7BPWR|8AART|aLWND
45	52226 13423	   	182.74	DCR|3VULN|3ZMB|1AART|2DUR	17DUR|247ZMB|3LEGI|579VULN|6RCR|7BPWR|8AART|aRPLT
46	52226 13433	   	182.74	DCR|3VULN|3ZMB|1AART|2DUR	17DUR|247ZMB|3LEGI|57aVULN|6RCR|7BPWR|8AART|9LSRICY
47	52226 13421	   	182.64	DCR|3VULN|3ZMB|1AART|2DUR	17DUR|247ZMB|3LEGI|579VULN|6RCR|7BPWR|8AART|aERES
48	11461 51213	   	182.22	DCR|3VULN|3DMG|1ZMB	17CGEN|247DMG|347VULN|47BPWR|5DMSP|6RCR|8ZMB|9LWND|aLIT
49	11461 51223	   	182.22	DCR|3VULN|3DMG|1ZMB	17CGEN|247DMG|347VULN|47BPWR|5DMSP|6RCR|8ZMB|9LHND|aLIT
50	52226 13215	   	182.14	DCR|3VULN|3ZMB|1AART|2DUR	17DUR|247ZMB|3LEGI|57aVULN|6RCR|7BPWR|8CGEN|9AART
51	11461 51233	   	182.12	DCR|3VULN|3DMG|1ZMB	17CGEN|247DMG|347VULN|47BPWR|5DMSP|6RCR|8ZMB|9MBVNT|aLIT
52	11412 12226	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|29DMG|3aVULN|4MGNLIT|5RCR|6AART|7DUR|8CDMG
53	11412 14226	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|29DMG|3aVULN|4MGNLIT|5RCR|6AART|7CDMG|8DUR
