0	Index      	Bounty	 *	Score 	Summary	Detail	
40	23126 25621	6	   	276.12	DCR|4VULN|2DMG|2DUR	18DMG|2LWND|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aERES
41	23383 45722	2	   	275.88	DCR|4VULN|2DMG|2DUR|1SELL	18DMG|2LWND|3MBVNT|4SELL|578aVULN|68DUR|8BPWR|9RCR
42	25353 31336	5	   	275.81	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	15DMG|2DUR|3ASPD|45aVULN|5BPWR|6AART|7LWND|8RCR|9TLV
43	22353 33311	5	   	275.22	DCR|3VULN|3DMG|1DUR|1ASPD	158DMG|2BEXP|3ASPD|457VULN|5BPWR|6AART|9DUR|aRCR
44	25353 33361	5	   	275.22	DCR|3VULN|3DMG|1DUR|1ASPD	158DMG|2DUR|3ASPD|457VULN|5BPWR|6AART|9LHND|aRCR
45	25123 11636	8	   	275.12	DCR|3VULN|3DUR|2DMG	18DMG|289DUR|34aVULN|5LIT|6RCR|78LHND|8BPWR
46	25125 31513	9	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9aLWND
47	25125 31522	9	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9aRPLT
48	25125 31522	10	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9RPLT|aBEXP
49	25125 31523	10	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9RPLT|aRMIN
50	25125 31533	9	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LHND|aLWND
51	25156 32212	3	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1DMG|24DUR|348aVULN|4BPWR|5RPLT|6RCR|7MLV|9TLV
52	25125 31511	9	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LWND|aDUST
53	25125 31521	9	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9RPLT|aBBNT
54	25125 31523	9	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9RPLT|aERES
55	25125 31523	8	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9DUST|aFEWX
56	25125 31531	9	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LHND|aDUST
57	25125 31531	8	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9BBNT|aBEXP
58	25125 31533	8	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9BBNT|aFEWX
59	25125 31521	8	   	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9aDUST
60	25125 31532	8	   	274.60	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9BBNT|aERES
61	25125 31511	10	   	274.55	DCR|3VULN|2DMG|2DUR|2ASPD|1SELL	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LWND|aSELL
62	25125 31531	10	   	274.55	DCR|3VULN|2DMG|2DUR|2ASPD|1SELL	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LHND|aSELL
63	25123 11425	6	 * 	274.42	DCR|3VULN|3DMG|3LIT|1DUR	18aDMG|2DUR|34aVULN|59aLIT|6RCR|7TBNT|aBPWR
64	23151 21611	8	   	274.25	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2LWND|357VULN|4BELT|67DUR|7BPWR|8ASPD|9AART|aRCR
